attempts,season,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
1096,2004,0.33568161883710945,367.90705424547195,0.531021897810219,0.33568161883710945,,,0.2116788321167883,,0,0.4536890787864799,134,0.4536890787864799,0.12226277372262774,0.07755474452554745,Brady Quinn,2007,Notre Dame,3
770,2004,0.21744076143224517,167.4293863028288,0.5012987012987012,0.21744076143224517,,,0.21168831168831168,,0,0.14438810459403104,86,0.14438810459403104,0.11168831168831168,0.05194805194805195,Drew Stanton,2007,Michigan State,3
393,2004,-0.01033287695349601,-4.060820642723932,0.41475826972010177,-0.01033287695349601,,,0.19338422391857507,,0,-0.35033002606090496,27,-0.35033002606090496,0.06870229007633588,0.04580152671755725,Isaiah Stanback,2007,Washington,3
728,2004,0.22081871452526405,160.75602417439222,0.5082417582417582,0.22081871452526405,,,0.2239010989010989,,0,0.535262256860733,72,0.535262256860733,0.0989010989010989,0.06868131868131869,JaMarcus Russell,2007,LSU,3
869,2004,0.32115526663265925,279.0839267037809,0.5592635212888377,0.32115526663265925,,,0.2094361334867664,,0,0.3965495102996126,109,0.3965495102996126,0.12543153049482164,0.06444188722669736,John Beck,2007,BYU,3
844,2004,0.04864234306193822,41.05413754427586,0.4490521327014218,0.04864234306193822,,,0.2037914691943128,,0,-0.21383546157317115,88,-0.21383546157317115,0.10426540284360189,0.0533175355450237,Kevin Kolb,2007,Houston,3
609,2004,0.07099816139499934,43.237880289554596,0.4827586206896552,0.07099816139499934,,,0.16420361247947454,,0,0.0012014884697763544,76,0.0012014884697763544,0.12479474548440066,0.052545155993431854,Trent Edwards,2007,Stanford,3
644,2004,0.287362275911229,185.06130568683147,0.5232919254658385,0.287362275911229,,,0.21428571428571427,,0,0.2399119567871094,75,0.2399119567871094,0.11645962732919254,0.08695652173913043,Troy Smith,2007,Ohio State,3
1111,2004,0.3387234495109422,376.32175240665674,0.5445544554455446,0.3387234495109422,,,0.21332133213321333,,0,0.25756381695566616,153,0.25756381695566616,0.13771377137713772,0.063006300630063,Brian Brohm,2008,Louisville,4
1250,2004,0.22510926309227944,281.3865788653493,0.5136,0.22510926309227944,,,0.1712,,0,0.15169595254884732,143,0.15169595254884732,0.1144,0.0656,Chad Henne,2008,Michigan,4
628,2004,0.17199071841971578,108.0101711675815,0.5159235668789809,0.17199071841971578,,,0.1624203821656051,,0,-0.05971573017272559,81,-0.05971573017272559,0.12898089171974522,0.0589171974522293,Dennis Dixon,2008,Oregon,4
40,2007,0.5095569372177124,20.382277488708496,0.6,0.5095569372177124,27.040000000000003,50.0,0.325,,0,0.037211338678995766,6,0.037211338678995766,0.15,0.1,Joe Flacco,2008,Delaware,1
626,2006,0.20050919070220985,125.51875337958336,0.5,0.20050919070220985,23.112605042016806,50.0,0.19488817891373802,,0,0.04441713648183005,112,0.04441713648183005,0.17891373801916932,0.07188498402555911,John David Booty,2008,USC,2
1231,2004,0.1565963245752766,192.7700755521655,0.503655564581641,0.1565963245752766,,,0.16653127538586515,,0,0.10451973018361561,134,0.10451973018361561,0.10885458976441917,0.045491470349309504,Matt Ryan,2008,Boston College,4
938,2006,0.11754919300233123,110.2611430361867,0.4925373134328358,0.11754919300233123,23.112605042016806,50.0,0.17057569296375266,,0,-0.02027417451907427,78,-0.02027417451907427,0.08315565031982942,0.04477611940298507,Josh Freeman,2009,Kansas State,3
439,2006,0.3337039195663022,146.49602068960667,0.5580865603644647,0.3337039195663022,23.112605042016806,50.0,0.23462414578587698,,0,0.4712733081408909,70,0.4712733081408909,0.15945330296127563,0.09339407744874716,Mark Sanchez,2009,USC,3
915,2006,0.2578739175542456,235.95463456213474,0.5016393442622951,0.2578739175542456,23.112605042016806,50.0,0.2087431693989071,,0,0.2838642927679685,101,0.2838642927679685,0.11038251366120219,0.05573770491803279,Matthew Stafford,2009,Georgia,3
758,2005,0.1525262373015481,115.61488787457347,0.46701846965699206,0.1525262373015481,25.5635593220339,50.0,0.17941952506596306,,0,0.5969152829863809,88,0.5969152829863809,0.11609498680738786,0.07519788918205805,Pat White,2009,West Virginia,4
32,2008,0.5433925352990627,17.388561129570007,0.5625,0.5433925352990627,25.389999999999997,50.0,0.21875,,0,,0,,0.0,0.03125,Rhett Bomar,2009,Sam Houston State,1
760,2005,0.12064933331781312,91.69349332153797,0.4513157894736842,0.12064933331781312,25.5635593220339,50.0,0.13815789473684212,,0,-0.12243862466497736,91,-0.12243862466497736,0.11973684210526316,0.038157894736842106,Stephen McGee,2009,Texas A&M,4
734,2005,0.21604448658152806,158.5766531508416,0.5095367847411444,0.21604448658152806,25.5635593220339,50.0,0.18119891008174388,,0,0.31970110677537467,84,0.31970110677537467,0.11444141689373297,0.05040871934604905,Tom Brandstater,2009,Fresno State,4
1599,2006,0.27175449097460325,434.5354310683906,0.5215759849906192,0.27175449097460325,23.112605042016806,50.0,0.17636022514071295,,0,0.44698321754867965,185,0.44698321754867965,0.11569731081926204,0.06879299562226392,Colt McCoy,2010,Texas,4
