player_name,season,college,plays,comp_adj_coverage,raw_epa_per_play,context_adj_epa_per_play,comp_adj_epa_per_play,full_adj_epa_per_play,college_leaf_raw,college_leaf_context,college_leaf_competition,college_leaf_full,team_sp_plus,draft_year,draft_round,draft_pick,rookie_leaf_mean,rookie_games
Bailey Zappe,2021,Western Kentucky,605,87.10743801652893,0.36650327971158936,0.3742461003685786,0.5118136740881549,0.52255757864881,0.7330065594231787,0.7484922007371572,1.0236273481763098,1.04511515729762,13.3,2022,4,137,-0.1165663874797361,4
Baker Mayfield,2017,Oklahoma,436,100.0,0.4927529505018247,0.4958253184241166,0.722364161173138,0.727428122649376,0.9855059010036494,0.9916506368482332,1.444728322346276,1.454856245298752,25.5,2018,1,1,0.0164108364982542,14
Ben DiNucci,2019,James Madison,24,100.0,-0.45424160609642666,-0.5471745265523593,-0.22712080304821333,-0.27358726327617966,-0.9084832121928533,-1.0943490531047186,-0.45424160609642666,-0.5471745265523593,,2020,7,231,-0.4729410404618955,2
Brock Purdy,2021,Iowa State,387,93.28165374677002,0.14617088726584532,0.14797344455909398,0.16609830309183504,0.17058418620008864,0.29234177453169063,0.29594688911818795,0.3321966061836701,0.3411683724001773,14.3,2022,7,262,0.0760626250159369,10
C.J. Beathard,2016,Iowa,315,92.6984126984127,-0.3718265764297001,-0.38307677792745926,-0.43107191901102904,-0.4466757039903838,-0.7436531528594001,-0.7661535558549185,-0.8621438380220581,-0.8933514079807676,10.3,2017,3,104,-0.1707394729089748,6
Cardale Jones,2015,Ohio State,286,100.0,0.3090732727947973,0.32553224328588826,0.4216469987120298,0.4457638131798946,0.6181465455895946,0.6510644865717765,0.8432939974240596,0.8915276263597892,29.5,2016,4,139,-0.7074195124284335,1
Cody Kessler,2015,USC,428,100.0,0.49933354076988795,0.5277954040544631,0.279130838228182,0.29619654874156587,0.9986670815397759,1.0555908081089262,0.558261676456364,0.5923930974831317,16.8,2016,3,93,0.0269956447216944,9
Connor Cook,2015,Michigan State,399,100.0,0.44872955892916644,0.518980732200428,0.5413937304246095,0.6243465152995655,0.8974591178583329,1.037961464400856,1.082787460849219,1.248693030599131,15.6,2016,4,100,-0.4177917797697064,2
Dak Prescott,2015,Mississippi State,455,87.6923076923077,0.4430213750205148,0.47602185902170424,0.6354138926732921,0.6830852933154539,0.8860427500410296,0.9520437180434085,1.2708277853465841,1.3661705866309077,15.1,2016,4,135,0.1465490259269362,17
Daniel Jones,2018,Duke,462,92.42424242424242,0.00419266046190159,0.0031237292650974128,-0.005353473232873612,-0.007114382135570046,0.00838532092380318,0.0062474585301948255,-0.010706946465747224,-0.014228764271140093,5.0,2019,1,6,-0.1519505766608283,13
Davis Mills,2020,Stanford,212,100.0,0.2557992704985839,0.2757513445074547,0.28445415843358995,0.30613353421713163,0.5115985409971678,0.5515026890149094,0.5689083168671799,0.6122670684342633,1.6,2021,3,67,-0.1852126131639208,13
