aggregation_method,outcome,outcome_type,feature_combo,n_features,features,n_samples,r,r_squared,cv_r2,rmse,auc,accuracy
final_season,Rookie LEAF,regression,solo_epa_per_play,1,epa_per_play,102,0.04861184065534637,0.0023631110519007864,-0.13688359581543486,0.4738319496673063,,
final_season,Rookie LEAF,regression,solo_attempts,1,attempts,102,0.15429016631438133,0.02380545542131945,-0.08898933248748564,0.46871222345887986,,
final_season,Rookie LEAF,regression,solo_big_play_rate,1,big_play_rate,102,0.06007972741527227,0.003609573646293418,-0.11196148289422699,0.4735358507541545,,
final_season,Rookie LEAF,regression,solo_red_zone_epa,1,red_zone_epa,102,0.010366896793142863,0.00010747254911967577,-0.1400641073016798,0.47436730985332726,,
final_season,Rookie LEAF,regression,solo_high_leverage_epa,1,high_leverage_epa,102,0.010366896793142863,0.00010747254911967577,-0.1400641073016798,0.47436730985332726,,
final_season,Rookie LEAF,regression,solo_success_rate,1,success_rate,102,0.10394383959809285,0.010804321790394054,-0.12218883582219338,0.4718230965598231,,
final_season,Rookie LEAF,regression,pair_epa_volume,2,"epa_per_play, attempts",102,0.1565538966456661,0.024509122554941903,-0.10166517013099252,0.4685432628529555,,
final_season,Rookie LEAF,regression,pair_epa_bigplay,2,"epa_per_play, big_play_rate",102,0.12311583344783895,0.015157508445556021,-0.0938731901467762,0.4707837679705306,,
final_season,Rookie LEAF,regression,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",102,0.06493448392956613,0.004216487203199082,-0.1501944329815763,0.47339161055611856,,
final_season,Rookie LEAF,regression,pair_volume_bigplay,2,"attempts, big_play_rate",102,0.16238521091137686,0.02636895672273235,-0.07885997404487868,0.46809639628730626,,
final_season,Rookie LEAF,regression,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",102,0.17872693401646111,0.031943316942924446,-0.08129913654791102,0.46675446932755427,,
final_season,Rookie LEAF,regression,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",102,0.13967137757388262,0.01950809371338608,-0.14816165380278834,0.4697427629673061,,
