season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Adam Urena,Mercyhurst,1,10,3,-0.10121494484965776,0,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,31,2.3266128374883257,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-1.1612466882658818,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,6,7,2.2085667668440436,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,-1,-0.7964053957016795,0,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,15,0.450868136321249,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,7,0,-0.410393837690526,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,4,0,-0.2868087912016805,0,1,0,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-0.9262377870973815,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,15,6,0.02372669557373716,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,19,0,-0.3436703868431694,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,19,12,0.6399989635798837,1,1,1,0,0
2024,Adam Urena,Mercyhurst,4,7,0,-0.5247497409993027,0,1,0,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,9,11,2.023037822447967,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-1.065701080215459,0,1,0,0,0
2024,Adam Urena,Mercyhurst,2,10,0,-0.6622137678957802,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,10,10,2.6831262081156817,1,1,0,0,0
2024,Adam Urena,Mercyhurst,2,9,15,1.1541559392162046,1,1,0,0,0
2024,Adam Urena,Mercyhurst,1,10,-5,-1.054141779851573,0,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,12,1.3350478775069834,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,15,0,-0.32782717017448526,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,15,7,0.12922283907543886,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,-62,,0,1,1,0,0
2024,Adam Urena,Mercyhurst,2,3,8,2.25327580349224,1,1,1,0,1
2024,Adam Urena,Mercyhurst,1,10,0,-0.8305196050291288,0,1,0,0,0
2024,Adam Urena,Mercyhurst,1,10,-1,-0.9516524041477066,0,1,1,0,0
2024,Adam Urena,Mercyhurst,2,11,7,0.3202530997358535,1,1,1,0,0
2024,Adam Urena,Mercyhurst,3,4,5,1.6501155730231423,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,9,12,2.0551198911474504,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,4,28,0.7538585541855486,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,13,2.538929215045847,1,1,1,0,1
2024,Adam Urena,Mercyhurst,3,15,2,-0.11857352599840267,0,1,1,0,0
2024,Adam Urena,Mercyhurst,4,13,16,3.5238605162507026,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,13,0.324966017128496,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,10,22,3.050284787183422,1,1,1,0,1
2024,Adam Urena,Mercyhurst,1,10,4,-0.03931026581467823,0,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,2,-0.3300044670451081,0,1,1,0,0
2024,Adam Urena,Mercyhurst,2,11,11,2.195507342168696,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-1.1527089917962545,0,1,0,0,0
2024,Adam Urena,Mercyhurst,3,9,6,0.250679359635968,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Adam Urena,Mercyhurst,1,10,5,0.1068735075937823,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,5,0,-1.007989314168027,0,1,0,0,0
2024,Adam Urena,Mercyhurst,1,10,-64,,0,1,1,0,0
2024,Adam Urena,Mercyhurst,3,4,8,0.589290885603463,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,8,1,-0.40259546283400116,0,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,4,-0.1142886249388964,0,1,1,0,0
2024,Adam Urena,Mercyhurst,3,18,0,-0.43260599496673,0,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,9,1.252308359788624,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,1,25,1.5849271340361781,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-0.8772679222659558,0,1,0,0,0
2024,Adam Urena,Mercyhurst,2,10,-8,-2.470540175912733,0,1,1,0,0
2024,Adam Urena,Mercyhurst,2,10,9,0.6799361600947043,1,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,24,1.8584109920943026,1,1,1,0,0
2024,Adam Urena,Mercyhurst,2,3,23,0.351015041005619,1,1,1,0,0
2024,Adam Urena,Mercyhurst,3,16,4,-0.0086414486017956,0,1,1,0,0
2024,Adam Urena,Mercyhurst,1,10,0,-0.6135902757979226,0,1,0,0,0
2024,Adam Urena,Mercyhurst,2,13,6,0.10108424692110773,1,1,1,0,0
2024,Adam Urena,Mercyhurst,3,7,3,-0.11723476155044565,0,1,1,0,0
