season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Aidan Armenta,UL Monroe,1,10,0,-0.3826565410356668,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,10,3,-0.03136332965062304,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,5,0.0945451165334843,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,7,4,-0.04789853236044017,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,5,0,-0.3716239049161505,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,11,-2.4382967879606845,0,1,0,1,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,15,5,0.00732448688245666,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,7,6,0.1441131323921896,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,40,1.592733244508194,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,14,0,-0.4835980441297698,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,14,57,4.9228758223385025,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,4,5,1.4652947955017677,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,10,0,-0.9850636246407553,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,10,43,-0.8638218381666434,0,1,0,1,0
2024,Aidan Armenta,UL Monroe,3,3,5,1.4163984672587224,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,16,1.4373085523113203,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,14,0,-1.0242628278433035,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,14,0,-0.8495399149558667,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,9,1.1127415828278746,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,8,0,-1.0338282438090935,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.8772679222659558,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,8,10,2.6014781630900856,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,7,11,1.7222443570342438,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-1.1143038065675126,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,5,4,-0.1666617505289753,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,4,1,2,1.9075318047172019,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,10,5,0.0744071295691082,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,17,1.516051907682006,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,7,-1,-1.2370018246133023,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,12,0,-1.0413583867501437,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,12,0,-0.8377124041257451,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,24,15,0.4931629634834147,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,25,0,-0.24874943311835018,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,8,3,-0.3478252356513476,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,5,4,-0.1237981770670125,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,14,0,-0.7899391484631364,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,14,30,3.876372964614549,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,12,12,2.913525891211739,1,1,1,0,1
2024,Aidan Armenta,UL Monroe,3,8,0,-0.7948843546832176,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,8,0,-1.0923917928310267,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,3,-0.2150808966639328,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,8,18,3.1595283017437117,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,-1,-1.339680578309613,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,16,1.4187427699228943,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,3,36,3.78405314169712,1,1,1,0,1
2024,Aidan Armenta,UL Monroe,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,9,0,-1.0681101271786932,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,10,16,2.46878948262518,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.8947814664467213,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,10,9,0.8518930522804951,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,6,32,3.579391871725259,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,11,0,-0.7863475730892037,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,9,0,-0.2954261778871175,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,53,3.4301323530728616,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,9,0,-0.7493962506844163,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,3,-0.2957674139440157,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,3,8,0,-0.22421028645399854,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,51,3.923367203892939,1,1,1,0,1
2024,Aidan Armenta,UL Monroe,3,6,1,-0.5099963126762237,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.9864556271674072,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,12,4,-0.041468217963864795,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,9,1.023085236154417,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,11,0,-0.39520313969106446,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,2,7,0,-0.3835955463237236,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,1,10,3,-0.114691276393927,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,44,3.3752797005913067,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.9222448802786785,0,1,0,1,0
2024,Aidan Armenta,UL Monroe,2,7,-6,-0.870640363843803,0,1,1,0,0
2024,Aidan Armenta,UL Monroe,1,10,0,-0.7828922522763084,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,4,7,1.637163448605758,1,1,1,0,0
2024,Aidan Armenta,UL Monroe,2,7,0,-0.277446160702615,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,3,7,0,-0.325035760733144,0,1,0,0,0
2024,Aidan Armenta,UL Monroe,4,7,0,-3.790369610546504,0,1,0,0,0
