season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Aidan Sayin,Pennsylvania,1,5,6,-0.4862007883959585,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,1,-0.873884986133115,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,4,0,-1.0946795124060265,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,1,10,10,0.9449493519690596,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,0,-1.1430602484821704,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,23,9,0.1688204428739235,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,10,0,-0.48647765014911126,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,10,5,0.024337590946055702,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,0,-0.8947814664467213,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,1,10,11,0.7787667904900532,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,10,0,-0.30950338122914456,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,10,57,4.544463333499618,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,5,0.07438453789675,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,5,0,-0.32302193763867,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,5,4,-0.024154345687511,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,4,1,1,2.785753974856101,1,1,1,0,1
2022,Aidan Sayin,Pennsylvania,1,10,0,-0.6425305871127751,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,1,19,3,-0.0471642712694722,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,16,0,-0.07935329446353734,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,3,9,0.969083527190727,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,23,11,0.14284363761572738,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,12,0,-0.11952702463961362,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,1,3,0.3417946880199878,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,5,0.097373878655615,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,6,5,0.0854153061872137,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,8,7,0.23799598074532646,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,6,0,-0.49432104068719435,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,5,9,0.258687452761258,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,6,2,-0.2237715426565375,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,4,14,1.94574722265642,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,5,0.081604517220205,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,6,8,2.07838503584963,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,2,0,-1.3256508089974464,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,2,0,-1.0990996615554103,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,1,10,6,0.295635896925372,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,11,0,-0.997862741785365,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,9,33,2.730203781024187,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,6,4,-0.034973495347856,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,0,-1.087995077167328,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,10,5,0.0637604424093929,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,5,14,2.6248681875065714,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,2,-0.5109950870570472,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,6,0,-1.0669544782094942,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,1,10,0,-0.7982008475508557,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,10,8,0.5470114522916054,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,20,0,-1.0098286144898942,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,4,4,0,-2.6892476283905022,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,20,0,-0.7983705006293161,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,20,16,2.1824133658191105,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,15,0,-0.318555020328143,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,1,6,0,-0.476177221716661,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,6,6,2.528666992781938,1,1,1,0,1
2022,Aidan Sayin,Pennsylvania,3,10,12,2.2310152224592734,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,11,15,1.9026609005377484,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,8,0,-0.7413256585321806,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,10,0,-1.0526570825811008,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,1,10,3,-0.24791478712197265,0,1,1,0,0
2022,Aidan Sayin,Pennsylvania,1,10,0,-0.908489395271188,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,2,4,0,-1.087427766848994,0,1,0,0,0
2022,Aidan Sayin,Pennsylvania,3,4,9,2.1259161888711793,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,2,3,4,0.1670388059888596,1,1,1,0,0
2022,Aidan Sayin,Pennsylvania,3,10,42,5.256081949424413,1,1,1,0,1
