season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Alan Bowman,Oklahoma State,1,10.0,6,0.2888240217992033,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,2,16.0,19,1.8219437892512316,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,2,-0.600458473868767,0,1,1,0,0
2023,Alan Bowman,Oklahoma State,2,8.0,5,0.0768616630712886,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,3,3.0,6,1.7677559422534193,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,0,-1.1590089706435955,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,2,10.0,0,-0.9368191801087571,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,0,-0.9690270974076257,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,2,10.0,0,-1.0658475431296655,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,3,10.0,0,-0.8853276299465483,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,0,-0.8457687366186873,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,2,10.0,9,0.8449831085065433,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,3,1.0,8,0.5258570939782565,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,9,0.6367847307431815,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,2,1.0,0,-0.5931402802291035,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,4,1.0,3,0.573482936029295,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,3,8.0,0,-0.3751543911976396,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,0,-0.512081873784803,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,2,10.0,0,-0.7006450342354943,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,3,10.0,0,-0.9527802815229531,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,5,0.0997589035143243,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,12,1.0706667678637185,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,2,12.0,4,-0.1633922046641433,0,1,1,0,0
2023,Alan Bowman,Oklahoma State,3,8.0,4,-0.1595402639588865,0,1,1,0,0
2023,Alan Bowman,Oklahoma State,3,14.0,12,0.577199553151081,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,8,0.6434724471565767,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,17,1.2762675535739856,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,0,-0.8457687366186873,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,2,10.0,0,-1.0264463089218037,0,1,0,0,0
2023,Alan Bowman,Oklahoma State,3,10.0,30,2.54743734722839,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,3,-0.4062307312880424,0,1,1,0,0
2023,Alan Bowman,Oklahoma State,2,3.0,10,0.4869161907038891,1,1,1,0,0
2023,Alan Bowman,Oklahoma State,2,5.0,4,-0.0741362185068933,0,1,1,0,0
2023,Alan Bowman,Oklahoma State,1,10.0,13,2.538929215045847,1,1,1,0,1
2023,Alan Bowman,Oklahoma State,1,10.0,2,-0.45260367932203766,0,1,1,0,0
