season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Amari Odom,Wofford,2,8,15,1.9686555870040436,1,1,0,0,0
2023,Amari Odom,Wofford,1,10,4,-0.1665264279012551,0,1,1,0,0
2023,Amari Odom,Wofford,1,10,19,0.897932651681845,1,1,1,0,0
2023,Amari Odom,Wofford,3,21,11,1.2099356053768746,1,1,1,0,0
2023,Amari Odom,Wofford,1,10,1,-0.7895437741198555,0,1,1,0,0
2023,Amari Odom,Wofford,2,9,12,2.0337029055757965,1,1,1,0,0
2023,Amari Odom,Wofford,1,10,-10,-2.7174473262115346,0,1,1,0,0
2023,Amari Odom,Wofford,3,6,9,1.8899449908918244,1,1,1,0,0
2023,Amari Odom,Wofford,1,10,4,-0.1660250563858484,0,1,1,0,0
2023,Amari Odom,Wofford,2,6,0,-1.0482155226357586,0,1,0,0,0
2023,Amari Odom,Wofford,3,10,0,-0.736912945019438,0,1,0,0,0
2023,Amari Odom,Wofford,2,7,4,-0.153679545314846,0,1,1,0,0
2023,Amari Odom,Wofford,1,10,0,-0.7828922522763084,0,1,0,0,0
2023,Amari Odom,Wofford,3,11,0,-0.966011005946883,0,1,0,0,0
2023,Amari Odom,Wofford,3,8,0,-0.831644544890821,0,1,0,0,0
2023,Amari Odom,Wofford,2,1,0,-1.2753422217375716,0,1,0,0,0
2023,Amari Odom,Wofford,2,16,28,3.611502064545152,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Amari Odom,Wofford,1,10,5,0.0820151488011058,1,1,1,0,0
2024,Amari Odom,Wofford,2,5,6,0.6306662277367803,1,1,1,0,0
2024,Amari Odom,Wofford,2,10,0,-0.43555458427823446,0,1,0,0,0
2024,Amari Odom,Wofford,3,10,31,3.852641918124987,1,1,1,0,0
2024,Amari Odom,Wofford,3,19,12,1.3615841139960247,1,1,1,0,0
2024,Amari Odom,Wofford,4,7,0,-1.9422687065380693,0,1,0,0,0
2024,Amari Odom,Wofford,2,7,4,-0.1099606619999863,0,1,1,0,0
2024,Amari Odom,Wofford,4,5,9,2.2834355879638064,1,1,1,0,0
2024,Amari Odom,Wofford,2,29,0,-0.472485211592927,0,1,0,0,0
2024,Amari Odom,Wofford,3,29,16,1.5990867675520049,1,1,1,0,0
2024,Amari Odom,Wofford,3,16,0,-0.6523805941844829,0,1,0,0,0
2024,Amari Odom,Wofford,2,16,0,-0.9524109704902868,0,1,0,0,0
2024,Amari Odom,Wofford,1,10,0,-1.065701080215459,0,1,0,0,0
2024,Amari Odom,Wofford,2,10,0,-0.6622137678957802,0,1,0,0,0
2024,Amari Odom,Wofford,3,10,12,2.8550584377960506,1,1,1,0,0
2024,Amari Odom,Wofford,1,5,0,-1.1112749851478263,0,1,0,0,0
2024,Amari Odom,Wofford,2,5,0,-1.1590765830613476,0,1,0,0,0
2024,Amari Odom,Wofford,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,Amari Odom,Wofford,2,20,5,0.01442581974566081,1,1,1,0,0
2024,Amari Odom,Wofford,2,11,0,-0.29427450685877776,0,1,0,0,0
2024,Amari Odom,Wofford,3,11,17,2.514506627597382,1,1,1,0,0
2024,Amari Odom,Wofford,2,9,12,2.0356887334037648,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,0,-1.0250974847844603,0,1,0,0,0
2024,Amari Odom,Wofford,2,10,21,1.868300530652867,1,1,1,0,0
2024,Amari Odom,Wofford,2,11,12,0.7154568295724725,1,1,1,0,0
2024,Amari Odom,Wofford,2,14,-4,-1.1409826761449615,0,1,1,0,0
2024,Amari Odom,Wofford,3,18,9,0.677154451951976,1,1,1,0,0
2024,Amari Odom,Wofford,3,9,12,1.5129447950133548,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,-4,-1.2752756944580659,0,1,1,0,0
2024,Amari Odom,Wofford,2,2,9,0.3592707798764662,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,35,1.098180841244913,1,1,1,0,0
2024,Amari Odom,Wofford,2,4,16,1.535530561766584,1,1,1,0,0
2024,Amari Odom,Wofford,2,10,5,0.04248127603289475,1,1,1,0,0
2024,Amari Odom,Wofford,3,5,0,-0.35167416753824376,0,1,0,0,0
2024,Amari Odom,Wofford,2,5,0,-0.4433564834556636,0,1,0,0,0
2024,Amari Odom,Wofford,2,6,0,-0.6509048869110972,0,1,0,0,0
2024,Amari Odom,Wofford,3,6,0,-0.3146897268978579,0,1,0,0,0
2024,Amari Odom,Wofford,1,10,24,2.04183391815749,1,1,1,0,0
2024,Amari Odom,Wofford,2,9,5,0.0521480487973865,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,25,2.2363431875999487,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,Amari Odom,Wofford,2,10,0,-1.0237730924311421,0,1,0,0,0
2024,Amari Odom,Wofford,3,10,9,0.931518471471275,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,5,0.0790402371080084,1,1,1,0,0
2024,Amari Odom,Wofford,2,5,0,-0.6319525598072705,0,1,0,0,0
2024,Amari Odom,Wofford,3,5,3,-0.2672893658406572,0,1,1,0,0
2024,Amari Odom,Wofford,1,10,0,-0.2853930592519426,0,1,0,0,0
2024,Amari Odom,Wofford,2,10,10,2.7992199015013846,1,1,1,0,1
2024,Amari Odom,Wofford,3,3,0,-0.5139435334013278,0,1,0,0,0
2024,Amari Odom,Wofford,3,12,12,3.234983643108377,1,1,1,0,1
2024,Amari Odom,Wofford,1,10,0,-0.5327945515514214,0,1,0,0,0
2024,Amari Odom,Wofford,3,5,13,1.8841431998540479,1,1,1,0,0
2024,Amari Odom,Wofford,1,10,21,1.7555753220056263,1,1,1,0,0
