season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Anthony Chiccitt,Robert Morris,1,10,1,-0.4473552582060227,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,9,79,5.947953504088376,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,11,0,-0.7232411042748907,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,11,0,-0.9685908790651218,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,6,7,0.9773091349550356,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,10,0.9665866083503082,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,6,0.3867807823815586,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,12,0.4626474785859038,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,5,0.03780033731591903,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,3,17,5,0.00980844007469272,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,13,11,1.4899280994144757,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,2,-0.6439997383019928,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,2,-0.28628930380234063,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,8,0,-0.28393189748991254,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,11,0,-1.0401459627134635,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,0,-0.04320091191286135,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.7982008475508557,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,0,-0.41175635476850303,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,14,2.5038867025460956,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,11,1,-0.6139993994972102,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,3,12,0,-0.34784267291892235,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,5,4,-0.1296610983043145,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,0,-0.5798306702788407,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,11,0,-0.29427450685877776,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,5,0,-0.874775165803934,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,15,2.558199089565083,1,1,1,0,1
2022,Anthony Chiccitt,Robert Morris,3,9,4,-0.1524078349686276,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.8457687366186873,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,4,4,31,3.312796083534988,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,3,15,1,-0.07932337838299208,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.5586693796725282,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,0,-0.2608138520764314,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,37,3.853170939423208,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.6082596672078662,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,0,-0.8264171095016728,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,0,-0.4964187188337484,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,4,-0.02061551162905318,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,0,-0.2608138520764314,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,5,0.01620517857655024,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,3,4,0,-0.16597359618794805,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.8305196050291288,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,3,-0.09231055932640597,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.7029700220436519,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,16,1.4803864590540865,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.6630222646782312,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,0,-0.8862898506969809,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,1,-0.8123073663183968,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,2,9,0,-0.40831395320271024,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,9,0,-0.18876768235831598,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.7029700220436519,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,12,0,-0.11184027731402413,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,2,10,0,-0.23306550564546488,0,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,3,10,7,0.1025019707151795,1,1,1,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,0,-0.5080208698531008,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,3,8,0,-0.9588921096857801,0,1,0,0,0
2022,Anthony Chiccitt,Robert Morris,1,10,5,0.0855067756440384,1,1,1,0,0
