season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Anthony Colandrea,Virginia,2,14,0,-0.13721568439721032,0,1,0,0,0
2023,Anthony Colandrea,Virginia,3,14,0,-0.06008942185774924,0,1,0,0,0
2023,Anthony Colandrea,Virginia,1,10,11,0.9305625119459905,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,1,-0.7412392194018765,0,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,0,-0.7828922522763084,0,1,0,0,0
2023,Anthony Colandrea,Virginia,1,10,0,-0.4522778946200265,0,1,0,0,0
2023,Anthony Colandrea,Virginia,3,7,0,-0.7134165372465588,0,1,0,0,0
2023,Anthony Colandrea,Virginia,1,10,12,0.8667470799632433,1,1,1,0,0
2023,Anthony Colandrea,Virginia,3,6,3,-0.20457103128580556,0,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,5,0.0945451165334843,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,63,5.05051079357775,1,1,1,0,1
2023,Anthony Colandrea,Virginia,3,7,14,2.371251049838045,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,8,1.0102722158723196,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,0,-0.9864556271674072,0,1,0,0,0
2023,Anthony Colandrea,Virginia,3,15,15,2.818641491064514,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,32,1.688744832772331,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,4,-0.0334632336053265,0,1,1,0,0
2023,Anthony Colandrea,Virginia,2,6,8,0.184806640176376,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,8,0.4460962314173945,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,75,6.0777551197213215,1,1,1,0,1
2023,Anthony Colandrea,Virginia,2,9,7,0.255004366710446,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,0,-0.8305196050291288,0,1,1,0,0
2023,Anthony Colandrea,Virginia,3,12,25,3.4632196265607336,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,3,-0.2957674139440157,0,1,1,0,0
2023,Anthony Colandrea,Virginia,2,7,60,3.8434279916294116,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,15,6,0.15393843514796224,1,1,1,0,0
2023,Anthony Colandrea,Virginia,2,9,20,2.4803371251377992,1,1,1,0,0
2023,Anthony Colandrea,Virginia,2,10,9,1.109523512471588,1,1,1,0,0
2023,Anthony Colandrea,Virginia,3,9,0,-0.9459898924641718,0,1,0,0,0
2023,Anthony Colandrea,Virginia,3,20,0,-0.0269821033744684,0,1,0,0,0
2023,Anthony Colandrea,Virginia,4,20,0,0.3894351309643982,1,1,0,0,0
2023,Anthony Colandrea,Virginia,1,10,49,2.6739942893989603,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,9,1.3755540761931897,1,1,1,0,0
2023,Anthony Colandrea,Virginia,2,13,16,2.475813719498167,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,16,0.368141155139433,1,1,1,0,0
2023,Anthony Colandrea,Virginia,1,10,19,2.604447628637523,1,1,1,0,1
2023,Anthony Colandrea,Virginia,1,20,0,-0.140464090692074,0,1,0,0,0
