season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Ashton Daniels,Stanford,1,10.0,4,-0.1651640993405828,0,1,1,0,0
2022,Ashton Daniels,Stanford,2,10.0,23,2.178061711220476,1,1,1,0,0
2022,Ashton Daniels,Stanford,1,10.0,7,0.7081222799232592,1,1,1,0,0
2022,Ashton Daniels,Stanford,2,10.0,0,-1.0264463089218037,0,1,1,0,0
2022,Ashton Daniels,Stanford,2,8.0,0,-0.4311353787193166,0,1,0,0,0
2022,Ashton Daniels,Stanford,2,6.0,5,0.0858315387015435,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,3,-0.385960016074776,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,7.0,0,-1.127138677334667,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.6918622905019662,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,10.0,25,1.1506242320294802,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,4.0,6,0.7403021770041072,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-1.1247712359915258,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,7.0,9,2.515198335017388,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,7,0.559881404072259,1,1,1,0,0
2023,Ashton Daniels,Stanford,3,4.0,7,1.471406625041324,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,3.0,0,-1.1474186383277107,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,8.0,0,-0.3045902576432189,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,10.0,20,2.3449336518675743,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-1.1527089917962545,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,22,1.9824556861480138,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,1,-0.482852560268812,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,9.0,32,3.3859273337708,1,1,1,0,1
2023,Ashton Daniels,Stanford,1,10.0,9,1.3844644054795978,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,11,0.209795504285248,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,11.0,10,1.6392200571905438,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,1.0,5,-0.0653201582987785,0,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,4,-0.1462695033279216,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,6.0,0,-1.1495421661725853,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,6.0,2,-0.597231085688337,0,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,9,1.252308359788624,1,1,1,0,0
2023,Ashton Daniels,Stanford,3,5.0,-2,-0.448030760284906,0,1,1,0,0
2023,Ashton Daniels,Stanford,3,4.0,6,1.2676706576308945,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,4.0,0,-0.6464053937002717,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,2.0,0,-0.48290992275985,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,8.0,23,2.2882484493172317,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,2,-0.3147690788048898,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,10.0,9,0.7342872124055387,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,8.0,0,-1.081379933704847,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,4,-0.1142886249388964,0,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,13,2.538929215045847,1,1,1,0,1
2023,Ashton Daniels,Stanford,1,10.0,13,1.124751479041831,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,8.0,0,-0.4788075161366292,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,8.0,6,0.11050934457707573,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,9.0,0,-0.43127540127432606,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,9.0,0,-0.20098972393095416,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.8627910327708888,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-1.1618692012952412,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,10.0,25,2.9393132096436005,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,25,1.1413275698553156,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,16.0,0,-0.9332159320606586,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,20,1.8011418824049565,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-1.1618692012952412,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,16.0,6,0.09424597269259838,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,20.0,0,-0.6651585823204629,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,10.0,13,1.8277215010854828,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,17.0,5,0.021452891352367946,1,1,1,0,0
2023,Ashton Daniels,Stanford,3,12.0,35,4.133229472100061,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.362321296557512,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,12.0,20,2.733502595557571,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,3.0,11,0.9686835386008124,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,6,0.3370848727167229,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,4.0,0,-1.1134606721203877,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,4.0,3,-0.41139646891609,0,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.7519361608312708,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,10.0,4,-0.1280756940017084,0,1,1,0,0
2023,Ashton Daniels,Stanford,3,6.0,0,-1.0027389238113287,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,9,1.150899831387264,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,16,0.4191118176812502,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.3882383440694163,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,15.0,18,0.664237677056839,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,8.0,0,-0.290695577850234,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,3,-0.270025967249902,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,7.0,6,0.269240339137758,1,1,1,0,0
2023,Ashton Daniels,Stanford,3,11.0,0,-0.5690936648381326,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,4.0,0,-0.8681070846083454,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,4.0,5,1.4652947955017677,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,,0,,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,9.0,10,1.9049837228746709,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,4,-0.1543469215353017,0,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.6630222646782312,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,6.0,21,1.287638413874273,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-1.041155320344064,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.7828922522763084,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,8.0,0,-1.0400641260054968,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,4.0,0,-0.4506417285523403,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,4.0,1,-0.16521752972165338,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,15.0,0,-0.18169726100692787,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,4.0,0,-0.6464053937002717,0,1,0,0,0
2023,Ashton Daniels,Stanford,3,4.0,18,0.9014595034360317,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,97,6.957518561739901,1,1,1,0,1
2023,Ashton Daniels,Stanford,1,10.0,0,-1.1247712359915258,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,10.0,60,5.881671840135201,1,1,1,0,1
2023,Ashton Daniels,Stanford,1,10.0,4,-0.059449490714332,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,6.0,10,0.358076635578797,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,7.0,0,-0.3835955463237236,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,8.0,15,1.84744475816157,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,13.0,7,0.148633649657704,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,-1,-0.6343354265717327,0,1,1,0,0
2023,Ashton Daniels,Stanford,2,11.0,11,1.327606703272492,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,13,1.2274698213930169,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-1.15714755134967,0,1,0,0,0
2023,Ashton Daniels,Stanford,1,10.0,0,-0.997770018980635,0,1,0,0,0
2023,Ashton Daniels,Stanford,2,10.0,5,0.07224081060029,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,5.0,12,0.6181534928242753,1,1,1,0,0
2023,Ashton Daniels,Stanford,1,10.0,5,0.076570349594624,1,1,1,0,0
2023,Ashton Daniels,Stanford,2,5.0,13,0.173617282294365,1,1,1,0,0
