season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Ben Finley,Akron,1,10,9,1.252308359788624,1,1,1,0,0
2024,Ben Finley,Akron,2,1,5,-0.0295692765321684,0,1,1,0,0
2024,Ben Finley,Akron,3,15,0,-0.17692649848869646,0,1,0,0,0
2024,Ben Finley,Akron,1,10,19,1.5310417591402368,1,1,1,0,0
2024,Ben Finley,Akron,3,5,6,2.0561128140471148,1,1,1,0,0
2024,Ben Finley,Akron,3,5,0,-1.0164838033385433,0,1,0,0,0
2024,Ben Finley,Akron,2,10,5,0.065375341090318,1,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-0.814236079442537,0,1,0,0,0
2024,Ben Finley,Akron,2,5,0,-1.1531340131432213,0,1,0,0,0
2024,Ben Finley,Akron,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,Ben Finley,Akron,2,10,8,0.8233244266089327,1,1,1,0,0
2024,Ben Finley,Akron,1,10,2,-0.3794776766448038,0,1,1,0,0
2024,Ben Finley,Akron,2,5,-1,-0.8597386283834778,0,1,1,0,0
2024,Ben Finley,Akron,3,15,4,-0.0040623475013657,0,1,1,0,0
2024,Ben Finley,Akron,1,10,4,-0.1504912861657514,0,1,1,0,0
2024,Ben Finley,Akron,2,6,1,-0.918475634513344,0,1,1,0,0
2024,Ben Finley,Akron,1,10,27,0.586540271367328,1,1,1,0,0
2024,Ben Finley,Akron,3,24,0,-0.9399819982640985,0,1,0,0,0
2024,Ben Finley,Akron,1,15,0,-0.32565561419001554,0,1,0,0,0
2024,Ben Finley,Akron,2,15,11,0.5323413088838862,1,1,1,0,0
2024,Ben Finley,Akron,3,4,8,1.7574713668122326,1,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-1.0742999147475647,0,1,0,0,0
2024,Ben Finley,Akron,2,10,0,-1.0509966519448302,0,1,0,0,0
2024,Ben Finley,Akron,3,10,0,-0.7682826649286678,0,1,0,0,0
2024,Ben Finley,Akron,1,10,0,-0.4181180581276075,0,1,0,0,0
2024,Ben Finley,Akron,1,15,10,0.9950686644545285,1,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-1.1077677360468863,0,1,0,0,0
2024,Ben Finley,Akron,1,10,15,1.401305078569962,1,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,Ben Finley,Akron,2,10,0,-1.0237730924311421,0,1,0,0,0
2024,Ben Finley,Akron,3,10,0,-0.7052334563220866,0,1,0,0,0
2024,Ben Finley,Akron,1,10,0,-1.1496266880203319,0,1,0,0,0
2024,Ben Finley,Akron,2,10,4,-0.145644181002865,0,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-0.7029700220436519,0,1,1,0,0
2024,Ben Finley,Akron,2,10,17,2.219021929725658,1,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-0.6082596672078662,0,1,0,0,0
2024,Ben Finley,Akron,2,10,32,3.4797790927968286,1,1,1,0,1
2024,Ben Finley,Akron,2,5,0,-0.7537324720659102,0,1,0,0,0
2024,Ben Finley,Akron,3,5,0,-0.3716239049161505,0,1,0,0,0
2024,Ben Finley,Akron,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Ben Finley,Akron,3,9,0,-0.18876768235831598,0,1,0,0,0
2024,Ben Finley,Akron,1,10,-1,-0.4988928281154159,0,1,1,0,0
2024,Ben Finley,Akron,2,11,24,0.1198543779906256,1,1,0,1,0
2024,Ben Finley,Akron,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Ben Finley,Akron,3,14,8,0.0848797502331582,1,1,1,0,0
2024,Ben Finley,Akron,2,2,-2,-1.4451691386168424,0,1,1,0,0
2024,Ben Finley,Akron,1,10,-2,-0.8852575132705454,0,1,1,0,0
2024,Ben Finley,Akron,2,12,11,0.8622236513215977,1,1,1,0,0
2024,Ben Finley,Akron,1,10,8,0.9766666141209867,1,1,1,0,0
2024,Ben Finley,Akron,1,10,24,0.5519198568892704,1,1,1,0,0
2024,Ben Finley,Akron,2,7,7,2.607148468017737,1,1,1,0,1
2024,Ben Finley,Akron,2,5,36,2.738919211908046,1,1,1,0,0
2024,Ben Finley,Akron,1,10,21,0.56725984381122,1,1,1,0,0
2024,Ben Finley,Akron,1,7,5,0.128818105004988,1,1,0,0,0
2024,Ben Finley,Akron,1,2,2,1.213235297672098,1,1,1,0,1
2024,Ben Finley,Akron,3,7,56,6.128979680672107,1,1,1,0,1
2024,Ben Finley,Akron,2,3,9,0.2548330066187356,1,1,1,0,0
2024,Ben Finley,Akron,3,3,6,0.469722516791492,1,1,1,0,0
2024,Ben Finley,Akron,2,11,18,2.996062643426431,1,1,1,0,1
2024,Ben Finley,Akron,3,9,7,0.17489164542280466,1,1,1,0,0
2024,Ben Finley,Akron,3,9,18,1.2843300418373769,1,1,1,0,0
2024,Ben Finley,Akron,1,10,16,1.4187427699228943,1,1,1,0,0
2024,Ben Finley,Akron,2,10,0,-0.7894428348388577,0,1,1,0,0
2024,Ben Finley,Akron,2,15,8,0.7302303941382428,1,1,1,0,0
2024,Ben Finley,Akron,4,7,12,3.021029228127739,1,1,1,0,0
2024,Ben Finley,Akron,2,10,4,-0.045620266835931,0,1,1,0,0
2024,Ben Finley,Akron,2,20,6,0.03520700554393132,1,1,1,0,0
2024,Ben Finley,Akron,2,10,29,2.454904182821556,1,1,1,0,0
2024,Ben Finley,Akron,1,10,7,0.6972022034641013,1,1,1,0,0
2024,Ben Finley,Akron,2,3,2,-0.754086878254041,0,1,1,0,0
2024,Ben Finley,Akron,1,10,17,0.8908111260482859,1,1,1,0,0
2024,Ben Finley,Akron,3,19,24,3.556228885368545,1,1,1,0,0
2024,Ben Finley,Akron,1,10,6,0.184964409309442,1,1,1,0,0
2024,Ben Finley,Akron,2,16,0,-0.2009429949077326,0,1,0,0,0
2024,Ben Finley,Akron,3,16,3,-0.04160532096184699,0,1,1,0,0
2024,Ben Finley,Akron,1,10,7,0.604642460086338,1,1,1,0,0
2024,Ben Finley,Akron,2,3,0,-0.9937966012014892,0,1,0,0,0
2024,Ben Finley,Akron,3,3,1,-0.4317477097664399,0,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Ben Finley,Akron,2,10,1,-0.29282347426074384,0,1,1,0,0
2024,Ben Finley,Akron,3,9,6,0.0926958217879168,1,1,1,0,0
2024,Ben Finley,Akron,1,10,6,0.4012419719961234,1,1,1,0,0
2024,Ben Finley,Akron,3,13,0,-0.612216708619755,0,1,0,0,0
2024,Ben Finley,Akron,1,10,2,-0.5661525320140282,0,1,1,0,0
2024,Ben Finley,Akron,3,5,8,2.039252259561631,1,1,1,0,0
2024,Ben Finley,Akron,1,10,42,3.294935471572124,1,1,1,0,1
2024,Ben Finley,Akron,2,10,15,2.3275287772888724,1,1,1,0,0
2024,Ben Finley,Akron,1,10,0,-1.15714755134967,0,1,0,0,0
2024,Ben Finley,Akron,2,5,7,0.932699209610087,1,1,1,0,0
2024,Ben Finley,Akron,2,6,0,-1.0222685605653614,0,1,0,0,0
2024,Ben Finley,Akron,3,6,0,-0.6094006658069526,0,1,0,0,0
2024,Ben Finley,Akron,3,7,0,-0.2994278057522406,0,1,0,0,0
2024,Ben Finley,Akron,1,10,0,-0.766047035673644,0,1,0,0,0
2024,Ben Finley,Akron,2,5,6,0.20045952658316057,1,1,1,0,0
2024,Ben Finley,Akron,1,10,5,0.0599603337019321,1,1,1,0,0
2024,Ben Finley,Akron,3,7,0,-0.26587881160037785,0,1,0,0,0
2024,Ben Finley,Akron,2,4,1,-0.378103368194286,0,1,1,0,0
2024,Ben Finley,Akron,3,3,0,-0.23775589007970765,0,1,0,0,0
2024,Ben Finley,Akron,1,20,0,-0.140464090692074,0,1,0,0,0
2024,Ben Finley,Akron,2,20,0,0.3003981182966191,1,1,0,1,0
