season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Ben Wooldridge,Louisiana,1,10,0,-0.5080208698531008,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,10,6,0.12492517769457745,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,4,17,2.212381591652947,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,13,0.2195784633057376,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,3,8,1.5597977235118297,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,0,-1.065701080215459,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,10,0,-0.6622137678957802,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,8,5,0.0587846884911194,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,10,0,-0.3431180129488407,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,6,10,1.2635677311068996,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,13,9,0.733310246277818,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,15,4,-0.1338064846112434,0,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,12,8,0.610700579844008,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,11,12,2.313984579046659,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,12,1.0272443261435713,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,9,1.3755540761931897,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,0,-1.0250974847844603,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,10,7,0.542253147716739,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,6,10,0.4346449674650867,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,8,0.464651193572722,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,9,6,0.212813209686375,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,3,0,-0.5139435334013278,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,12,0,-0.5084520593696595,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,12,0,-0.5084520593696595,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,3,12,16,3.192108971828146,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,12,16,3.192108971828146,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,4,-0.1142886249388964,0,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,10,13,1.0168283076304623,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,6,16,1.915430507343853,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,20,1.304024453539409,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,4,3,0,-0.019147205762199526,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,1,10,0,-0.7029700220436519,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,3,10,7,0.1469772246489116,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,10,5,0.0740286787883732,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,10,9,0.423131319721046,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,5,0.1087719603915716,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,5,0,-0.9114899232737539,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,23,6,0.0332085902437802,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,27,0,-0.08207340370727235,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,3,27,12,0.15892491882948612,1,1,1,0,0
2022,Ben Wooldridge,Louisiana,1,10,-2,-1.3862523018398782,0,1,1,0,0
2022,Ben Wooldridge,Louisiana,2,12,3,-0.3919103949366409,0,1,1,0,0
2022,Ben Wooldridge,Louisiana,3,9,0,-0.9670573278002852,0,1,0,0,0
2022,Ben Wooldridge,Louisiana,2,4,4,0.1616292205348184,1,1,1,0,0
