season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.56081223487854,False,53.0
2004,Brady Quinn,Notre Dame,2007,,,27,pass,2.9209067821502686,False,37.0
2004,Brady Quinn,Notre Dame,2007,,,8,pass,2.1472086906433105,True,8.0
2004,Brady Quinn,Notre Dame,2007,,,13,pass,1.7093987464904785,False,19.0
2004,Brady Quinn,Notre Dame,2007,,,6,pass,1.62154221534729,False,25.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.5826892852783203,False,19.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-1.0950366258621216,False,38.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.8800151348114014,False,64.0
2004,Brady Quinn,Notre Dame,2007,,,46,pass,4.480007171630859,True,46.0
2004,Brady Quinn,Notre Dame,2007,,,8,pass,0.815643310546875,False,10.0
2004,Brady Quinn,Notre Dame,2007,,,49,pass,3.022193431854248,False,70.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-1.9445421695709229,False,46.0
2004,Brady Quinn,Notre Dame,2007,,,11,pass,1.263647437095642,False,61.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.8855781555175781,False,46.0
2004,Brady Quinn,Notre Dame,2007,,,7,pass,-0.4538094997406006,False,82.0
2004,Brady Quinn,Notre Dame,2007,,,3,pass,-1.0864055156707764,False,71.0
2004,Brady Quinn,Notre Dame,2007,,,31,pass,3.067030191421509,False,40.0
2004,Brady Quinn,Notre Dame,2007,,,35,pass,2.686004638671875,False,64.0
2004,Brady Quinn,Notre Dame,2007,,,6,pass,1.3111509084701538,False,75.0
2004,Brady Quinn,Notre Dame,2007,,,9,pass,1.8482940196990967,False,58.0
2004,Brady Quinn,Notre Dame,2007,,,19,pass,0.9391663074493408,False,80.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.6941171884536743,False,95.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-1.0114110708236694,False,19.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.47853946685791016,False,35.0
2004,Brady Quinn,Notre Dame,2007,,,7,pass,0.43898558616638184,False,45.0
2004,Brady Quinn,Notre Dame,2007,,,5,pass,-0.06563782691955566,False,56.0
2004,Brady Quinn,Notre Dame,2007,,,35,pass,2.7490248680114746,True,35.0
2004,Brady Quinn,Notre Dame,2007,,,52,pass,2.70977520942688,False,77.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.8096003532409668,False,22.0
2004,Brady Quinn,Notre Dame,2007,,,-4,pass,-1.8014180660247803,False,54.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.8254241347312927,False,60.0
2004,Brady Quinn,Notre Dame,2007,,,11,pass,1.0431349277496338,False,80.0
2004,Brady Quinn,Notre Dame,2007,,,-7,pass,-0.11854839324951172,False,79.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-1.042585849761963,False,79.0
2004,Brady Quinn,Notre Dame,2007,,,50,pass,2.203063726425171,False,71.0
2004,Brady Quinn,Notre Dame,2007,,,17,pass,1.9511593580245972,False,79.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.44965195655822754,False,58.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.514035701751709,False,70.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.27173757553100586,False,29.0
2004,Brady Quinn,Notre Dame,2007,,,8,pass,0.5981576442718506,False,45.0
2004,Brady Quinn,Notre Dame,2007,,,11,pass,0.26366472244262695,False,56.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.8604534864425659,False,60.0
2004,Brady Quinn,Notre Dame,2007,,,15,pass,1.6666278839111328,True,15.0
2004,Brady Quinn,Notre Dame,2007,,,7,pass,0.20092487335205078,False,31.0
2004,Brady Quinn,Notre Dame,2007,,,7,pass,0.18776702880859375,False,65.0
2004,Brady Quinn,Notre Dame,2007,,,18,pass,1.693413257598877,True,18.0
2004,Brady Quinn,Notre Dame,2007,,,27,pass,3.5245516300201416,True,27.0
2004,Brady Quinn,Notre Dame,2007,,,10,pass,1.7384774684906006,False,38.0
2004,Brady Quinn,Notre Dame,2007,,,14,pass,0.9094827175140381,False,72.0
2004,Brady Quinn,Notre Dame,2007,,,11,pass,0.5579047203063965,False,55.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.7810540199279785,False,38.0
2004,Brady Quinn,Notre Dame,2007,,,14,pass,0.8424587249755859,False,79.0
2004,Brady Quinn,Notre Dame,2007,,,24,pass,2.157681465148926,True,25.0
2004,Brady Quinn,Notre Dame,2007,,,7,pass,1.002814531326294,False,42.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-1.886049747467041,False,37.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.9111113548278809,False,40.0
2004,Brady Quinn,Notre Dame,2007,,,22,pass,2.04376482963562,False,63.0
2004,Brady Quinn,Notre Dame,2007,,,-2,pass,-2.310255527496338,False,36.0
2004,Brady Quinn,Notre Dame,2007,,,-4,pass,-1.5241093635559082,False,37.0
2004,Brady Quinn,Notre Dame,2007,,,-4,pass,-1.2420880794525146,False,39.0
2004,Brady Quinn,Notre Dame,2007,,,9,pass,0.9619442224502563,False,52.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-4.685964584350586,False,12.0
2004,Brady Quinn,Notre Dame,2007,,,34,pass,5.989002227783203,False,54.0
2004,Brady Quinn,Notre Dame,2007,,,15,pass,2.215718984603882,False,72.0
2004,Brady Quinn,Notre Dame,2007,,,14,pass,1.285918116569519,False,95.0
2004,Brady Quinn,Notre Dame,2007,,,10,pass,1.3605899810791016,False,11.0
2004,Brady Quinn,Notre Dame,2007,,,17,pass,1.904897928237915,False,28.0
2004,Brady Quinn,Notre Dame,2007,,,41,pass,4.136059761047363,False,64.0
2004,Brady Quinn,Notre Dame,2007,,,40,pass,7.561532974243164,True,40.0
2004,Brady Quinn,Notre Dame,2007,,,21,pass,3.517637252807617,False,66.0
2004,Brady Quinn,Notre Dame,2007,,,6,pass,-0.6487361192703247,False,51.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.9556888341903687,False,51.0
2004,Brady Quinn,Notre Dame,2007,,,8,pass,1.1956723928451538,False,59.0
2004,Brady Quinn,Notre Dame,2007,,,18,pass,0.8416329026222229,False,80.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.5543515682220459,False,47.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.1301429271697998,False,48.0
2004,Brady Quinn,Notre Dame,2007,,,6,pass,0.03957259654998779,False,69.0
2004,Brady Quinn,Notre Dame,2007,,,0,pass,-0.37755346298217773,False,2.0
