season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2020,Brett Gabbert,Miami (OH),1,10,20,1.323297426599285,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),1,10,4,-0.1564365612469736,0,1,1,0,0
2020,Brett Gabbert,Miami (OH),3,5,61,6.265830146825335,1,1,1,0,1
2020,Brett Gabbert,Miami (OH),1,10,5,0.0872959704547682,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),3,24,13,1.6118601262854035,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),1,10,0,-0.4181180581276075,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),1,10,23,0.8793097300632358,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),3,4,5,1.7558989249331605,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),3,8,14,2.3108277379912745,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),1,10,0,-1.1496266880203319,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),1,10,0,-0.997770018980635,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),1,10,29,2.788301184598112,1,1,1,0,1
2020,Brett Gabbert,Miami (OH),3,6,9,2.3804599959954444,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),1,10,15,1.087564093379024,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),1,10,28,2.764014474138431,1,1,1,0,1
2020,Brett Gabbert,Miami (OH),1,10,0,-0.8627910327708888,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),2,9,0,-0.6839286311037895,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),3,9,6,0.15350456346100302,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),3,10,0,-0.6418714100938061,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),2,6,5,0.07578435724253473,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),1,10,0,-1.1430602484821704,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),2,6,0,-0.8073982355249001,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),1,10,18,0.9698925065324105,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),1,10,0,-0.291297448934314,0,1,0,0,0
2020,Brett Gabbert,Miami (OH),3,6,16,2.7986763157675725,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),2,11,22,1.1125493931559074,1,1,1,0,0
2020,Brett Gabbert,Miami (OH),3,14,15,3.477613432263823,1,1,1,0,1
2021,Brett Gabbert,Miami (OH),1,10,0,-0.6918622905019662,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),1,10,0,-0.9864556271674072,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),3,5,0,-0.9182089837970366,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),1,10,23,0.6487269168259284,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),2,4,7,0.5694271587270556,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,6,0.374950753061633,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),3,17,-1,-0.4675419917453514,0,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,0,-1.15714755134967,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),2,15,7,0.351442618109739,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),3,8,11,2.7465041277507645,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,0,-0.350740748439042,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),1,10,0,-0.6082596672078662,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),2,10,5,0.041046352184617,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),2,10,16,2.121712791966546,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,27,1.7874929242094648,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,20,0.300416290673329,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,4,-0.141734208558013,0,1,1,0,0
2021,Brett Gabbert,Miami (OH),2,4,10,1.100435336377101,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,0,-0.3882383440694163,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),1,10,2,-0.45260367932203766,0,1,1,0,0
2021,Brett Gabbert,Miami (OH),2,13,6,0.10108424692110773,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),3,7,51,4.300657448081867,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),3,2,1,-0.19865255331497522,0,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,3,-0.11032701016122193,0,1,1,0,0
2021,Brett Gabbert,Miami (OH),2,6,16,1.3851894081694986,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,20,0,-0.8671658574622878,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),2,8,0,-1.0744871250513215,0,1,0,0,0
2021,Brett Gabbert,Miami (OH),1,10,7,0.6703928066087635,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),3,4,8,1.2699091243050267,1,1,1,0,0
2021,Brett Gabbert,Miami (OH),1,10,10,0.8350381090299867,1,1,1,0,0
