season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2009,Brock Osweiler,Arizona State,2012,,,4,pass,-0.6008899211883545,False,43.0
2009,Brock Osweiler,Arizona State,2012,,,13,pass,0.6913652420043945,False,37.0
2009,Brock Osweiler,Arizona State,2012,,,16,pass,1.632300853729248,True,16.0
2009,Brock Osweiler,Arizona State,2012,,,10,pass,0.37413883209228516,False,48.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.8572733402252197,False,11.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-2.809689998626709,False,48.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.5452311038970947,False,50.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.6534831523895264,False,48.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.1196279525756836,False,71.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.9508312940597534,False,49.0
2009,Brock Osweiler,Arizona State,2012,,,18,pass,1.6645739078521729,False,67.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-2.7309935092926025,False,40.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.603308916091919,False,40.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.6715191602706909,False,40.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.545433759689331,False,40.0
2009,Brock Osweiler,Arizona State,2012,,,9,pass,0.22275567054748535,False,54.0
2009,Brock Osweiler,Arizona State,2012,,,7,pass,0.41402459144592285,False,61.0
2009,Brock Osweiler,Arizona State,2012,,,8,pass,-0.05587536096572876,False,69.0
2009,Brock Osweiler,Arizona State,2012,,,9,pass,0.08050760626792908,False,78.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.21707801520824432,False,75.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.490101933479309,False,42.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.6970434188842773,False,42.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.47957754135131836,False,42.0
2009,Brock Osweiler,Arizona State,2012,,,14,pass,1.928295373916626,False,56.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.6205248832702637,False,56.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.1961456537246704,False,46.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.9310010671615601,False,46.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.6310563087463379,False,46.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.8449206352233887,False,80.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.7434054017066956,False,86.0
2009,Brock Osweiler,Arizona State,2012,,,23,pass,3.061635971069336,True,23.0
2009,Brock Osweiler,Arizona State,2012,,,27,pass,2.6359217166900635,False,63.0
2009,Brock Osweiler,Arizona State,2012,,,15,pass,1.320549488067627,False,80.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.1453136205673218,False,76.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.5992776155471802,False,60.0
2009,Brock Osweiler,Arizona State,2012,,,22,pass,1.6944904327392578,False,82.0
2009,Brock Osweiler,Arizona State,2012,,,9,pass,1.171043872833252,False,91.0
2009,Brock Osweiler,Arizona State,2012,,,10,pass,-0.9297542572021484,False,14.0
2009,Brock Osweiler,Arizona State,2012,,,-3,pass,-0.7610838413238525,False,85.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-0.6235285401344299,False,77.0
2009,Brock Osweiler,Arizona State,2012,,,12,pass,2.5461509227752686,False,18.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.4989285469055176,False,58.0
2009,Brock Osweiler,Arizona State,2012,,,6,pass,-0.5283013582229614,False,59.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.7936232089996338,False,43.0
2009,Brock Osweiler,Arizona State,2012,,,0,pass,-1.041655421257019,False,43.0
