season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2020,Bryce Young,Alabama,2023,,,0,pass,-1.0083863735198975,False,16.0
2020,Bryce Young,Alabama,2023,,,-10,pass,-1.0689760446548462,False,50.0
2020,Bryce Young,Alabama,2023,,,0,pass,-0.3360562324523926,False,52.0
2020,Bryce Young,Alabama,2023,,,13,pass,1.8288496732711792,False,77.0
2020,Bryce Young,Alabama,2023,,,8,pass,-3.640939712524414,False,28.0
2020,Bryce Young,Alabama,2023,,,-2,pass,-1.0709738731384277,False,21.0
2020,Bryce Young,Alabama,2023,,,14,pass,2.065762758255005,False,45.0
2020,Bryce Young,Alabama,2023,,,0,pass,-0.9376943111419678,False,46.0
2020,Bryce Young,Alabama,2023,,,23,pass,1.668320894241333,False,69.0
2020,Bryce Young,Alabama,2023,,,6,pass,-0.276031494140625,False,75.0
2020,Bryce Young,Alabama,2023,,,-2,pass,-1.73765230178833,False,4.0
2020,Bryce Young,Alabama,2023,,,0,pass,-0.8757529258728027,False,4.0
2020,Bryce Young,Alabama,2023,,,18,pass,2.447868824005127,False,49.0
2020,Bryce Young,Alabama,2023,,,0,pass,-0.7896432876586914,False,49.0
2020,Bryce Young,Alabama,2023,,,12,pass,1.6072020530700684,False,62.0
2020,Bryce Young,Alabama,2023,,,0,pass,-0.8986918926239014,False,62.0
2020,Bryce Young,Alabama,2023,,,0,pass,-1.2179588079452515,False,46.0
2020,Bryce Young,Alabama,2023,,,0,pass,-0.7348227500915527,False,47.0
2020,Bryce Young,Alabama,2023,,,18,pass,3.4562695026397705,True,18.0
2020,Bryce Young,Alabama,2023,,,-8,pass,-1.8966708183288574,False,5.0
2020,Bryce Young,Alabama,2023,,,50,pass,-0.5742712020874023,False,76.0
2020,Bryce Young,Alabama,2023,,,-8,pass,-0.8789489269256592,False,72.0
2020,Bryce Young,Alabama,2023,,,0,pass,-0.6576855182647705,False,16.0
2020,Bryce Young,Alabama,2023,,,-7,pass,-1.3304262161254883,False,9.0
2020,Bryce Young,Alabama,2023,,,-2,pass,-0.8112227916717529,False,55.0
2020,Bryce Young,Alabama,2023,,,6,pass,0.39081811904907227,False,36.0
2020,Bryce Young,Alabama,2023,,,15,pass,0.5821621417999268,False,56.0
2020,Bryce Young,Alabama,2023,,,0,pass,-1.121419906616211,False,62.0
2021,Bryce Young,Alabama,2023,,,6,pass,1.3523035049438477,False,33.0
