season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,CJ Bailey,NC State,1,10,4,-0.1644248613169578,0,1,1,0,0
2024,CJ Bailey,NC State,2,11,17,2.677604534475574,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,9,1.010286769016353,1,1,1,0,0
2024,CJ Bailey,NC State,2,12,10,0.842375400641515,1,1,1,0,0
2024,CJ Bailey,NC State,3,13,5,0.0368301578053264,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,8,1.0159674518504005,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,15,1.221474008763372,1,1,1,0,0
2024,CJ Bailey,NC State,2,8,10,1.7828083497509366,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,15,0.912589108879143,1,1,1,0,0
2024,CJ Bailey,NC State,1,9,0,-0.315798379566314,0,1,0,0,0
2024,CJ Bailey,NC State,1,10,20,1.79348198159515,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,8,0.7522360030063563,1,1,1,0,0
2024,CJ Bailey,NC State,2,11,3,-0.3009881492691431,0,1,1,0,0
2024,CJ Bailey,NC State,1,10,0,-0.7982008475508557,0,1,0,0,0
2024,CJ Bailey,NC State,2,10,7,0.35656078520897166,1,1,1,0,0
2024,CJ Bailey,NC State,3,3,0,-0.5955568593275284,0,1,0,0,0
2024,CJ Bailey,NC State,1,10,38,2.1910383583936377,1,1,1,0,0
2024,CJ Bailey,NC State,3,2,0,-0.4775542815791096,0,1,0,0,0
2024,CJ Bailey,NC State,2,8,0,-0.8686215818531692,0,1,0,0,0
2024,CJ Bailey,NC State,4,2,0,-0.7154704747503713,0,1,0,0,0
2024,CJ Bailey,NC State,1,10,11,0.9485009707728855,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,9,1.010286769016353,1,1,1,0,0
2024,CJ Bailey,NC State,2,1,0,-4.397084527749923,0,1,0,1,0
2024,CJ Bailey,NC State,3,12,0,-0.11184027731402413,0,1,0,0,0
2024,CJ Bailey,NC State,1,10,12,1.0272443261435713,1,1,1,0,0
2024,CJ Bailey,NC State,2,9,23,2.7000447684234423,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,8,0.881884677547804,1,1,1,0,0
2024,CJ Bailey,NC State,3,2,5,1.174894361214653,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,-1,-1.015195614654532,0,1,1,0,0
2024,CJ Bailey,NC State,2,11,9,0.836375766788949,1,1,1,0,0
2024,CJ Bailey,NC State,2,13,4,-0.1090077903205469,0,1,1,0,0
2024,CJ Bailey,NC State,3,9,14,1.2068384787288498,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,CJ Bailey,NC State,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,CJ Bailey,NC State,2,11,28,3.2800286807282077,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,0,-0.7215426143188567,0,1,0,0,0
2024,CJ Bailey,NC State,3,9,0,-1.0310667585339084,0,1,0,0,0
2024,CJ Bailey,NC State,1,8,-2,-1.548679280150754,0,1,1,0,0
2024,CJ Bailey,NC State,2,10,19,2.7100227756305912,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,34,1.074273026220583,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,0,-0.3048472994988835,0,1,0,0,0
2024,CJ Bailey,NC State,2,11,3,-0.1844680215099741,0,1,1,0,0
2024,CJ Bailey,NC State,1,10,14,1.2227390832564555,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,7,0.7076562230979297,1,1,1,0,0
2024,CJ Bailey,NC State,2,12,15,2.0100089923123763,1,1,1,0,0
2024,CJ Bailey,NC State,1,17,36,3.4462522330823298,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,13,0.6402126346324764,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,9,1.3370266566355031,1,1,1,0,0
2024,CJ Bailey,NC State,2,1,12,0.5971782839980885,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,CJ Bailey,NC State,2,10,28,2.3080929720404257,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,6,0.3989351639023673,1,1,1,0,0
2024,CJ Bailey,NC State,2,4,0,-1.2417464247859178,0,1,0,0,0
2024,CJ Bailey,NC State,3,4,0,-0.9078276011078685,0,1,0,0,0
2024,CJ Bailey,NC State,2,8,0,-0.4788075161366292,0,1,0,0,0
2024,CJ Bailey,NC State,1,10,9,1.252308359788624,1,1,1,0,0
2024,CJ Bailey,NC State,2,1,13,0.73014732635939,1,1,1,0,0
2024,CJ Bailey,NC State,2,2,0,-1.217015426217138,0,1,0,0,0
2024,CJ Bailey,NC State,3,2,0,-1.1588553753149922,0,1,1,0,0
2024,CJ Bailey,NC State,4,2,0,-1.4315901703401828,0,1,0,0,0
2024,CJ Bailey,NC State,1,10,23,1.7054919726669322,1,1,1,0,0
2024,CJ Bailey,NC State,2,12,0,-0.08587417149756237,0,1,0,0,0
2024,CJ Bailey,NC State,3,12,0,-0.0365103599441321,0,1,0,0,0
2024,CJ Bailey,NC State,2,6,24,2.5788415033937877,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,-3,-1.4873770357925542,0,1,1,0,0
2024,CJ Bailey,NC State,3,10,9,0.5731510460639866,1,1,1,0,0
2024,CJ Bailey,NC State,2,7,14,1.496313619575279,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,34,1.797542797341698,1,1,1,0,0
2024,CJ Bailey,NC State,2,7,0,-0.9294870713655641,0,1,1,0,0
2024,CJ Bailey,NC State,3,17,0,-0.10964080254007148,0,1,0,0,0
2024,CJ Bailey,NC State,2,16,0,-0.2627953690406013,0,1,0,0,0
2024,CJ Bailey,NC State,3,16,6,0.05282476017392934,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,11,1.0578194730061268,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,6,0.374950753061633,1,1,1,0,0
2024,CJ Bailey,NC State,2,4,0,-1.2153451318226605,0,1,0,0,0
2024,CJ Bailey,NC State,3,4,0,-1.0361220574034729,0,1,0,0,0
2024,CJ Bailey,NC State,3,13,0,-0.1621180724269893,0,1,0,0,0
2024,CJ Bailey,NC State,2,1,-2,-0.724210162305985,0,1,1,0,0
2024,CJ Bailey,NC State,3,7,0,-0.2821474529492116,0,1,0,0,0
2024,CJ Bailey,NC State,1,10,6,0.3333748010525683,1,1,1,0,0
2024,CJ Bailey,NC State,2,4,14,1.4677670813523882,1,1,1,0,0
2024,CJ Bailey,NC State,2,13,0,-0.7399589969529244,0,1,0,0,0
2024,CJ Bailey,NC State,2,9,10,1.9049837228746709,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,0,-0.7029700220436519,0,1,1,0,0
2024,CJ Bailey,NC State,2,10,13,1.8277215010854828,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,10,0.9449493519690596,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,7,0.6193952681357987,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,24,0.6606165231121054,1,1,1,0,0
2024,CJ Bailey,NC State,1,10,-1,-0.416159540642017,0,1,1,0,0
2024,CJ Bailey,NC State,2,11,0,-0.4360756498182794,0,1,0,0,0
2024,CJ Bailey,NC State,3,11,0,-0.6982870722724784,0,1,0,0,0
