season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Camden Coleman,Richmond,1,10,6,0.22481186304046563,1,1,1,0,0
2023,Camden Coleman,Richmond,2,4,0,-0.5087951730954794,0,1,0,0,0
2023,Camden Coleman,Richmond,3,4,8,1.0084669891783644,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,7,0.6195700280317222,1,1,1,0,0
2023,Camden Coleman,Richmond,3,2,0,-0.6298762350589673,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,27,2.3915212834413646,1,1,1,0,0
2023,Camden Coleman,Richmond,2,5,0,-1.0991546213533567,0,1,0,0,0
2023,Camden Coleman,Richmond,3,5,0,-1.0723900763651333,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,65,5.242717010691335,1,1,1,0,1
2023,Camden Coleman,Richmond,2,12,56,5.781873337773813,1,1,1,0,1
2023,Camden Coleman,Richmond,2,9,17,2.095248144201028,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,6,0.239517661500843,1,1,1,0,0
2023,Camden Coleman,Richmond,2,4,22,0.451660864813261,1,1,1,0,0
2023,Camden Coleman,Richmond,1,13,13,2.720755919034913,1,1,1,0,1
2023,Camden Coleman,Richmond,2,10,0,-0.29227926870296894,0,1,0,0,0
2023,Camden Coleman,Richmond,3,10,12,1.8410849571123995,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,0,-0.814236079442537,0,1,0,0,0
2023,Camden Coleman,Richmond,3,3,6,1.513905620156982,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,9,1.366372861038295,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,35,1.28321284255629,1,1,1,0,0
2023,Camden Coleman,Richmond,2,6,11,2.577564250793017,1,1,1,0,1
2023,Camden Coleman,Richmond,1,10,0,-1.065701080215459,0,1,0,0,0
2023,Camden Coleman,Richmond,2,7,6,0.3413714860878373,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,10,0.330578174446757,1,1,1,0,0
2023,Camden Coleman,Richmond,3,2,8,0.3253737916533535,1,1,1,0,0
2023,Camden Coleman,Richmond,2,9,10,1.8269648027411074,1,1,1,0,0
2023,Camden Coleman,Richmond,2,2,2,2.067936525322223,1,1,1,0,1
2023,Camden Coleman,Richmond,2,6,3,-0.4296955317533797,0,1,1,0,0
2023,Camden Coleman,Richmond,3,3,3,1.493677591349071,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,5,0.1003706527461523,1,1,1,0,0
2023,Camden Coleman,Richmond,3,7,5,0.0682524139337897,1,1,1,0,0
2023,Camden Coleman,Richmond,2,6,0,-1.0222685605653614,0,1,0,0,0
2023,Camden Coleman,Richmond,2,9,0,-0.20324501811652596,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,8,1.037188716394402,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,13,0.9062502896359667,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,7,0.4473056556699185,1,1,1,0,0
2023,Camden Coleman,Richmond,2,3,4,-0.0465576963306895,0,1,1,0,0
2023,Camden Coleman,Richmond,1,20,14,1.31418131049935,1,1,1,0,0
2023,Camden Coleman,Richmond,2,6,12,0.295484441844057,1,1,1,0,0
2023,Camden Coleman,Richmond,2,9,0,-0.21376129491922757,0,1,0,0,0
2023,Camden Coleman,Richmond,3,9,0,-0.09281302057629047,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,9,0.766162278539236,1,1,1,0,0
2023,Camden Coleman,Richmond,2,1,4,-0.4193618615966685,0,1,1,0,0
2023,Camden Coleman,Richmond,2,9,2,-0.265889684711585,0,1,1,0,0
2023,Camden Coleman,Richmond,1,8,0,-0.357171386033373,0,1,0,0,0
2023,Camden Coleman,Richmond,2,8,3,-0.084828674435525,0,1,1,0,0
2023,Camden Coleman,Richmond,1,10,0,-1.1496266880203319,0,1,1,0,0
2023,Camden Coleman,Richmond,2,10,0,-0.8208195606150266,0,1,0,0,0
2023,Camden Coleman,Richmond,3,10,0,-0.46443741641154457,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,5,0.0945451165334843,1,1,1,0,0
2023,Camden Coleman,Richmond,2,5,7,0.932699209610087,1,1,1,0,0
2023,Camden Coleman,Richmond,3,9,0,-0.8412818377974193,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,2,-0.686234543960909,0,1,1,0,0
2023,Camden Coleman,Richmond,3,10,0,-0.46443741641154457,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Camden Coleman,Richmond,2,10,11,1.6335325339896425,1,1,1,0,0
2023,Camden Coleman,Richmond,2,11,1,-0.46335108370634254,0,1,1,0,0
2023,Camden Coleman,Richmond,3,10,0,-0.32221199814427326,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,6,0.2888240217992033,1,1,1,0,0
2023,Camden Coleman,Richmond,3,8,0,-0.16596300296032848,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,8,0.7756370382176572,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,8,0.9979151532889787,1,1,1,0,0
2023,Camden Coleman,Richmond,2,2,8,0.5099738279301567,1,1,1,0,0
2023,Camden Coleman,Richmond,1,5,32,0.222052400030592,1,1,1,0,0
2023,Camden Coleman,Richmond,1,7,0,-0.410393837690526,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,21,1.8928575820361135,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,7,0.4132162669128242,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,11,2.521739413367925,1,1,1,0,1
2023,Camden Coleman,Richmond,2,8,0,-0.5585175289005226,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,4,-0.1142886249388964,0,1,1,0,0
2023,Camden Coleman,Richmond,2,6,20,2.268676540767279,1,1,1,0,0
2023,Camden Coleman,Richmond,3,5,0,-0.290992528642002,0,1,0,0,0
2023,Camden Coleman,Richmond,1,10,47,2.235176685178964,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Camden Coleman,Richmond,3,19,10,0.09083667651500615,1,1,1,0,0
2023,Camden Coleman,Richmond,1,3,3,1.464451732731337,1,1,1,0,1
2023,Camden Coleman,Richmond,1,10,0,-0.320977659489319,0,1,0,0,0
2023,Camden Coleman,Richmond,2,6,9,0.249060029143169,1,1,1,0,0
2023,Camden Coleman,Richmond,3,5,11,2.31967141938775,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,11,0.8325274497543538,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,3,-0.3057652594509188,0,1,1,0,0
2023,Camden Coleman,Richmond,2,7,0,-1.0166239242297335,0,1,0,0,0
2023,Camden Coleman,Richmond,3,7,12,1.9107447974730756,1,1,1,0,0
2023,Camden Coleman,Richmond,1,10,4,-0.043244644569821,0,1,1,0,0
2024,Camden Coleman,Richmond,1,10,0,-0.814236079442537,0,1,0,0,0
2024,Camden Coleman,Richmond,2,10,11,1.190660160235657,1,1,1,0,0
2024,Camden Coleman,Richmond,1,10,1,-0.6903738736488947,0,1,1,0,0
2024,Camden Coleman,Richmond,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,Camden Coleman,Richmond,2,10,0,-0.7576599502448165,0,1,0,0,0
2024,Camden Coleman,Richmond,3,10,16,3.2264494328699964,1,1,1,0,0
2024,Camden Coleman,Richmond,1,10,0,-0.9690270974076257,0,1,0,0,0
2024,Camden Coleman,Richmond,2,10,4,-0.1582437750714777,0,1,1,0,0
2024,Camden Coleman,Richmond,4,16,6,-0.020933288802960526,0,1,0,1,0
2024,Camden Coleman,Richmond,2,10,0,-0.7006450342354943,0,1,0,0,0
2024,Camden Coleman,Richmond,3,10,0,-0.9527802815229531,0,1,0,0,0
2024,Camden Coleman,Richmond,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,Camden Coleman,Richmond,2,10,0,-0.9850636246407553,0,1,0,0,0
2024,Camden Coleman,Richmond,3,15,0,-0.3283214198247917,0,1,0,0,0
2024,Camden Coleman,Richmond,3,2,5,1.1282611170245553,1,1,1,0,0
2024,Camden Coleman,Richmond,2,9,18,2.485434795835212,1,1,1,0,0
2024,Camden Coleman,Richmond,2,9,20,2.5243877950754943,1,1,1,0,0
2024,Camden Coleman,Richmond,2,7,29,1.874794900793582,1,1,1,0,0
2024,Camden Coleman,Richmond,2,18,10,0.2445752915976831,1,1,1,0,0
2024,Camden Coleman,Richmond,2,5,8,0.477636443112038,1,1,1,0,0
2024,Camden Coleman,Richmond,2,2,11,-0.115496955756948,0,1,1,0,0
