season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2021,Carson Beck,Georgia,3,10,0,-0.11593841189942822,0,1,0,0,0
2021,Carson Beck,Georgia,1,10,0,-0.5586693796725282,0,1,0,0,0
2021,Carson Beck,Georgia,1,10,32,1.9928861300052445,1,1,1,0,0
2021,Carson Beck,Georgia,1,10,12,2.5300945420359255,1,1,1,0,1
2021,Carson Beck,Georgia,2,5,0,-1.0369829026101023,0,1,0,0,0
2021,Carson Beck,Georgia,3,5,12,2.503499595188087,1,1,1,0,0
2021,Carson Beck,Georgia,2,15,0,-0.4405163964238577,0,1,0,0,0
2021,Carson Beck,Georgia,3,15,0,-0.733599810487368,0,1,0,0,0
2021,Carson Beck,Georgia,1,10,32,2.646886317171478,1,1,1,0,0
2021,Carson Beck,Georgia,2,8,11,0.6932866007809743,1,1,1,0,0
2021,Carson Beck,Georgia,2,7,0,-0.4365443430125836,0,1,0,0,0
2021,Carson Beck,Georgia,3,7,0,-0.6198576191327767,0,1,0,0,0
2021,Carson Beck,Georgia,1,10,0,-0.9690270974076257,0,1,0,0,0
2021,Carson Beck,Georgia,4,2,0,-4.148647298745598,0,1,0,1,0
2021,Carson Beck,Georgia,2,10,27,1.802006352133233,1,1,1,0,0
2021,Carson Beck,Georgia,1,10,30,0.716200731285083,1,1,1,0,0
2021,Carson Beck,Georgia,2,9,10,1.574858363322937,1,1,1,0,0
2021,Carson Beck,Georgia,2,9,9,2.740036203212782,1,1,1,0,1
2021,Carson Beck,Georgia,2,10,1,-0.7863902095819411,0,1,1,0,0
2021,Carson Beck,Georgia,3,9,0,-0.6859238452324856,0,1,0,0,0
2021,Carson Beck,Georgia,1,10,0,-1.041155320344064,0,1,0,0,0
2021,Carson Beck,Georgia,1,10,0,-1.1527089917962545,0,1,0,0,0
2022,Carson Beck,Georgia,2,8,0,-0.29878805256599783,0,1,0,0,0
2022,Carson Beck,Georgia,2,5,13,1.093356449873636,1,1,1,0,0
2022,Carson Beck,Georgia,2,5,13,0.422140475584245,1,1,1,0,0
2022,Carson Beck,Georgia,1,10,23,1.5285905365976564,1,1,1,0,0
2022,Carson Beck,Georgia,3,8,18,7.178352243541706,1,1,1,0,1
2022,Carson Beck,Georgia,3,7,4,-0.1373350615625403,0,1,1,0,0
2022,Carson Beck,Georgia,4,5,11,1.466606781779982,1,1,1,0,0
2022,Carson Beck,Georgia,3,5,0,-0.7342260893461016,0,1,0,0,0
2022,Carson Beck,Georgia,3,5,20,2.4825069018930583,1,1,1,0,0
2022,Carson Beck,Georgia,1,10,16,1.460958771495374,1,1,1,0,0
2022,Carson Beck,Georgia,2,4,14,0.5934408203153866,1,1,1,0,0
2022,Carson Beck,Georgia,2,5,14,0.263206300897339,1,1,1,0,0
2022,Carson Beck,Georgia,1,9,2,-0.182910644371269,0,1,1,0,0
