season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-1.5547804832458496,False,34.0
2014,Carson Wentz,North Dakota State,2016,,,8,pass,0.3734116554260254,False,46.0
2014,Carson Wentz,North Dakota State,2016,,,5,pass,0.20541167259216309,False,38.0
2014,Carson Wentz,North Dakota State,2016,,,3,pass,-0.7023792266845703,False,40.0
2014,Carson Wentz,North Dakota State,2016,,,15,pass,1.7061595916748047,False,34.0
2014,Carson Wentz,North Dakota State,2016,,,4,pass,0.14758142828941345,False,87.0
2014,Carson Wentz,North Dakota State,2016,,,9,pass,0.9328168630599976,False,80.0
2014,Carson Wentz,North Dakota State,2016,,,14,pass,1.423463225364685,False,61.0
2014,Carson Wentz,North Dakota State,2016,,,16,pass,0.9163174629211426,False,25.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-1.0473237037658691,False,9.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-1.527388572692871,False,4.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-2.187049627304077,False,4.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-1.856218695640564,False,60.0
2014,Carson Wentz,North Dakota State,2016,,,26,pass,0.305006742477417,False,40.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-1.2557320594787598,False,3.0
2014,Carson Wentz,North Dakota State,2016,,,6,pass,-0.09932327270507812,False,8.0
2014,Carson Wentz,North Dakota State,2016,,,10,pass,0.04868602752685547,False,66.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-0.5060720443725586,False,56.0
2014,Carson Wentz,North Dakota State,2016,,,9,pass,0.703596830368042,False,56.0
2014,Carson Wentz,North Dakota State,2016,,,44,pass,3.6582019329071045,False,45.0
2014,Carson Wentz,North Dakota State,2016,,,5,pass,0.25043851137161255,False,64.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-1.6828715801239014,False,74.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-0.6809881925582886,False,91.0
2014,Carson Wentz,North Dakota State,2016,,,14,pass,2.514267683029175,False,63.0
2014,Carson Wentz,North Dakota State,2016,,,3,pass,-0.3632075786590576,False,49.0
2014,Carson Wentz,North Dakota State,2016,,,7,pass,1.6758497953414917,False,44.0
2014,Carson Wentz,North Dakota State,2016,,,0,pass,-0.6463344097137451,False,37.0
2014,Carson Wentz,North Dakota State,2016,,,-11,pass,-2.1706607341766357,False,38.0
2014,Carson Wentz,North Dakota State,2016,,,6,pass,0.21895122528076172,False,85.0
