season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Carter Cravens,Morehead State,2,15,0,-0.739616635552391,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,2,6,1.4800427659137032,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,6,0.4012419719961234,1,1,1,0,0
2022,Carter Cravens,Morehead State,3,2,20,2.2192456459227614,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,5,0,-0.6063758180006475,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,3,0,-0.813051991048222,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,5,10,1.6642098272703771,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,5,0.0855067756440384,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,7,0,-1.059214258925258,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,7,0,-0.6844956495921046,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,3,10,1.9052060487971572,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,5,0.0820151488011058,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,5,4,-0.0819471747656504,0,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,8,0.9916447666850381,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,0,-0.9690270974076257,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,6,17,2.658051093886107,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,10,0,-0.1687924871141524,0,1,0,0,0
2022,Carter Cravens,Morehead State,1,10,0,-0.3826565410356668,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,14,5,0.02056725579416608,1,1,1,0,0
2022,Carter Cravens,Morehead State,3,9,28,3.530261207891253,1,1,1,0,0
2022,Carter Cravens,Morehead State,3,7,0,-0.8963490238602781,0,1,0,0,0
2022,Carter Cravens,Morehead State,4,7,0,-2.4238903279853012,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,6,0,-1.1607754377006163,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,21,8,0.5774035032537537,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,18,0.2841485908868455,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,8,0.9104368550610653,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,2,7,0.4104176605165808,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,0,-1.1247712359915258,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,10,12,2.1954380038552443,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,25,1.0222561582087284,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,8,0.4686479074717325,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,2,13,0.982094472927398,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,9,0,-0.40831395320271024,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,9,0,-0.18876768235831598,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,5,7,0.932699209610087,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,9,19,2.56908042570252,1,1,1,0,0
2022,Carter Cravens,Morehead State,3,3,13,1.1200754636258916,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,0,-0.2853930592519426,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,10,0,-0.2792458253567104,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,10,0,-0.435155339591331,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,4,0,-0.5387821653708009,0,1,0,0,0
2022,Carter Cravens,Morehead State,1,10,2,-0.5660789348414365,0,1,1,0,0
2022,Carter Cravens,Morehead State,3,3,0,-0.6855090917214142,0,1,0,0,0
2022,Carter Cravens,Morehead State,1,10,72,5.855632712266052,1,1,1,0,1
2022,Carter Cravens,Morehead State,4,15,0,-1.5911177560802372,0,1,0,0,0
2022,Carter Cravens,Morehead State,3,15,0,-0.9965657240908001,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,10,0,-0.5229247355568223,0,1,0,0,0
2022,Carter Cravens,Morehead State,1,10,0,-0.402662020534962,0,1,0,0,0
2022,Carter Cravens,Morehead State,1,10,24,2.1375640547053596,1,1,1,0,0
2022,Carter Cravens,Morehead State,1,10,0,-1.1430602484821704,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,10,19,2.2480397636906133,1,1,1,0,0
2022,Carter Cravens,Morehead State,2,9,0,-0.8072572442422512,0,1,0,0,0
2022,Carter Cravens,Morehead State,2,10,4,-0.155005977700494,0,1,1,0,0
2022,Carter Cravens,Morehead State,3,6,0,-1.0669544782094942,0,1,0,0,0
2022,Carter Cravens,Morehead State,4,6,0,-1.4865001995902745,0,1,0,0,0
