season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Christopher Zellous,Hampton,2,5,-7,-2.078975352161847,0,1,1,0,0
2022,Christopher Zellous,Hampton,1,10,9,1.252308359788624,1,1,1,0,0
2022,Christopher Zellous,Hampton,2,10,14,1.6968654673299621,1,1,1,0,0
2022,Christopher Zellous,Hampton,2,7,12,0.4805609263725434,1,1,1,0,0
2022,Christopher Zellous,Hampton,2,10,20,1.3127917884289468,1,1,1,0,0
2022,Christopher Zellous,Hampton,1,10,0,-0.956890163923906,0,1,0,0,0
2022,Christopher Zellous,Hampton,2,10,20,2.7727445917986246,1,1,1,0,0
2022,Christopher Zellous,Hampton,2,7,0,-0.48195105428222096,0,1,0,0,0
2022,Christopher Zellous,Hampton,3,4,0,-0.31921377027446685,0,1,0,0,0
2022,Christopher Zellous,Hampton,3,10,0,-0.10907493765085707,0,1,0,0,0
2022,Christopher Zellous,Hampton,3,20,-3,-0.0286776996098892,0,1,1,0,0
2022,Christopher Zellous,Hampton,1,10,11,0.7675346628139116,1,1,1,0,0
2022,Christopher Zellous,Hampton,2,2,0,-1.1300243096866742,0,1,0,0,0
2022,Christopher Zellous,Hampton,2,10,0,-1.067301371027259,0,1,0,0,0
2022,Christopher Zellous,Hampton,1,10,18,1.275590132794118,1,1,1,0,0
2022,Christopher Zellous,Hampton,2,12,0,-1.0300537141483108,0,1,0,0,0
2022,Christopher Zellous,Hampton,2,9,0,-0.9539517409419745,0,1,0,0,0
2022,Christopher Zellous,Hampton,2,10,15,0.737167132877387,1,1,1,0,0
2022,Christopher Zellous,Hampton,3,7,39,4.029879488375372,1,1,1,0,0
2022,Christopher Zellous,Hampton,2,7,0,-0.4177784651267853,0,1,0,0,0
2022,Christopher Zellous,Hampton,2,17,9,0.21435495463484155,1,1,1,0,0
2022,Christopher Zellous,Hampton,3,8,0,-0.22421028645399854,0,1,0,0,0
2023,Christopher Zellous,Hampton,1,10,7,0.6816920045798367,1,1,1,0,0
2023,Christopher Zellous,Hampton,2,14,0,-0.5117682988032186,0,1,1,0,0
2023,Christopher Zellous,Hampton,3,14,7,0.20526073687966132,1,1,1,0,0
