season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Colton Joseph,Old Dominion,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,8,12,2.1541502787151225,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,-6,-1.1098077151473014,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,19,1,-0.02744418356899204,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,9,11,2.563797580850655,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,0,-1.1618692012952412,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,10,-1,-1.0547003558216126,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,13,0,-1.0023861749118854,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,10,0,-0.05639123047537707,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,6,0,-0.09577935193214149,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,6,6,0.3397865405551102,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,0,-0.4522778946200265,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,6,0,-0.5793220541179895,0,1,0,0,0
2024,Colton Joseph,Old Dominion,4,6,15,3.4068300257678574,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,9,4,-0.1274397573569193,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,5,0,-0.6617140534494768,0,1,0,0,0
2024,Colton Joseph,Old Dominion,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,10,12,2.077319225308962,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,13,5,0.03935166702429706,1,1,1,0,0
2024,Colton Joseph,Old Dominion,3,8,16,3.066967933481778,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,-3,-1.6833384450519322,0,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,10,2.513826842249442,1,1,1,0,1
2024,Colton Joseph,Old Dominion,2,2,1,-0.445562549855843,0,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,8,0.4837395689012885,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,6,0.3370848727167229,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,0,-0.9262377870973815,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,21,55,6.537523494296094,1,1,1,0,1
2024,Colton Joseph,Old Dominion,1,10,0,-1.087995077167328,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,10,6,0.2746278483667375,1,1,1,0,0
2024,Colton Joseph,Old Dominion,3,11,1,-1.3416475608481537,0,1,0,1,0
2024,Colton Joseph,Old Dominion,2,7,0,-1.040451324184561,0,1,0,0,0
2024,Colton Joseph,Old Dominion,1,10,3,-0.3178831342797892,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,4,12,2.3534885119700597,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,-3,-0.9562833890771465,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,9,0,-0.18876768235831598,0,1,0,0,0
2024,Colton Joseph,Old Dominion,1,10,0,-1.1301991718133413,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,10,0,-1.005741646158441,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,10,11,2.8702588779273803,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,40,3.189049143937341,1,1,1,0,1
2024,Colton Joseph,Old Dominion,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,Colton Joseph,Old Dominion,1,9,0,-0.5907181733335903,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,9,0,-0.7757461219398322,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,9,30,3.1717484867145647,1,1,1,0,0
2024,Colton Joseph,Old Dominion,3,6,0,-0.2368142460140934,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,6,0,-0.5148523715626974,0,1,0,0,0
2024,Colton Joseph,Old Dominion,1,10,5,0.0945451165334843,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,0,-0.6630222646782312,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,10,0,-0.8862898506969809,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,10,15,1.881590647651359,1,1,1,0,0
2024,Colton Joseph,Old Dominion,3,4,19,2.7710754711557257,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,7,6,0.153150238838187,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,7,0,-0.410393837690526,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,15,0,-0.30747238328081306,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,15,17,3.1460671627215495,1,1,1,0,0
2024,Colton Joseph,Old Dominion,3,9,0,-0.717715482952479,0,1,0,0,0
2024,Colton Joseph,Old Dominion,1,10,0,-0.956890163923906,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,10,0,-0.5416125590698764,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,10,5,0.02642554911697204,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,4,3,-0.4509608359265868,0,1,1,0,0
2024,Colton Joseph,Old Dominion,2,2,13,0.2486398322923067,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,1,0,-0.658477540898493,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,7,0,-0.8677535954355031,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,7,0,-0.4769471385968531,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,10,4,-0.1624133674396635,0,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,22,1.9824556861480138,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,2,-0.21657353611096042,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,5,9,0.9170457103585488,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,18,0,-0.07700364467693974,0,1,0,0,0
2024,Colton Joseph,Old Dominion,2,15,21,2.871377636555506,1,1,1,0,0
2024,Colton Joseph,Old Dominion,1,10,1,-0.9199637917398017,0,1,1,0,0
2024,Colton Joseph,Old Dominion,3,7,11,2.6524655956050394,1,1,1,0,0
2024,Colton Joseph,Old Dominion,3,3,13,1.2425137114795177,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,8,11,1.7714236709331566,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,9,9,2.740036203212782,1,1,1,0,1
2024,Colton Joseph,Old Dominion,2,2,4,0.116807471082506,1,1,1,0,0
2024,Colton Joseph,Old Dominion,2,8,0,-0.8373064649049704,0,1,0,0,0
2024,Colton Joseph,Old Dominion,3,8,6,0.19433065104903854,1,1,1,0,0
