season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Cooper Legas,Tulsa,2,8,0,-0.4339765661211427,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,7,0.4132162669128242,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,10,38,4.076421387409969,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,10,27,2.9785970666332133,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,18,2.591792709070591,1,1,1,0,1
2024,Cooper Legas,Tulsa,1,10,0,-0.9864556271674072,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,-4,-1.3959632052923183,0,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,20,1.6144964105683466,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,3,-0.4062307312880424,0,1,1,0,0
2024,Cooper Legas,Tulsa,2,7,1,-0.7187453143439937,0,1,1,0,0
2024,Cooper Legas,Tulsa,3,6,0,-0.5500549337832448,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,9,8,0.7118390869317306,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,7,0,-1.059214258925258,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,7,2,-0.4404395188349701,0,1,1,0,0
2024,Cooper Legas,Tulsa,3,9,7,0.380575467340445,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,7,24,3.2467204255974034,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,8,0,-1.102618608038954,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,31,2.841946170072948,1,1,1,0,1
2024,Cooper Legas,Tulsa,2,2,0,-1.1300243096866742,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,2,0,-0.6013143962559822,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,7,0,-0.0815330896191169,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,14,1.2227390832564555,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,6,0,-0.4060245273248624,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,0,-0.402662020534962,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,7,0,-0.6198576191327767,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,9,74,6.665234662823007,1,1,1,0,1
2024,Cooper Legas,Tulsa,2,5,32,2.5079400286245956,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,4,0,-0.6456997217339855,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,4,4,2.6959729214765815,1,1,1,0,1
2024,Cooper Legas,Tulsa,2,1,0,-1.2460620053172589,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,10,0,-0.6622137678957802,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,10,-1,-0.38843217038363687,0,1,1,0,0
2024,Cooper Legas,Tulsa,1,20,13,0.786411493939208,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,7,0,-0.5594317282120231,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,7,8,1.7857616541020294,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,22,1.852257136203207,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-0.4522778946200265,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,10,0,-0.6084005148647674,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,10,5,0.0436832732602,1,1,1,0,0
2024,Cooper Legas,Tulsa,4,5,20,3.7170794984906514,1,1,1,0,1
2024,Cooper Legas,Tulsa,2,13,27,1.7544671618488028,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,2,0,-1.3106693825978206,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,2,34,3.0894777198053642,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,22,1.0318116036942055,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,4,0,-0.6456997217339855,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,4,4,2.3338902404479605,1,1,1,0,1
2024,Cooper Legas,Tulsa,2,6,0,-0.6509048869110972,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,6,4,-0.05570833903159756,0,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-1.087995077167328,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,7,0,-1.1303938669231302,0,1,1,0,0
2024,Cooper Legas,Tulsa,3,7,0,-0.8995343697285872,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,8,-2,-0.27737679215558764,0,1,1,0,0
2024,Cooper Legas,Tulsa,2,1,0,-0.864809699308382,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,23,8,0.12510956415960006,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,11,6,0.0685567341781459,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,10,0,-0.24944723578013583,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,0,-0.9262377870973815,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,10,0,-0.5135431143257803,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,25,2.2363431875999487,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,9,40,2.29105909460802,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,10,6,0.095684014179833,1,1,1,0,0
2024,Cooper Legas,Tulsa,4,4,0,-4.017218287321738,0,1,0,1,0
2024,Cooper Legas,Tulsa,1,10,13,2.538929215045847,1,1,1,0,1
2024,Cooper Legas,Tulsa,4,5,7,1.1781502834448043,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,10,5,0.0436832732602,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,10,0,-0.6084005148647674,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,-4,-1.9960663408765047,0,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-0.4522778946200265,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,14,29,3.13739391073182,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,12,19,2.6502186323509207,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,8,0.9916447666850381,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-1.0507069190375147,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,6,-1,-1.2293712270788202,0,1,1,0,0
2024,Cooper Legas,Tulsa,3,4,16,2.908890454303155,1,1,1,0,1
2024,Cooper Legas,Tulsa,4,7,12,3.1866468863281874,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-0.6082596672078662,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,4,4,0.627491903183357,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-0.402662020534962,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,10,0,-1.1301991718133413,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,6,20,2.9195814276783763,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,6,0,-1.1418158508365952,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,7,0,-0.5594317282120231,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,6,15,2.6777039991033167,1,1,1,0,0
2024,Cooper Legas,Tulsa,4,4,0,-3.597159063546922,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,7,11,1.6451440550588359,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,5,0,-0.68551586602778,0,1,0,0,0
2024,Cooper Legas,Tulsa,3,5,0,-0.889380350482309,0,1,0,0,0
2024,Cooper Legas,Tulsa,2,6,32,1.218244244295006,1,1,1,0,0
2024,Cooper Legas,Tulsa,2,8,18,2.20918477066788,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,5,7,-0.4169550635023233,0,1,1,0,0
2024,Cooper Legas,Tulsa,2,7,3,-0.3533867654379872,0,1,1,0,0
2024,Cooper Legas,Tulsa,3,9,9,2.2911215327602648,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,10,1,-0.04995208742009627,0,1,1,0,0
2024,Cooper Legas,Tulsa,3,12,39,5.208577254596296,1,1,1,0,1
2024,Cooper Legas,Tulsa,2,20,8,0.6626861856679245,1,1,1,0,0
2024,Cooper Legas,Tulsa,3,11,7,0.2538719239809524,1,1,1,0,0
2024,Cooper Legas,Tulsa,1,10,0,-1.1301991718133413,0,1,0,0,0
2024,Cooper Legas,Tulsa,1,20,0,-0.9938804880943852,0,1,0,0,0
