season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Daniel Richardson,Florida A&M,2,10,10,1.4812061058171624,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,14,0,-0.3161998066950096,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,14,0,-0.14687540238390806,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,2,10,27,2.0459814312722457,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,28,1.008754612628907,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,0,-0.362321296557512,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,16,9,0.7066424710974761,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,0,-0.766047035673644,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,2,10,0,-0.389084322022601,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,4,-0.1644248613169578,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,6,6,1.1196362213214004,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,8,0,-1.081379933704847,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,8,0,-0.7635961392334023,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,15,1.4240112820685518,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,12,55,5.693927130124614,1,1,1,0,1
2024,Daniel Richardson,Florida A&M,1,10,5,0.0945451165334843,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,3,12,2.0967264794571667,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,7,10,1.4458863150478418,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,3,0,-0.918188329258518,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,3,11,1.0839687794310624,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,11,0.151801187086976,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,5,9,1.916815788941312,1,1,1,0,1
2024,Daniel Richardson,Florida A&M,1,10,4,-0.0884321258012219,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,4,14,2.051995159234405,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,2,20,22,3.3956503976560137,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,10,6,0.16823773848787482,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,4,6,1.5619766096993484,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,7,0.5253025865520424,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,12,1.131083306865028,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,7,15,2.9240607697555365,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,13,29,4.37417781551177,1,1,1,0,1
2024,Daniel Richardson,Florida A&M,2,9,7,0.3001103835120853,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,2,10,1.6017716690953838,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,-5,-1.0670735924396633,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,3,0,-1.273149056539049,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,3,17,2.5206686301242858,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,10,10,1.5180036830383568,1,1,0,0,0
2024,Daniel Richardson,Florida A&M,2,7,3,-0.124108133178693,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,4,0,-0.4483500992645144,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,10,0.37480601101457,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,6,0,-0.7987440892990438,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,8,0,-0.3439975114087259,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,6,0.3867807823815586,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,7,5,0.0539876760052973,1,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,12,16,2.0479025880285504,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,10,0.383148472457203,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,10,20,1.8940052184484628,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,21,1.7948225198444767,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,6,0,-0.29509485739271,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,-62,,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,3,-0.30809127134716,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,7,15,1.94468480242882,1,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,41,1.811983691814223,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,8,0.448246443804154,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,9,10,2.77738402286274,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,9,17,2.7257629836547657,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,5,0.077091139010788,1,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,3,9,0,0.07354861602571727,1,1,0,1,0
2024,Daniel Richardson,Florida A&M,1,10,0,-1.1077677360468863,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,11,5,0.02885134217796458,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,1,-0.5874795431016855,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,9,29,3.188720577755939,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,13,34,2.6115693549399186,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,1,10,10,0.8600926564651065,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,3,11,6,0.06495259722591129,1,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,15,0,-0.0664703321577882,0,1,0,0,0
2024,Daniel Richardson,Florida A&M,1,10,3,-0.17692987996152973,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,2,3,-0.0819307649219895,0,1,1,0,0
2024,Daniel Richardson,Florida A&M,2,17,7,0.09569125092811782,1,1,1,0,0
