season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Darian Mensah,Tulane,3,8.0,24,3.24683576354274,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,9,1.0659606614607482,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.7519361608312708,0,1,0,0,0
2024,Darian Mensah,Tulane,2,8.0,11,2.710853625636087,1,1,1,0,1
2024,Darian Mensah,Tulane,1,10.0,23,0.609146041152927,1,1,1,0,0
2024,Darian Mensah,Tulane,3,3.0,12,2.2019733410346287,1,1,1,0,0
2024,Darian Mensah,Tulane,3,9.0,14,2.0076330423006836,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.5586693796725282,0,1,0,0,0
2024,Darian Mensah,Tulane,1,10.0,18,1.4619651325715515,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,14,0.189907580372255,1,1,1,0,0
2024,Darian Mensah,Tulane,2,5.0,68,4.013789496778693,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,12,2.5300945420359255,1,1,1,0,1
2024,Darian Mensah,Tulane,3,2.0,25,3.002311782188203,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,6,0.2876660938940478,1,1,1,0,0
2024,Darian Mensah,Tulane,2,11.0,0,-1.0291233349696824,0,1,0,0,0
2024,Darian Mensah,Tulane,3,11.0,0,-0.9467172263806604,0,1,0,0,0
2024,Darian Mensah,Tulane,2,7.0,12,1.6914198981547406,1,1,1,0,0
2024,Darian Mensah,Tulane,2,8.0,53,3.7834860232688876,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,37,2.6773645455689117,1,1,1,0,0
2024,Darian Mensah,Tulane,1,15.0,17,0.8693248118973232,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.362321296557512,0,1,0,0,0
2024,Darian Mensah,Tulane,1,10.0,7,0.5413772358558367,1,1,1,0,0
2024,Darian Mensah,Tulane,2,11.0,28,3.3453470225950888,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,15,0.5205175034883389,1,1,1,0,0
2024,Darian Mensah,Tulane,3,4.0,-3,-1.1067991852087875,0,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.5586693796725282,0,1,0,0,0
2024,Darian Mensah,Tulane,3,6.0,-2,-0.2930877961416982,0,1,1,0,0
2024,Darian Mensah,Tulane,2,21.0,0,-0.2057793885139576,0,1,0,0,0
2024,Darian Mensah,Tulane,3,21.0,47,4.62487974106,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,22,1.9607208057305827,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,-2,-0.513865362089344,0,1,1,0,0
2024,Darian Mensah,Tulane,2,12.0,3,-0.07611868602455107,0,1,1,0,0
2024,Darian Mensah,Tulane,3,9.0,17,2.1290702194407434,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-1.065701080215459,0,1,0,0,0
2024,Darian Mensah,Tulane,3,9.0,0,-0.39906977707034574,0,1,0,0,0
2024,Darian Mensah,Tulane,1,,0,,0,1,0,0,0
2024,Darian Mensah,Tulane,2,,0,,0,1,0,1,0
2024,Darian Mensah,Tulane,2,9.0,26,2.7652473589118927,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.3882383440694163,0,1,0,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2024,Darian Mensah,Tulane,3,9.0,5,0.02335959259791131,1,1,1,0,0
2024,Darian Mensah,Tulane,2,8.0,0,-0.4788075161366292,0,1,0,0,0
2024,Darian Mensah,Tulane,3,13.0,12,0.4427274596744688,1,1,1,0,0
2024,Darian Mensah,Tulane,2,7.0,19,1.420147941877528,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.9262377870973815,0,1,0,0,0
2024,Darian Mensah,Tulane,2,10.0,0,-0.11570833114418733,0,1,0,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2024,Darian Mensah,Tulane,3,4.0,19,2.7710754711557257,1,1,1,0,0
2024,Darian Mensah,Tulane,2,8.0,10,1.377260507157235,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.490975886965904,0,1,0,0,0
2024,Darian Mensah,Tulane,2,10.0,0,-0.6693725505407375,0,1,0,0,0
2024,Darian Mensah,Tulane,3,10.0,0,-0.9309073614805355,0,1,0,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.7029700220436519,0,1,0,0,0
2024,Darian Mensah,Tulane,2,10.0,9,0.6799361600947043,1,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-1.065701080215459,0,1,0,0,0
2024,Darian Mensah,Tulane,2,10.0,19,2.703329516283188,1,1,1,0,0
2024,Darian Mensah,Tulane,2,4.0,10,0.3532319864462183,1,1,0,0,0
2024,Darian Mensah,Tulane,2,6.0,0,-0.5500129890782886,0,1,0,0,0
2024,Darian Mensah,Tulane,3,8.0,0,-0.354205173792517,0,1,0,0,0
2024,Darian Mensah,Tulane,4,8.0,8,3.300291357983772,1,1,1,0,1
2024,Darian Mensah,Tulane,1,10.0,22,1.9824556861480138,1,1,1,0,0
2024,Darian Mensah,Tulane,2,11.0,15,2.336825904949629,1,1,1,0,0
2024,Darian Mensah,Tulane,1,5.0,-2,-0.723367627458863,0,1,1,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-1.087995077167328,0,1,0,0,0
2024,Darian Mensah,Tulane,3,12.0,0,-0.2680662018305293,0,1,0,0,0
2024,Darian Mensah,Tulane,3,7.0,0,-0.2821474529492116,0,1,0,0,0
2024,Darian Mensah,Tulane,1,10.0,0,-0.7342478781140684,0,1,0,0,0
2024,Darian Mensah,Tulane,4,1.0,2,-0.23543539121278734,0,1,0,1,0
2024,Darian Mensah,Tulane,3,13.0,0,-0.1860843947833759,0,1,0,0,0
