season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2021,Darius Wilson,William & Mary,1,10,1,-0.5380287086286026,0,1,1,0,0
2021,Darius Wilson,William & Mary,3,5,3,-0.14458564013868003,0,1,1,0,0
2021,Darius Wilson,William & Mary,3,5,4,-0.01875023950904354,0,1,1,0,0
2021,Darius Wilson,William & Mary,2,8,8,0.351554300271415,1,1,1,0,0
2021,Darius Wilson,William & Mary,3,7,0,-0.3837503518444549,0,1,0,0,0
2021,Darius Wilson,William & Mary,2,4,0,-0.6275313998083698,0,1,0,0,0
2021,Darius Wilson,William & Mary,3,4,12,1.6569317175053904,1,1,1,0,0
2021,Darius Wilson,William & Mary,3,2,0,-0.458325503740733,0,1,0,0,0
2021,Darius Wilson,William & Mary,2,16,14,1.044812484150212,1,1,1,0,0
2021,Darius Wilson,William & Mary,1,10,20,1.248171376771538,1,1,1,0,0
2021,Darius Wilson,William & Mary,3,7,8,1.7857616541020294,1,1,1,0,0
2021,Darius Wilson,William & Mary,3,3,0,-0.8451240228241659,0,1,0,0,0
2021,Darius Wilson,William & Mary,1,10,0,-0.7029700220436519,0,1,0,0,0
2021,Darius Wilson,William & Mary,2,11,0,-0.9312778632790233,0,1,0,0,0
2021,Darius Wilson,William & Mary,1,10,19,1.1585732726596376,1,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,-3,-0.6818841084579383,0,1,1,0,0
2022,Darius Wilson,William & Mary,3,9,1,-0.5296565319629298,0,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,45,3.303672173342843,1,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,15,0.4037858648282832,1,1,0,0,0
2022,Darius Wilson,William & Mary,1,10,0,-0.362321296557512,0,1,0,0,0
2022,Darius Wilson,William & Mary,3,8,25,3.4912369228668094,1,1,1,0,0
2022,Darius Wilson,William & Mary,4,3,8,1.4193270805139233,1,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,15,1.143340784913768,1,1,0,0,0
2022,Darius Wilson,William & Mary,3,5,0,-0.3890809082355382,0,1,0,0,0
2022,Darius Wilson,William & Mary,2,5,12,1.4215067911485217,1,1,1,0,0
2022,Darius Wilson,William & Mary,2,14,10,0.3387749917871528,1,1,1,0,0
2022,Darius Wilson,William & Mary,2,14,10,0.3387749917871528,1,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,12,0.208398081813698,1,1,1,0,0
2022,Darius Wilson,William & Mary,2,9,27,2.6058802744973035,1,1,1,0,0
2022,Darius Wilson,William & Mary,3,6,6,1.8319109524343273,1,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,4,-0.1319374071745773,0,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,8,0.605641975704613,1,1,1,0,0
2022,Darius Wilson,William & Mary,3,3,1,-0.39068608920973,0,1,1,0,0
2022,Darius Wilson,William & Mary,2,6,3,-0.1445513032479795,0,1,1,0,0
2022,Darius Wilson,William & Mary,2,4,6,0.5971541059454565,1,1,1,0,0
2022,Darius Wilson,William & Mary,1,10,8,0.960072550113445,1,1,1,0,0
2022,Darius Wilson,William & Mary,2,2,0,-1.289476053277193,0,1,0,0,0
2022,Darius Wilson,William & Mary,1,10,24,0.450849370409031,1,1,1,0,0
2022,Darius Wilson,William & Mary,2,11,26,-3.6450605806351,0,1,0,1,0
2022,Darius Wilson,William & Mary,1,10,33,2.0156197627521895,1,1,1,0,0
2022,Darius Wilson,William & Mary,3,11,0,-0.485959022955045,0,1,0,0,0
2022,Darius Wilson,William & Mary,1,10,0,-0.4181180581276075,0,1,0,0,0
2022,Darius Wilson,William & Mary,3,2,9,0.677866197692117,1,1,1,0,0
