season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Davis Bryson,Kennesaw State,2,50,0,-0.0252983782068856,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,3,2,0,-0.49745818683910503,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,2,7,0,-0.810888684999995,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,3,13,0,-0.706915569384015,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,1,10,0,-1.1301991718133413,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,3,9,0,-0.7493962506844163,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,2,7,0,-0.6866967790038297,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,2,20,0,-0.3847991773918827,0,1,0,0,0
2023,Davis Bryson,Kennesaw State,3,6,23,3.273100407738183,1,1,1,0,0
2023,Davis Bryson,Kennesaw State,2,6,0,-0.6809782552782009,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,1,10,4,-0.1644248613169578,0,1,1,0,0
2024,Davis Bryson,Kennesaw State,2,10,6,0.2913765923867794,1,1,1,0,0
2024,Davis Bryson,Kennesaw State,1,10,0,-0.6082596672078662,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,3,4,0,-0.43770162015070735,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,2,20,0,-0.15769526457991567,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,2,10,0,-0.6310378338259923,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,3,10,51,4.28045654689954,1,1,1,0,0
2024,Davis Bryson,Kennesaw State,3,11,5,0.01588061892663628,1,1,1,0,0
2024,Davis Bryson,Kennesaw State,1,10,22,1.3944906018547023,1,1,1,0,0
2024,Davis Bryson,Kennesaw State,1,10,24,1.434667067243417,1,1,1,0,0
2024,Davis Bryson,Kennesaw State,2,12,2,-0.12153757533464482,0,1,1,0,0
2024,Davis Bryson,Kennesaw State,3,10,0,-0.11593841189942822,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,1,10,25,2.7000843622660575,1,1,1,0,1
2024,Davis Bryson,Kennesaw State,2,5,14,0.6199442445924479,1,1,1,0,0
2024,Davis Bryson,Kennesaw State,1,10,0,-1.1618692012952412,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,3,9,11,2.023037822447967,1,1,1,0,0
2024,Davis Bryson,Kennesaw State,1,10,0,-1.065701080215459,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,2,10,0,-0.6622137678957802,0,1,0,0,0
2024,Davis Bryson,Kennesaw State,3,15,0,-0.1535320812712504,0,1,0,0,0
