season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Devin Farrell,Rhode Island,2,10,6,0.117916039137935,1,1,1,0,0
2024,Devin Farrell,Rhode Island,3,8,7,0.4948847558770631,1,1,1,0,0
2024,Devin Farrell,Rhode Island,3,8,0,-0.3972581304738693,0,1,0,0,0
2024,Devin Farrell,Rhode Island,1,10,25,2.00675405284378,1,1,1,0,0
2024,Devin Farrell,Rhode Island,2,10,6,0.3119242061344334,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,15,0.5883556137924232,1,1,1,0,0
2024,Devin Farrell,Rhode Island,3,6,20,1.6690815890725657,1,1,1,0,0
2024,Devin Farrell,Rhode Island,3,7,0,-0.325035760733144,0,1,0,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-0.5080208698531008,0,1,0,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-0.34929852451643395,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,10,4,-0.02204677548221489,0,1,1,0,0
2024,Devin Farrell,Rhode Island,3,6,26,2.408288948992178,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,7,0.7032387839448688,1,1,1,0,0
2024,Devin Farrell,Rhode Island,2,3,16,1.0022531887220634,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-0.7519361608312708,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,11,28,2.475674452764586,1,1,1,0,0
2024,Devin Farrell,Rhode Island,4,2,2,2.851352701254402,1,1,1,0,1
2024,Devin Farrell,Rhode Island,1,10,7,0.6338612725745634,1,1,1,0,0
2024,Devin Farrell,Rhode Island,2,3,0,-1.0580009038427454,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,3,10,1.9866722841108126,1,1,1,0,0
2024,Devin Farrell,Rhode Island,2,13,0,-0.6448268183779344,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,5,1,-0.6292774000892614,0,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,32,1.688744832772331,1,1,1,0,0
2024,Devin Farrell,Rhode Island,3,10,11,2.811464066089867,1,1,1,0,0
2024,Devin Farrell,Rhode Island,2,10,0,-0.6938325521359872,0,1,0,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-1.087995077167328,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,10,0,-0.15871308844886392,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,15,0,-0.6529455491754916,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,20,23,4.025455810385401,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,7,0.423978038879877,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,6,0.3333748010525683,1,1,1,0,0
2024,Devin Farrell,Rhode Island,3,3,0,-0.5139435334013278,0,1,0,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,10,11,1.9806374111113811,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,9,20,2.4803371251377992,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-1.1590089706435955,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,10,0,-0.9368191801087571,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,10,0,-0.7192743115624394,0,1,0,1,0
2024,Devin Farrell,Rhode Island,1,10,18,1.612438422209995,1,1,1,0,0
2024,Devin Farrell,Rhode Island,3,8,0,-0.6368374256088556,0,1,0,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,10,21,2.942932481201504,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,0,-1.1590089706435955,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,10,0,-0.9368191801087571,0,1,1,0,0
2024,Devin Farrell,Rhode Island,3,10,16,-0.7192743115624394,0,1,0,1,0
2024,Devin Farrell,Rhode Island,1,10,5,0.0855067756440384,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,-1,-1.3694998851390174,0,1,1,0,0
2024,Devin Farrell,Rhode Island,3,10,0,-0.491927477050429,0,1,0,0,0
2024,Devin Farrell,Rhode Island,2,9,9,2.740036203212782,1,1,1,0,1
2024,Devin Farrell,Rhode Island,2,3,0,-0.9937966012014892,0,1,0,0,0
2024,Devin Farrell,Rhode Island,3,3,9,1.8078969110380454,1,1,1,0,0
2024,Devin Farrell,Rhode Island,4,5,5,2.7881335298624723,1,1,1,0,0
2024,Devin Farrell,Rhode Island,2,8,5,0.0871592310078384,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,6,0.3989351639023673,1,1,1,0,0
2024,Devin Farrell,Rhode Island,1,10,8,0.672809139285251,1,1,1,0,0
