season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Devin Leary,Kentucky,1,10,44,3.2358089496483733,1,1,1,0,0
2023,Devin Leary,Kentucky,1,10,7,0.361255653346657,1,1,1,0,0
2023,Devin Leary,Kentucky,2,3,0,-0.6083770818979028,0,1,0,0,0
2023,Devin Leary,Kentucky,3,3,0,-0.7073068215367186,0,1,0,0,0
2023,Devin Leary,Kentucky,1,10,0,-0.9864556271674072,0,1,0,0,0
2023,Devin Leary,Kentucky,3,14,0,-0.14687540238390806,0,1,0,0,0
2023,Devin Leary,Kentucky,2,7,8,1.381038418158939,1,1,1,0,0
2023,Devin Leary,Kentucky,1,10,27,0.995274512234731,1,1,1,0,0
2023,Devin Leary,Kentucky,1,10,16,0.929737210317724,1,1,1,0,0
2023,Devin Leary,Kentucky,2,3,0,-0.413137785818898,0,1,0,0,0
2023,Devin Leary,Kentucky,1,2,0,-0.854701227650125,0,1,0,0,0
2023,Devin Leary,Kentucky,2,7,6,0.3721633352251514,1,1,1,0,0
2023,Devin Leary,Kentucky,2,12,0,-1.0413583867501437,0,1,0,0,0
2023,Devin Leary,Kentucky,3,12,10,1.1706024135374147,1,1,1,0,0
2023,Devin Leary,Kentucky,1,10,0,-0.5824837756999947,0,1,0,0,0
2023,Devin Leary,Kentucky,2,10,0,-0.7953313095977654,0,1,0,0,0
2023,Devin Leary,Kentucky,2,10,26,2.650181254013494,1,1,1,0,0
2023,Devin Leary,Kentucky,1,10,0,-0.534372502378378,0,1,0,0,0
2023,Devin Leary,Kentucky,2,10,0,-0.732204526648056,0,1,0,0,0
2023,Devin Leary,Kentucky,2,6,0,-0.3380522079196675,0,1,1,0,0
2023,Devin Leary,Kentucky,3,6,15,1.4599522634888222,1,1,1,0,0
2023,Devin Leary,Kentucky,1,10,-3,-1.1944708867896363,0,1,1,0,0
2023,Devin Leary,Kentucky,1,10,30,1.088807943218082,1,1,1,0,0
2023,Devin Leary,Kentucky,1,10,3,-0.09708351239242496,0,1,1,0,0
2023,Devin Leary,Kentucky,2,7,17,0.7582285744446784,1,1,1,0,0
