season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Devon Dampier,New Mexico,2,6,16,0.6212011344835114,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,7,2,-0.256485893389923,0,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,9,1.3816838899351875,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,15,22,1.021628134605077,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,0,-0.3301132067544156,0,1,0,0,0
2023,Devon Dampier,New Mexico,2,8,21,2.890483515317262,1,1,1,0,1
2023,Devon Dampier,New Mexico,1,10,13,1.124751479041831,1,1,1,0,0
2023,Devon Dampier,New Mexico,3,11,9,0.5504869064374205,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,0,-1.0955888671820908,0,1,0,0,0
2023,Devon Dampier,New Mexico,2,16,21,3.188642676074817,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,11,0.2727484828424415,1,1,1,0,0
2023,Devon Dampier,New Mexico,2,11,0,-0.21903706809052714,0,1,0,0,0
2023,Devon Dampier,New Mexico,1,10,-1,-0.8014893508157099,0,1,1,0,0
2023,Devon Dampier,New Mexico,2,3,19,1.2096631575701817,1,1,1,0,0
2023,Devon Dampier,New Mexico,2,4,0,-1.1629301570993986,0,1,0,0,0
2023,Devon Dampier,New Mexico,3,4,28,3.1653545133129506,1,1,1,0,0
2023,Devon Dampier,New Mexico,4,6,8,1.303952386724987,1,1,1,0,0
2023,Devon Dampier,New Mexico,3,1,1,2.45399822917955,1,1,1,0,1
2023,Devon Dampier,New Mexico,3,6,0,-0.3146897268978579,0,1,0,0,0
2023,Devon Dampier,New Mexico,1,10,4,-0.141734208558013,0,1,1,0,0
2023,Devon Dampier,New Mexico,2,6,12,1.046419979765716,1,1,1,0,0
2023,Devon Dampier,New Mexico,2,5,14,0.297847556294497,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,15,10,0.4295968177449265,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,59,3.509032398428947,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,14,1.288180241940502,1,1,1,0,0
2023,Devon Dampier,New Mexico,2,10,14,1.885330635042383,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,15,0.354661054745257,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,11,5,0.062668687076469,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,4,-0.1142886249388964,0,1,1,0,0
2023,Devon Dampier,New Mexico,3,3,7,1.6118932243716066,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,12,1.0926854848276177,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,9,1.0659606614607482,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,15,0,-0.5495750572974937,0,1,0,0,0
2023,Devon Dampier,New Mexico,2,15,0,-0.8311838265151544,0,1,0,0,0
2023,Devon Dampier,New Mexico,3,15,0,-1.0010797388025825,0,1,0,0,0
2023,Devon Dampier,New Mexico,1,10,11,0.9305625119459905,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,0,-1.041155320344064,0,1,0,0,0
2023,Devon Dampier,New Mexico,2,10,0,-0.6310378338259923,0,1,0,0,0
2023,Devon Dampier,New Mexico,3,10,10,2.6344882242601795,1,1,1,0,0
2023,Devon Dampier,New Mexico,1,10,0,-0.814236079442537,0,1,0,0,0
2023,Devon Dampier,New Mexico,3,10,0,-0.9911936548982448,0,1,0,0,0
2023,Devon Dampier,New Mexico,3,17,0,-0.0460942134255955,0,1,0,0,0
