season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Diego Pavia,Vanderbilt,3,7,0,-0.8995343697285872,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,1,10,0,-0.40084650139258127,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,3,5,14,1.5468147051793153,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,2,6,40,1.8389460061764904,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,2,7,7,2.607148468017737,1,1,1,0,1
2024,Diego Pavia,Vanderbilt,1,10,6,0.2800647464981001,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,3,4,5,1.14839347850344,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,3,8,7,0.166007475353464,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,2,9,0,-0.873448258672486,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,1,10,0,-1.0742999147475647,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,2,13,5,0.026929395013702,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,1,10,5,0.0980689416811309,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,2,19,12,0.7379337016614578,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,3,7,0,-0.5612468754402302,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,3,8,10,1.2584673169455263,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,2,8,0,-0.5308962154816008,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,3,8,0,-0.25342252778130003,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,2,6,0,-1.1516648081442948,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,3,1,3,2.472179064388939,1,1,1,0,1
2024,Diego Pavia,Vanderbilt,3,6,7,2.839334458007539,1,1,1,0,1
2024,Diego Pavia,Vanderbilt,1,10,39,1.424024314001791,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,3,12,31,4.018455883196185,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,3,12,0,-0.9264686821246287,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,3,9,14,3.150169153480798,1,1,1,0,1
2024,Diego Pavia,Vanderbilt,1,10,23,1.9207410980937762,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,2,11,8,0.7717223111402465,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,3,3,4,1.5198068633756332,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,3,13,0,-0.0719585240326675,0,1,0,0,0
2024,Diego Pavia,Vanderbilt,2,11,10,0.7784554888667623,1,1,1,0,0
2024,Diego Pavia,Vanderbilt,2,9,41,3.762159889321019,1,1,1,0,0
