season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2011,EJ Manuel,Florida State,2013,,,0,pass,-2.07838773727417,False,2.0
2011,EJ Manuel,Florida State,2013,,,26,pass,2.790692090988159,False,28.0
2011,EJ Manuel,Florida State,2013,,,6,pass,0.22029447555541992,False,24.0
2011,EJ Manuel,Florida State,2013,,,11,pass,1.8491451740264893,False,35.0
2011,EJ Manuel,Florida State,2013,,,8,pass,0.3334059715270996,False,38.0
2011,EJ Manuel,Florida State,2013,,,10,pass,0.2947697639465332,False,63.0
2011,EJ Manuel,Florida State,2013,,,5,pass,-0.04943490028381348,False,69.0
2011,EJ Manuel,Florida State,2013,,,5,pass,-0.00418400764465332,False,68.0
2011,EJ Manuel,Florida State,2013,,,7,pass,1.7408032417297363,False,11.0
2011,EJ Manuel,Florida State,2013,,,8,pass,1.621065378189087,False,45.0
2011,EJ Manuel,Florida State,2013,,,4,pass,-0.631537914276123,False,49.0
2011,EJ Manuel,Florida State,2013,,,13,pass,1.896835207939148,False,62.0
2011,EJ Manuel,Florida State,2013,,,50,pass,5.961906433105469,True,50.0
2011,EJ Manuel,Florida State,2013,,,0,pass,-0.2634788751602173,False,50.0
2011,EJ Manuel,Florida State,2013,,,6,pass,0.02043318748474121,False,65.0
2011,EJ Manuel,Florida State,2013,,,25,pass,2.578996419906616,False,39.0
2011,EJ Manuel,Florida State,2013,,,6,pass,-0.05754852294921875,False,45.0
2011,EJ Manuel,Florida State,2013,,,-4,pass,-1.1483607292175293,False,41.0
2011,EJ Manuel,Florida State,2013,,,4,pass,-0.4233672618865967,False,53.0
2011,EJ Manuel,Florida State,2013,,,11,pass,0.5939139127731323,False,79.0
2011,EJ Manuel,Florida State,2013,,,9,pass,0.8172798156738281,False,88.0
2011,EJ Manuel,Florida State,2013,,,5,pass,0.04616892337799072,False,93.0
2011,EJ Manuel,Florida State,2013,,,9,pass,2.772614002227783,True,9.0
2011,EJ Manuel,Florida State,2013,,,0,pass,-1.2218260765075684,False,6.0
2011,EJ Manuel,Florida State,2013,,,17,pass,1.2437539100646973,False,23.0
2011,EJ Manuel,Florida State,2013,,,16,pass,0.89129638671875,False,39.0
2011,EJ Manuel,Florida State,2013,,,0,pass,-1.7528514862060547,False,52.0
2011,EJ Manuel,Florida State,2013,,,0,pass,-0.6549431085586548,False,53.0
2011,EJ Manuel,Florida State,2013,,,14,pass,2.2811012268066406,True,14.0
2011,EJ Manuel,Florida State,2013,,,0,pass,-0.6696672439575195,False,15.0
2011,EJ Manuel,Florida State,2013,,,7,pass,0.6079459190368652,False,26.0
2011,EJ Manuel,Florida State,2013,,,9,pass,0.4621760845184326,False,81.0
