season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Eli Holstein,Pittsburgh,1,10,9,0.7145775730505983,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,2,-0.345885638069002,0,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,8,14,1.5417881483804639,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,4,9,1.0029585941651271,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,7,46,3.289350673075706,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,11,11,2.591335679858407,1,1,1,0,1
2024,Eli Holstein,Pittsburgh,1,18,19,2.2551882787994675,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,3,6,24,3.040543694107723,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,4,-0.1462695033279216,0,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,7,0,-0.327630498967477,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,3,7,2,-0.2209210551237192,0,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,4,0,-0.6456997217339855,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,1,10,-4,-1.9549773558467223,0,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,14,5,0.0454108464691601,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,10,0.3985734558235714,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,5,7,2.455248906353859,1,1,1,0,1
2024,Eli Holstein,Pittsburgh,3,2,60,-4.401097040622286,0,1,0,1,0
2024,Eli Holstein,Pittsburgh,1,10,6,0.181437359303738,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,12,0.183081751826403,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,0,-0.5586693796725282,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,3,5,7,1.3876161223198524,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,8,6,0.2935133147661074,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,13,1.0524343400013052,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,17,0.6716015161185352,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,3,10,9,0.27922475699869853,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,12,0.5218594507960823,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,0,-0.6135902757979226,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,2,10,0,-0.29227926870296894,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,1,10,14,1.3306777677986847,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,9,1.2321065178353567,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,7,21,2.177653368179504,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,14,0.363155328365336,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,0,-0.402662020534962,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,2,10,0,-0.5229247355568223,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,3,10,12,1.0593826804908022,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,10,2.513826842249442,1,1,1,0,1
2024,Eli Holstein,Pittsburgh,1,10,10,0.3985734558235714,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,3,11,0,-1.0144245799080593,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,2,10,0,-1.0658475431296655,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,3,10,15,2.6594558134492003,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,7,0,-4.045945656933011,0,1,0,1,0
2024,Eli Holstein,Pittsburgh,1,10,13,0.957001126463954,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,1,10,0,-0.9690270974076257,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,1,10,0,-0.6082596672078662,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,2,4,12,1.1715857234719635,1,1,1,0,0
2024,Eli Holstein,Pittsburgh,3,7,0,-0.9232432234551168,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,1,10,4,-0.0618919815702137,0,1,1,0,0
2024,Eli Holstein,Pittsburgh,2,6,0,-0.38752284685742744,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,3,6,0,-0.17122726283270137,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,3,15,0,-0.05363851414369235,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,2,15,0,-0.12256126593852379,0,1,0,0,0
2024,Eli Holstein,Pittsburgh,1,17,2,-0.12857632375019712,0,1,1,0,0
