season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Elijah Owens,Indiana State,1,10,10,0.9637399716298223,1,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,0,-1.15714755134967,0,1,0,0,0
2023,Elijah Owens,Indiana State,2,10,0,-0.851527740432628,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,10,0,-0.491927477050429,0,1,0,0,0
2023,Elijah Owens,Indiana State,1,10,0,-0.908489395271188,0,1,0,0,0
2023,Elijah Owens,Indiana State,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,8,41,4.137646889591026,1,1,1,0,0
2023,Elijah Owens,Indiana State,3,14,1,-0.674193202075104,0,1,1,0,0
2023,Elijah Owens,Indiana State,2,11,0,-0.6293481074675658,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,11,0,-0.9043674766044807,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,7,0,-0.7798918841139616,0,1,0,0,0
2023,Elijah Owens,Indiana State,2,10,3,-0.3709041703349048,0,1,1,0,0
2023,Elijah Owens,Indiana State,2,4,0,-0.8037642992816051,0,1,1,0,0
2023,Elijah Owens,Indiana State,3,16,0,-0.12984072052249118,0,1,0,0,0
2023,Elijah Owens,Indiana State,2,10,0,-0.30950338122914456,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,10,14,2.1118802689535663,1,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,49,3.7623305516372483,1,1,1,0,1
2023,Elijah Owens,Indiana State,3,9,36,3.9789559674405295,1,1,1,0,0
2023,Elijah Owens,Indiana State,3,10,3,-0.07100305459102607,0,1,1,0,0
2023,Elijah Owens,Indiana State,2,10,0,-0.34710487712173865,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,9,-4,-0.5340896197372826,0,1,1,0,0
2023,Elijah Owens,Indiana State,3,5,3,-0.3720700767800178,0,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,0,-1.1612466882658818,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,11,17,3.3617476965531106,1,1,1,0,0
2023,Elijah Owens,Indiana State,2,15,12,1.5476197277153947,1,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,5,0.0757087852917575,1,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,0,-0.320977659489319,0,1,0,0,0
2023,Elijah Owens,Indiana State,2,4,0,-0.362082681028621,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,19,0,-0.9497967620157937,0,1,0,0,0
2023,Elijah Owens,Indiana State,1,10,0,-1.087995077167328,0,1,0,0,0
2023,Elijah Owens,Indiana State,2,10,7,0.5064801137562931,1,1,1,0,0
2023,Elijah Owens,Indiana State,3,3,0,-0.9078767371915273,0,1,0,0,0
2023,Elijah Owens,Indiana State,4,3,0,-0.5576046587179473,0,1,0,0,0
2023,Elijah Owens,Indiana State,1,10,0,-1.041155320344064,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,10,9,0.3342286864530788,1,1,1,0,0
2023,Elijah Owens,Indiana State,2,16,0,-0.13397083092956844,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,13,0,-0.21346312569586434,0,1,0,0,0
2023,Elijah Owens,Indiana State,3,3,6,1.781912115777594,1,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,50,3.841411932121373,1,1,1,0,1
2023,Elijah Owens,Indiana State,1,10,22,2.0142207801446794,1,1,1,0,0
2023,Elijah Owens,Indiana State,2,3,4,0.3259200518596525,1,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,23,1.9066729818788115,1,1,1,0,0
2023,Elijah Owens,Indiana State,1,10,0,-0.4710467974920665,0,1,0,0,0
2023,Elijah Owens,Indiana State,2,10,5,0.04783976526676,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,10,3,-0.15222912011238687,0,1,1,0,0
2024,Elijah Owens,Indiana State,3,6,0,-0.5500549337832448,0,1,0,0,0
2024,Elijah Owens,Indiana State,1,10,0,-1.065701080215459,0,1,0,0,0
2024,Elijah Owens,Indiana State,3,9,0,-0.15670669522114178,0,1,0,0,0
2024,Elijah Owens,Indiana State,2,11,0,-1.0401459627134635,0,1,0,0,0
2024,Elijah Owens,Indiana State,1,10,0,-0.4710467974920665,0,1,0,0,0
2024,Elijah Owens,Indiana State,3,6,8,2.313686672928048,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,7,1,-0.8627334216371434,0,1,1,0,0
2024,Elijah Owens,Indiana State,1,10,15,1.143340784913768,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,12,23,3.146764669771855,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,5,8,0.8714943508199156,1,1,1,0,0
2024,Elijah Owens,Indiana State,1,10,1,-0.4473552582060227,0,1,1,0,0
2024,Elijah Owens,Indiana State,2,11,18,2.317541258497716,1,1,1,0,0
2024,Elijah Owens,Indiana State,1,10,26,1.690183786450353,1,1,1,0,0
2024,Elijah Owens,Indiana State,3,8,11,1.318804172067189,1,1,1,0,0
2024,Elijah Owens,Indiana State,3,7,16,3.1027344513551736,1,1,1,0,1
2024,Elijah Owens,Indiana State,1,10,11,0.893668696312238,1,1,1,0,0
2024,Elijah Owens,Indiana State,3,2,16,2.420948225540709,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,5,2,-0.5787012601628003,0,1,1,0,0
2024,Elijah Owens,Indiana State,3,8,8,2.1857886319809587,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,9,7,0.247832166888699,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,14,20,1.4516334066970078,1,1,1,0,0
2024,Elijah Owens,Indiana State,3,6,0,-0.2505074961764233,0,1,0,0,0
2024,Elijah Owens,Indiana State,1,10,9,0.9356122235199473,1,1,1,0,0
2024,Elijah Owens,Indiana State,1,10,5,0.0945451165334843,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,5,4,-0.117578978482432,0,1,1,0,0
2024,Elijah Owens,Indiana State,3,16,4,-0.02536107465564364,0,1,1,0,0
2024,Elijah Owens,Indiana State,4,12,0,0.2197835949192335,1,1,0,0,0
2024,Elijah Owens,Indiana State,1,10,4,-0.0884321258012219,0,1,1,0,0
2024,Elijah Owens,Indiana State,2,16,9,0.19249319060334624,1,1,1,0,0
2024,Elijah Owens,Indiana State,3,7,7,1.3657207488846907,1,1,1,0,0
2024,Elijah Owens,Indiana State,2,20,12,0.3955390525740059,1,1,1,0,0
2024,Elijah Owens,Indiana State,3,8,10,2.2955265508020872,1,1,1,0,0
2024,Elijah Owens,Indiana State,1,10,0,-1.1496266880203319,0,1,0,0,0
