season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2021,Ethan Hampton,Northern Illinois,1,10,0,-0.4522778946200265,0,1,0,0,0
2021,Ethan Hampton,Northern Illinois,1,10,4,-0.126781416396501,0,1,1,0,0
2021,Ethan Hampton,Northern Illinois,3,11,0,-0.7258345320207047,0,1,0,0,0
2021,Ethan Hampton,Northern Illinois,3,16,0,-0.2141300809082658,0,1,0,0,0
2021,Ethan Hampton,Northern Illinois,1,10,4,-0.1644248613169578,0,1,1,0,0
2021,Ethan Hampton,Northern Illinois,3,5,0,-0.69319973884107,0,1,0,0,0
2021,Ethan Hampton,Northern Illinois,3,19,0,-0.02273270868920463,0,1,0,0,0
2021,Ethan Hampton,Northern Illinois,1,10,9,0.661453117654322,1,1,1,0,0
2021,Ethan Hampton,Northern Illinois,2,1,0,-0.625296296803836,0,1,0,0,0
2021,Ethan Hampton,Northern Illinois,1,10,14,1.2737030844235093,1,1,1,0,0
2022,Ethan Hampton,Northern Illinois,3,3,4,2.635121018162716,1,1,1,0,1
2022,Ethan Hampton,Northern Illinois,1,10,4,-0.08358568772589688,0,1,1,0,0
2022,Ethan Hampton,Northern Illinois,2,10,8,0.591341918000059,1,1,1,0,0
2022,Ethan Hampton,Northern Illinois,1,10,7,0.6896384238174758,1,1,1,0,0
2022,Ethan Hampton,Northern Illinois,2,10,5,0.04378266651122598,1,1,1,0,0
2022,Ethan Hampton,Northern Illinois,3,5,70,6.7369424752537475,1,1,1,0,1
2022,Ethan Hampton,Northern Illinois,2,14,9,0.32157699822649377,1,1,1,0,0
2022,Ethan Hampton,Northern Illinois,3,5,0,-0.3328077480603904,0,1,0,0,0
2022,Ethan Hampton,Northern Illinois,2,10,0,-0.2760618997483206,0,1,0,0,0
2022,Ethan Hampton,Northern Illinois,1,10,0,-0.585616097616759,0,1,0,0,0
2022,Ethan Hampton,Northern Illinois,2,8,5,0.0684317234195931,1,1,1,0,0
2022,Ethan Hampton,Northern Illinois,2,8,5,0.0684317234195931,1,1,1,0,0
2022,Ethan Hampton,Northern Illinois,3,3,0,-0.5955568593275284,0,1,0,0,0
2022,Ethan Hampton,Northern Illinois,4,3,2,-0.10717036606453512,0,1,1,0,0
2022,Ethan Hampton,Northern Illinois,3,10,3,-0.24097741776323914,0,1,1,0,0
