season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Evan Simon,Temple,1,10,0,-0.7828922522763084,0,1,0,0,0
2024,Evan Simon,Temple,1,10,7,0.7103851122578037,1,1,1,0,0
2024,Evan Simon,Temple,1,10,5,0.1018198743557602,1,1,1,0,0
2024,Evan Simon,Temple,2,10,0,-0.9886314711142071,0,1,0,0,0
2024,Evan Simon,Temple,3,10,2,-0.601739389154158,0,1,1,0,0
2024,Evan Simon,Temple,3,3,14,2.282011723151265,1,1,1,0,0
2024,Evan Simon,Temple,1,10,18,1.174119442671412,1,1,1,0,0
2024,Evan Simon,Temple,1,10,17,0.406330466376273,1,1,1,0,0
2024,Evan Simon,Temple,2,10,4,-0.045620266835931,0,1,1,0,0
2024,Evan Simon,Temple,3,6,15,3.012389192030966,1,1,1,0,1
2024,Evan Simon,Temple,3,7,0,-0.19834493688263335,0,1,0,0,0
2024,Evan Simon,Temple,1,10,24,1.3069982489751957,1,1,1,0,0
2024,Evan Simon,Temple,2,9,20,0.8757786293346523,1,1,1,0,0
2024,Evan Simon,Temple,4,2,2,2.851352701254402,1,1,1,0,1
2024,Evan Simon,Temple,1,5,15,-0.088171669120788,0,1,1,0,0
2024,Evan Simon,Temple,1,10,9,0.722464196040438,1,1,1,0,0
2024,Evan Simon,Temple,3,10,0,-0.6996990523859897,0,1,0,0,0
2024,Evan Simon,Temple,2,13,6,0.2910176568572887,1,1,1,0,0
2024,Evan Simon,Temple,3,7,0,-1.0381135967514794,0,1,0,0,0
2024,Evan Simon,Temple,1,10,4,-0.1670469651624733,0,1,1,0,0
2024,Evan Simon,Temple,2,6,0,-1.0721081742584593,0,1,0,0,0
2024,Evan Simon,Temple,4,6,21,3.754892584169667,1,1,1,0,0
2024,Evan Simon,Temple,3,16,2,-0.457137060164638,0,1,1,0,0
2024,Evan Simon,Temple,4,14,0,-0.6123745825310243,0,1,0,0,0
2024,Evan Simon,Temple,3,8,0,-0.0642815290457017,0,1,0,0,0
2024,Evan Simon,Temple,1,10,0,-0.24120998460901966,0,1,0,0,0
2024,Evan Simon,Temple,3,6,12,0.7093564576441826,1,1,1,0,0
2024,Evan Simon,Temple,2,5,0,-0.5298603767681547,0,1,0,0,0
2024,Evan Simon,Temple,3,5,0,-0.24053669914795428,0,1,0,0,0
2024,Evan Simon,Temple,3,6,0,-0.10338597552261672,0,1,0,0,0
2024,Evan Simon,Temple,1,10,0,-0.31971922650399254,0,1,0,0,0
2024,Evan Simon,Temple,3,4,0,-0.1879625612616067,0,1,0,0,0
2024,Evan Simon,Temple,1,10,-1,-1.26942490973284,0,1,1,0,0
2024,Evan Simon,Temple,3,5,9,1.6238768145967877,1,1,1,0,0
2024,Evan Simon,Temple,2,10,12,1.9131278207747293,1,1,1,0,0
