season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Evan Svoboda,Wyoming,2,9,0,-0.5917450829642465,0,1,0,0,0
2023,Evan Svoboda,Wyoming,2,12,31,3.2088746594199478,1,1,1,0,0
2023,Evan Svoboda,Wyoming,1,10,1,-0.5874795431016855,0,1,1,0,0
2023,Evan Svoboda,Wyoming,3,5,8,1.7839388345742568,1,1,1,0,0
2023,Evan Svoboda,Wyoming,1,10,0,-1.087995077167328,0,1,0,0,0
2023,Evan Svoboda,Wyoming,2,6,0,-0.4060245273248624,0,1,0,0,0
2023,Evan Svoboda,Wyoming,3,6,0,-0.18039335544893653,0,1,0,0,0
2023,Evan Svoboda,Wyoming,1,10,4,-0.0618919815702137,0,1,1,0,0
2023,Evan Svoboda,Wyoming,1,10,0,-0.7982008475508557,0,1,0,0,0
2023,Evan Svoboda,Wyoming,3,6,20,3.0426663047850004,1,1,1,0,0
2023,Evan Svoboda,Wyoming,1,10,4,-0.1319374071745773,0,1,1,0,0
2023,Evan Svoboda,Wyoming,3,8,0,-0.9106683441043435,0,1,0,0,0
2023,Evan Svoboda,Wyoming,2,9,12,2.07691595255504,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,8,0,-1.100103954902016,0,1,0,0,0
2023,Evan Svoboda,Wyoming,3,5,2,-0.3189552667963369,0,1,1,0,0
2023,Evan Svoboda,Wyoming,3,5,6,1.8455566072745304,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,6,2,-0.6755109994490383,0,1,1,0,0
2023,Evan Svoboda,Wyoming,3,4,2,-0.5700253221882922,0,1,1,0,0
2023,Evan Svoboda,Wyoming,2,6,19,1.7338226060826232,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,9,5,0.0733760934717563,1,1,1,0,0
2023,Evan Svoboda,Wyoming,3,4,18,2.671778220894893,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,8,0,-0.394662713456427,0,1,0,0,0
2023,Evan Svoboda,Wyoming,3,8,7,0.22878267933034,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,11,8,0.41233520970055876,1,1,1,0,0
2023,Evan Svoboda,Wyoming,3,3,0,-0.5139435334013278,0,1,1,0,0
2023,Evan Svoboda,Wyoming,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Evan Svoboda,Wyoming,3,8,0,-0.22421028645399854,0,1,0,0,0
2023,Evan Svoboda,Wyoming,1,10,18,0.344875683936905,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,5,0,-0.32302193763867,0,1,0,0,0
2023,Evan Svoboda,Wyoming,1,10,16,0.2659599577436895,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,20,0,-0.0714868321402191,0,1,0,0,0
2023,Evan Svoboda,Wyoming,2,6,19,0.478254700116489,1,1,1,0,0
2023,Evan Svoboda,Wyoming,1,10,5,0.0945451165334843,1,1,1,0,0
2023,Evan Svoboda,Wyoming,2,5,0,-0.7537324720659102,0,1,0,0,0
2023,Evan Svoboda,Wyoming,3,5,7,1.6864316816759972,1,1,1,0,0
2023,Evan Svoboda,Wyoming,1,10,1,-0.870939720055624,0,1,1,0,0
2023,Evan Svoboda,Wyoming,2,9,0,-0.7476681406305525,0,1,0,0,0
2024,Evan Svoboda,Wyoming,2,10,12,1.7302143481872232,1,1,1,0,0
2024,Evan Svoboda,Wyoming,3,23,0,0.15319638515413203,1,1,0,1,0
2024,Evan Svoboda,Wyoming,2,22,4,-0.07406605281498102,0,1,1,0,0
2024,Evan Svoboda,Wyoming,3,5,0,-0.35167416753824376,0,1,0,0,0
2024,Evan Svoboda,Wyoming,3,5,0,-0.7250435113209264,0,1,0,0,0
2024,Evan Svoboda,Wyoming,2,5,0,-1.1346829709010997,0,1,0,0,0
2024,Evan Svoboda,Wyoming,2,10,6,0.16823773848787482,1,1,1,0,0
2024,Evan Svoboda,Wyoming,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Evan Svoboda,Wyoming,3,18,10,0.10196714081650703,1,1,1,0,0
2024,Evan Svoboda,Wyoming,1,10,0,-0.7029700220436519,0,1,0,0,0
