season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Grant Jordan,Yale,2,7,6,0.2226913201454375,1,1,1,0,0
2024,Grant Jordan,Yale,3,13,28,3.6987051405899223,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,13,1.124751479041831,1,1,1,0,0
2024,Grant Jordan,Yale,3,7,9,2.495531195144185,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,15,0.868823148344417,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,12,0.3086111057057275,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,-15,-2.9282588386262773,0,1,1,0,0
2024,Grant Jordan,Yale,2,16,9,0.571096818419882,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,20,1.8522496688620256,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,5,0.1032144590601496,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,9,0.819805400875158,1,1,1,0,0
2024,Grant Jordan,Yale,2,1,3,-0.420647687335093,0,1,1,0,0
2024,Grant Jordan,Yale,1,10,23,1.053090322677511,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,23,1.9477815391192108,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,0,-0.908489395271188,0,1,0,0,0
2024,Grant Jordan,Yale,3,4,6,1.5096115629409628,1,1,1,0,0
2024,Grant Jordan,Yale,3,4,0,-0.9905673562071531,0,1,0,0,0
2024,Grant Jordan,Yale,1,10,8,1.004806098349837,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,1,-0.2453531896168325,0,1,1,0,0
2024,Grant Jordan,Yale,2,9,-2,-0.50348803992788,0,1,1,0,0
2024,Grant Jordan,Yale,3,10,0,-0.15871308844886392,0,1,0,0,0
2024,Grant Jordan,Yale,1,10,-62,,0,1,0,0,0
2024,Grant Jordan,Yale,1,10,0,-0.557844891990525,0,1,0,0,0
2024,Grant Jordan,Yale,3,7,6,0.11483960392398718,1,1,0,0,0
2024,Grant Jordan,Yale,2,10,5,0.05257289820124104,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,2,-0.6799841752385892,0,1,1,0,0
2024,Grant Jordan,Yale,3,4,10,2.1794360687418592,1,1,0,0,0
2024,Grant Jordan,Yale,3,13,12,1.5751220021154975,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,0,-0.6351269961541294,0,1,0,0,0
2024,Grant Jordan,Yale,3,10,11,1.0031270344492158,1,1,1,0,0
2024,Grant Jordan,Yale,3,17,-10,-2.7104250264967042,0,1,0,0,0
2024,Grant Jordan,Yale,3,27,16,2.1045676824574073,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,0,-0.291297448934314,0,1,0,0,0
2024,Grant Jordan,Yale,3,8,7,0.4575812653735644,1,1,1,0,0
2024,Grant Jordan,Yale,2,10,5,0.04248127603289475,1,1,1,0,0
2024,Grant Jordan,Yale,2,13,16,2.0810348681189774,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,17,0.8908111260482859,1,1,1,0,0
2024,Grant Jordan,Yale,1,10,24,0.5519198568892704,1,1,1,0,0
