season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Grant Sergent,San Diego,2,7,22,0.7191684051155943,1,1,1,0,0
2022,Grant Sergent,San Diego,2,12,12,2.913525891211739,1,1,1,0,1
2022,Grant Sergent,San Diego,4,10,16,2.488088325494552,1,1,1,0,0
2023,Grant Sergent,San Diego,3,13,4,-0.00845343367462446,0,1,1,0,0
2023,Grant Sergent,San Diego,1,10,0,-1.1496266880203319,0,1,0,0,0
2023,Grant Sergent,San Diego,2,10,6,0.3019937518109154,1,1,1,0,0
2023,Grant Sergent,San Diego,3,4,16,2.398558053234936,1,1,1,0,0
2023,Grant Sergent,San Diego,2,7,0,-0.810888684999995,0,1,0,0,0
2023,Grant Sergent,San Diego,3,7,33,4.047874419532139,1,1,1,0,1
2023,Grant Sergent,San Diego,1,10,42,1.737684022270518,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,2,-0.6439997383019928,0,1,1,0,0
2023,Grant Sergent,San Diego,3,3,0,-0.8451240228241659,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,-10,-1.7086697429001525,0,1,1,0,0
2023,Grant Sergent,San Diego,2,20,0,-0.1023173280767757,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,23,2.6639776780712285,1,1,1,0,1
2023,Grant Sergent,San Diego,2,10,6,0.1073141388607495,1,1,1,0,0
2023,Grant Sergent,San Diego,2,4,0,-0.362082681028621,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,3,-0.2366097161141063,0,1,1,0,0
2023,Grant Sergent,San Diego,2,13,0,-0.14484675654808754,0,1,0,0,0
2023,Grant Sergent,San Diego,3,13,22,2.3457864046286687,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,8,1.0316758541779354,1,1,1,0,0
2023,Grant Sergent,San Diego,2,11,8,0.566262066673524,1,1,1,0,0
2023,Grant Sergent,San Diego,1,13,8,0.282178227504993,1,1,1,0,0
2023,Grant Sergent,San Diego,2,10,2,-0.2284411734150149,0,1,1,0,0
2023,Grant Sergent,San Diego,3,8,9,1.8619737074046574,1,1,1,0,0
2023,Grant Sergent,San Diego,2,9,16,0.6327786494339875,1,1,1,0,0
2023,Grant Sergent,San Diego,3,5,0,-0.30477479766102,0,1,0,0,0
2023,Grant Sergent,San Diego,2,7,7,2.607148468017737,1,1,1,0,1
2023,Grant Sergent,San Diego,1,10,40,1.8879183551995171,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Grant Sergent,San Diego,2,8,8,1.485494312129454,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,61,3.402620892186011,1,1,1,0,0
2023,Grant Sergent,San Diego,3,6,0,-0.22398022422976105,0,1,0,0,0
2023,Grant Sergent,San Diego,2,6,0,-0.49085975085758804,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,7,0.31818120328422,1,1,1,0,0
2023,Grant Sergent,San Diego,4,7,7,2.872604251812181,1,1,1,0,0
2023,Grant Sergent,San Diego,3,10,3,-0.3615734146785386,0,1,1,0,0
2023,Grant Sergent,San Diego,2,18,8,0.6365514840045225,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,0,-1.1247712359915258,0,1,0,0,0
2023,Grant Sergent,San Diego,1,8,0,-0.357171386033373,0,1,0,0,0
2023,Grant Sergent,San Diego,2,8,0,-0.26931522945819,0,1,0,0,0
2023,Grant Sergent,San Diego,2,3,0,-0.481620225014417,0,1,0,0,0
2023,Grant Sergent,San Diego,3,3,7,0.491462219678965,1,1,1,0,0
2023,Grant Sergent,San Diego,3,21,37,3.6078984254374706,1,1,1,0,0
2023,Grant Sergent,San Diego,4,3,0,-3.339668318304817,0,1,0,0,0
2023,Grant Sergent,San Diego,3,9,6,0.216504188921638,1,1,1,0,0
2023,Grant Sergent,San Diego,2,9,0,-0.6814576725824767,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,0,-0.340019558909725,0,1,0,0,0
2023,Grant Sergent,San Diego,3,1,49,3.520885878885855,1,1,1,0,0
2023,Grant Sergent,San Diego,2,8,7,0.4295698173730899,1,1,1,0,0
2023,Grant Sergent,San Diego,3,14,0,-0.877889678280166,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,5,0.1079044232439195,1,1,1,0,0
2023,Grant Sergent,San Diego,2,5,0,-1.197413517847938,0,1,0,0,0
2023,Grant Sergent,San Diego,3,5,0,-0.939381819887151,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,0,-0.7982008475508557,0,1,0,0,0
2023,Grant Sergent,San Diego,2,10,1,-0.34687829547662474,0,1,1,0,0
2023,Grant Sergent,San Diego,3,9,0,-0.2279899530624956,0,1,0,0,0
2023,Grant Sergent,San Diego,2,25,57,4.461888139121645,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,0,-0.6351269961541294,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,8,0.458030162847379,1,1,1,0,0
2023,Grant Sergent,San Diego,2,10,39,3.954674634374088,1,1,1,0,1
2023,Grant Sergent,San Diego,2,16,22,2.5285504850701956,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,20,1.5185737948668763,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,0,-0.814236079442537,0,1,0,0,0
2023,Grant Sergent,San Diego,3,7,12,1.8157902570976994,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,3,-0.4062307312880424,0,1,1,0,0
2023,Grant Sergent,San Diego,2,7,37,2.9488633797133197,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,13,0.957001126463954,1,1,1,0,0
2023,Grant Sergent,San Diego,3,6,0,-0.8603959659552948,0,1,0,0,0
2023,Grant Sergent,San Diego,1,10,-5,-1.2291729468453347,0,1,0,0,0
2023,Grant Sergent,San Diego,1,15,8,0.5080548639046691,1,1,1,0,0
2023,Grant Sergent,San Diego,1,10,4,-0.1319374071745773,0,1,1,0,0
2023,Grant Sergent,San Diego,1,10,-5,-1.772846116120677,0,1,1,0,0
2023,Grant Sergent,San Diego,2,15,4,-0.1652465474166078,0,1,1,0,0
2023,Grant Sergent,San Diego,1,10,0,-0.766047035673644,0,1,0,0,0
