season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Grayson James,Boston College,1,10,0,-0.6630222646782312,0,1,0,0,0
2024,Grayson James,Boston College,3,12,50,3.8667459051788606,1,1,1,0,0
2024,Grayson James,Boston College,2,9,10,1.3107486266877206,1,1,1,0,0
2024,Grayson James,Boston College,2,8,3,-0.1467657309596543,0,1,1,0,0
2024,Grayson James,Boston College,2,11,4,-0.078628544271095,0,1,1,0,0
2024,Grayson James,Boston College,3,22,8,0.45194855514477267,1,1,1,0,0
2024,Grayson James,Boston College,3,10,-12,-2.645618045186078,0,1,1,0,0
2024,Grayson James,Boston College,2,18,5,0.03011767099791293,1,1,1,0,0
2024,Grayson James,Boston College,3,13,22,3.6795420049057572,1,1,1,0,0
2024,Grayson James,Boston College,2,7,0,-0.810888684999995,0,1,0,0,0
2024,Grayson James,Boston College,4,7,0,-1.9422687065380693,0,1,0,0,0
2024,Grayson James,Boston College,2,7,0,-0.43583975606982506,0,1,0,0,0
2024,Grayson James,Boston College,3,7,15,2.1055036271095435,1,1,1,0,0
2024,Grayson James,Boston College,1,10,0,-1.087995077167328,0,1,0,0,0
2024,Grayson James,Boston College,2,10,0,-0.6938325521359872,0,1,0,0,0
2024,Grayson James,Boston College,3,10,23,3.5943927150512547,1,1,1,0,0
2024,Grayson James,Boston College,1,10,5,0.076570349594624,1,1,1,0,0
2024,Grayson James,Boston College,1,10,0,-0.350740748439042,0,1,0,0,0
2024,Grayson James,Boston College,2,10,9,0.401814640523785,1,1,1,0,0
2024,Grayson James,Boston College,3,1,0,-0.40236904257851,0,1,1,0,0
2024,Grayson James,Boston College,3,8,0,-0.2694610798635253,0,1,0,0,0
2024,Grayson James,Boston College,1,10,34,2.2144948621036233,1,1,1,0,0
2024,Grayson James,Boston College,2,9,10,1.892742305258272,1,1,1,0,0
2024,Grayson James,Boston College,1,10,0,-1.0742999147475647,0,1,0,0,0
2024,Grayson James,Boston College,2,5,8,1.0053073418996357,1,1,1,0,0
2024,Grayson James,Boston College,1,10,5,0.1104175997643273,1,1,1,0,0
2024,Grayson James,Boston College,2,8,11,1.7066921482291022,1,1,1,0,0
2024,Grayson James,Boston College,1,10,0,-1.0250974847844603,0,1,0,0,0
2024,Grayson James,Boston College,2,10,11,1.5957961091419686,1,1,1,0,0
2024,Grayson James,Boston College,2,14,20,1.8177626154088935,1,1,1,0,0
2024,Grayson James,Boston College,1,10,12,0.407692998310312,1,1,1,0,0
2024,Grayson James,Boston College,1,7,0,-0.410393837690526,0,1,0,0,0
2024,Grayson James,Boston College,3,2,0,-0.306522417191541,0,1,0,0,0
2024,Grayson James,Boston College,4,2,0,-4.148647298745598,0,1,0,0,0
2024,Grayson James,Boston College,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Grayson James,Boston College,2,10,21,2.8359778401885407,1,1,1,0,0
2024,Grayson James,Boston College,1,10,5,0.076570349594624,1,1,1,0,0
2024,Grayson James,Boston College,2,5,6,0.107541021759393,1,1,1,0,0
2024,Grayson James,Boston College,1,10,4,-0.0217352641607655,0,1,1,0,0
2024,Grayson James,Boston College,2,6,0,-0.3580925615253695,0,1,0,0,0
2024,Grayson James,Boston College,3,6,12,2.021709653350106,1,1,1,0,0
2024,Grayson James,Boston College,2,9,11,1.2222594916936504,1,1,1,0,0
2024,Grayson James,Boston College,2,8,-1,-0.7023656900394091,0,1,1,0,0
2024,Grayson James,Boston College,3,9,1,-0.2188396982820242,0,1,1,0,0
2024,Grayson James,Boston College,2,9,1,-0.3439316523569813,0,1,1,0,0
2024,Grayson James,Boston College,3,8,0,-0.22421028645399854,0,1,0,0,0
2024,Grayson James,Boston College,2,7,23,-4.045945656933011,0,1,0,1,0
2024,Grayson James,Boston College,2,11,0,-0.29427450685877776,0,1,0,0,0
2024,Grayson James,Boston College,3,11,12,2.0263263696204783,1,1,1,0,0
2024,Grayson James,Boston College,1,10,16,1.460958771495374,1,1,1,0,0
2024,Grayson James,Boston College,3,7,0,-0.973852166950179,0,1,0,0,0
2024,Grayson James,Boston College,1,10,5,0.1106144250151839,1,1,1,0,0
2024,Grayson James,Boston College,2,9,13,1.8627866245051266,1,1,1,0,0
2024,Grayson James,Boston College,4,2,9,2.793483828292901,1,1,1,0,0
2024,Grayson James,Boston College,1,10,5,0.0913907244107932,1,1,1,0,0
2024,Grayson James,Boston College,2,5,5,0.357904590018073,1,1,1,0,0
2024,Grayson James,Boston College,1,10,15,0.311282064431397,1,1,1,0,0
2024,Grayson James,Boston College,1,10,10,0.9552113600044425,1,1,1,0,0
2024,Grayson James,Boston College,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Grayson James,Boston College,2,10,0,-0.34710487712173865,0,1,0,0,0
2024,Grayson James,Boston College,3,10,12,2.077319225308962,1,1,1,0,0
2024,Grayson James,Boston College,2,6,4,-0.1599080992362156,0,1,1,0,0
2024,Grayson James,Boston College,3,14,0,-0.6670324289259524,0,1,0,0,0
2024,Grayson James,Boston College,2,10,0,-1.0526570825811008,0,1,0,0,0
2024,Grayson James,Boston College,3,10,25,2.6761788466399987,1,1,1,0,0
2024,Grayson James,Boston College,1,10,15,1.366667805112316,1,1,1,0,0
2024,Grayson James,Boston College,2,9,0,-0.6839286311037895,0,1,0,0,0
2024,Grayson James,Boston College,1,10,0,-1.1143038065675126,0,1,0,0,0
2024,Grayson James,Boston College,2,10,0,-1.0237730924311421,0,1,0,0,0
2024,Grayson James,Boston College,3,10,0,-0.7052334563220866,0,1,0,0,0
2024,Grayson James,Boston College,1,9,0,-0.315798379566314,0,1,0,0,0
2024,Grayson James,Boston College,3,8,8,2.946086184191255,1,1,1,0,1
2024,Grayson James,Boston College,2,6,11,1.5738411255306988,1,1,1,0,0
2024,Grayson James,Boston College,3,7,10,1.721578607996655,1,1,1,0,0
