season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Hayden Johnson,Lehigh,4,6,0,-1.6764494417685825,0,1,0,1,0
2024,Hayden Johnson,Lehigh,3,6,0,-1.0585109938611392,0,1,0,0,0
2024,Hayden Johnson,Lehigh,1,10,11,0.7675346628139116,1,1,1,0,0
2024,Hayden Johnson,Lehigh,4,2,9,2.109004040973278,1,1,1,0,0
2024,Hayden Johnson,Lehigh,1,25,22,3.541472102795402,1,1,1,0,0
2024,Hayden Johnson,Lehigh,2,3,0,-1.0125926289471003,0,1,0,0,0
2024,Hayden Johnson,Lehigh,2,10,4,-0.0245419486732634,0,1,1,0,0
2024,Hayden Johnson,Lehigh,2,6,8,1.3052821769247647,1,1,1,0,0
2024,Hayden Johnson,Lehigh,3,4,5,1.7098979638389835,1,1,1,0,0
2024,Hayden Johnson,Lehigh,1,10,6,0.186246289322352,1,1,1,0,0
2024,Hayden Johnson,Lehigh,3,10,15,2.727342342152191,1,1,0,0,0
2024,Hayden Johnson,Lehigh,4,4,0,-3.0992539260883625,0,1,0,0,0
2024,Hayden Johnson,Lehigh,2,11,23,2.9275554440887372,1,1,1,0,0
2024,Hayden Johnson,Lehigh,2,10,11,1.8152771837573347,1,1,1,0,0
2024,Hayden Johnson,Lehigh,2,12,51,4.479546009575991,1,1,1,0,0
2024,Hayden Johnson,Lehigh,3,9,11,1.631611182313567,1,1,1,0,0
2024,Hayden Johnson,Lehigh,1,10,5,0.074636067054974,1,1,1,0,0
2024,Hayden Johnson,Lehigh,2,8,9,0.5069934402624926,1,1,1,0,0
2024,Hayden Johnson,Lehigh,3,10,13,2.6183673403315764,1,1,1,0,0
2024,Hayden Johnson,Lehigh,3,4,6,1.104702266152758,1,1,1,0,0
2024,Hayden Johnson,Lehigh,2,8,17,2.803697569467232,1,1,1,0,1
2024,Hayden Johnson,Lehigh,3,2,25,2.942485583898651,1,1,1,0,0
2024,Hayden Johnson,Lehigh,1,10,4,-0.080462810572756,0,1,1,0,0
2024,Hayden Johnson,Lehigh,1,10,5,0.095856923095079,1,1,1,0,0
