season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Haynes King,Georgia Tech,1,15,0,-0.2892163434547177,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,10,-1,-1.3786709298701574,0,1,1,0,0
2023,Haynes King,Georgia Tech,2,11,0,-0.8019431292409882,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,11,0,-0.454394133014004,0,1,0,0,0
2023,Haynes King,Georgia Tech,2,14,0,-0.2447112587616198,0,1,0,0,0
2023,Haynes King,Georgia Tech,2,8,2,-0.6090363250622879,0,1,1,0,0
2023,Haynes King,Georgia Tech,3,7,0,-0.6198576191327767,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,10,8,0.9306943515415842,1,1,1,0,0
2023,Haynes King,Georgia Tech,2,2,29,2.0246733294426384,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,5,0.1068735075937823,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,0,-2.3409876502015727,0,1,0,1,0
2023,Haynes King,Georgia Tech,2,11,3,-0.12992184464295686,0,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,-1,-0.390702120761128,0,1,1,0,0
2023,Haynes King,Georgia Tech,2,11,-1,-0.499899058042004,0,1,1,0,0
2023,Haynes King,Georgia Tech,3,12,13,1.76060974965424,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,0,-1.1247712359915258,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,10,19,0.8020065667429783,1,1,1,0,0
2023,Haynes King,Georgia Tech,3,3,3,2.624562399778991,1,1,1,0,1
2023,Haynes King,Georgia Tech,1,10,9,1.150899831387264,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,23,0.5031254562976617,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,14,1.2667698043995337,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,5,0.0988833853941654,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,-3,-1.3433412904896205,0,1,1,0,0
2023,Haynes King,Georgia Tech,2,13,40,4.394749921966364,1,1,1,0,1
2023,Haynes King,Georgia Tech,2,8,6,0.3242953730701554,1,1,1,0,0
2023,Haynes King,Georgia Tech,3,5,25,2.8107334726381126,1,1,1,0,0
2023,Haynes King,Georgia Tech,2,13,0,-0.8361027698372379,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,13,0,-1.0063597721388824,0,1,0,0,0
2023,Haynes King,Georgia Tech,2,5,0,-1.1961853197390067,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,8,8,2.319599568699692,1,1,1,0,1
2023,Haynes King,Georgia Tech,1,10,55,4.276613237316365,1,1,1,0,1
2023,Haynes King,Georgia Tech,1,10,15,1.4240112820685518,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,23,1.2810563006505367,1,1,1,0,0
2023,Haynes King,Georgia Tech,3,8,0,-0.4704630070105704,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,10,3,-0.30809127134716,0,1,1,0,0
2023,Haynes King,Georgia Tech,2,7,14,1.8495508862967993,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,0,-0.8772679222659558,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,3,0,-1.0085139299529366,0,1,0,0,0
2023,Haynes King,Georgia Tech,4,3,14,2.0281711181523665,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,10,0,-0.374805786232315,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,10,2,-0.41522254917671025,0,1,1,0,0
2023,Haynes King,Georgia Tech,2,12,0,-0.22025401451895998,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,12,11,0.36844986030075777,1,1,1,0,0
2023,Haynes King,Georgia Tech,3,8,38,4.036577531403032,1,1,1,0,0
2023,Haynes King,Georgia Tech,1,20,0,-0.1502586463363924,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,12,14,2.245000575846941,1,1,1,0,0
2023,Haynes King,Georgia Tech,2,8,31,3.0085397292351743,1,1,1,0,0
2023,Haynes King,Georgia Tech,2,12,14,2.3229746361112458,1,1,1,0,0
2023,Haynes King,Georgia Tech,3,5,33,3.8135096001797155,1,1,1,0,1
2023,Haynes King,Georgia Tech,2,12,0,-0.28138783772764064,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,12,7,0.11592698588099459,1,1,1,0,0
2023,Haynes King,Georgia Tech,2,8,0,-0.279600631028688,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,8,0,-0.3751543911976396,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,20,0,-0.8933873147149816,0,1,0,0,0
2023,Haynes King,Georgia Tech,3,1,10,0.8928601475606017,1,1,1,0,0
2023,Haynes King,Georgia Tech,2,13,1,-0.7087363530200675,0,1,1,0,0
2023,Haynes King,Georgia Tech,3,12,0,-0.5900177248086829,0,1,0,0,0
2023,Haynes King,Georgia Tech,1,10,5,0.1032144590601496,1,1,1,0,0
2023,Haynes King,Georgia Tech,3,8,10,2.526663301297491,1,1,1,0,0
2023,Haynes King,Georgia Tech,2,8,2,-0.515697436893589,0,1,1,0,0
2023,Haynes King,Georgia Tech,3,6,0,-1.0367082264747387,0,1,0,0,0
2023,Haynes King,Georgia Tech,4,6,0,-1.8704841568983444,0,1,0,0,0
