season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2021,Hendon Hooker,Tennessee,2023,,,5,pass,0.479964017868042,False,53.0
2021,Hendon Hooker,Tennessee,2023,,,25,pass,-5.070801734924316,False,34.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.36068010330200195,False,34.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.5721163749694824,False,12.0
2021,Hendon Hooker,Tennessee,2023,,,28,pass,0.5721163749694824,False,40.0
2021,Hendon Hooker,Tennessee,2023,,,34,pass,3.36200213432312,False,36.0
2021,Hendon Hooker,Tennessee,2023,,,6,pass,0.3764505386352539,False,42.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.5827113389968872,False,61.0
2021,Hendon Hooker,Tennessee,2023,,,16,pass,0.04481935501098633,False,88.0
2021,Hendon Hooker,Tennessee,2023,,,2,pass,-0.5705794095993042,False,90.0
2021,Hendon Hooker,Tennessee,2023,,,-7,pass,-1.191140055656433,False,83.0
2021,Hendon Hooker,Tennessee,2023,,,8,pass,1.7065787315368652,True,8.0
2021,Hendon Hooker,Tennessee,2023,,,3,pass,-0.8447960615158081,False,43.0
2021,Hendon Hooker,Tennessee,2023,,,-8,pass,-2.082322120666504,False,35.0
2021,Hendon Hooker,Tennessee,2023,,,12,pass,0.9125133752822876,False,47.0
2021,Hendon Hooker,Tennessee,2023,,,16,pass,1.4059810638427734,False,63.0
2021,Hendon Hooker,Tennessee,2023,,,1,pass,-0.8407440185546875,False,91.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.8609135150909424,False,91.0
2021,Hendon Hooker,Tennessee,2023,,,-5,pass,-4.89085054397583,False,68.0
2021,Hendon Hooker,Tennessee,2023,,,11,pass,2.545093297958374,False,74.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.9744967222213745,False,74.0
2021,Hendon Hooker,Tennessee,2023,,,44,pass,4.01036262512207,True,44.0
2021,Hendon Hooker,Tennessee,2023,,,20,pass,1.3589577674865723,False,64.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.8871787786483765,False,82.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.9024480581283569,False,82.0
2021,Hendon Hooker,Tennessee,2023,,,10,pass,0.34769725799560547,False,39.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.23308801651000977,False,1.0
2021,Hendon Hooker,Tennessee,2023,,,22,pass,1.2278504371643066,False,48.0
2021,Hendon Hooker,Tennessee,2023,,,6,pass,0.10031461715698242,False,26.0
2021,Hendon Hooker,Tennessee,2023,,,16,pass,1.1849985122680664,False,17.0
2021,Hendon Hooker,Tennessee,2023,,,1,pass,1.0808534622192383,True,1.0
2021,Hendon Hooker,Tennessee,2023,,,10,pass,2.6680655479431152,False,30.0
2021,Hendon Hooker,Tennessee,2023,,,7,pass,0.7286076545715332,False,20.0
2021,Hendon Hooker,Tennessee,2023,,,3,pass,-1.0309215784072876,False,65.0
2021,Hendon Hooker,Tennessee,2023,,,14,pass,0.5036764144897461,False,67.0
2021,Hendon Hooker,Tennessee,2023,,,45,pass,5.312432765960693,True,45.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.897130012512207,False,47.0
2021,Hendon Hooker,Tennessee,2023,,,7,pass,0.2393801212310791,False,79.0
2021,Hendon Hooker,Tennessee,2023,,,5,pass,0.3252754211425781,False,72.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.6410129070281982,False,67.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-2.9354398250579834,False,47.0
2021,Hendon Hooker,Tennessee,2023,,,11,pass,0.5044355392456055,False,66.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.5579483509063721,False,55.0
2021,Hendon Hooker,Tennessee,2023,,,7,pass,-0.0400395393371582,False,55.0
2021,Hendon Hooker,Tennessee,2023,,,29,pass,2.6995625495910645,True,29.0
2021,Hendon Hooker,Tennessee,2023,,,4,pass,-0.17684698104858398,False,33.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.9503976106643677,False,65.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.4141286313533783,False,65.0
2021,Hendon Hooker,Tennessee,2023,,,-7,pass,-1.8907663822174072,False,48.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.6146687865257263,False,65.0
2021,Hendon Hooker,Tennessee,2023,,,15,pass,2.551745891571045,False,80.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.6017951369285583,False,80.0
2021,Hendon Hooker,Tennessee,2023,,,9,pass,1.1881060600280762,False,63.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-3.392702579498291,False,30.0
2021,Hendon Hooker,Tennessee,2023,,,7,pass,0.30099648237228394,False,37.0
2021,Hendon Hooker,Tennessee,2023,,,-1,pass,-1.0415000915527344,False,35.0
2021,Hendon Hooker,Tennessee,2023,,,7,pass,3.7045464515686035,False,42.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-1.9067121744155884,False,42.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,1.4716713428497314,False,30.0
2021,Hendon Hooker,Tennessee,2023,,,18,pass,0.7756811380386353,False,48.0
2021,Hendon Hooker,Tennessee,2023,,,22,pass,0.6431636810302734,False,70.0
2021,Hendon Hooker,Tennessee,2023,,,5,pass,0.031138211488723755,False,65.0
2021,Hendon Hooker,Tennessee,2023,,,-3,pass,-0.9806884527206421,False,72.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.5712776780128479,False,74.0
2021,Hendon Hooker,Tennessee,2023,,,2,pass,-0.5131552815437317,False,79.0
2021,Hendon Hooker,Tennessee,2023,,,75,pass,5.993042945861816,True,75.0
2021,Hendon Hooker,Tennessee,2023,,,3,pass,-1.1939752101898193,False,78.0
2021,Hendon Hooker,Tennessee,2023,,,8,pass,1.0311967134475708,False,86.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.9482542276382446,False,74.0
2021,Hendon Hooker,Tennessee,2023,,,47,pass,5.494680404663086,True,47.0
2021,Hendon Hooker,Tennessee,2023,,,3,pass,-1.0772929191589355,False,50.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-0.6699918508529663,False,80.0
2021,Hendon Hooker,Tennessee,2023,,,0,pass,-1.6281664371490479,False,69.0
2021,Hendon Hooker,Tennessee,2023,,,7,pass,1.488053321838379,False,11.0
2021,Hendon Hooker,Tennessee,2023,,,24,pass,3.8695294857025146,True,24.0
2021,Hendon Hooker,Tennessee,2023,,,10,pass,0.5023829936981201,False,75.0
2021,Hendon Hooker,Tennessee,2023,,,13,pass,1.1235032081604004,False,58.0
