season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Isaac Wilson,Utah,3,14,0,-0.6465242512807805,0,1,0,1,0
2024,Isaac Wilson,Utah,1,10,4,-0.1142886249388964,0,1,1,0,0
2024,Isaac Wilson,Utah,3,6,0,-0.3146897268978579,0,1,0,0,0
2024,Isaac Wilson,Utah,2,9,9,0.410220907148599,1,1,1,0,0
2024,Isaac Wilson,Utah,4,3,19,2.5144841921382906,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,3,-0.3418939310329067,0,1,1,0,0
2024,Isaac Wilson,Utah,2,4,0,-0.362082681028621,0,1,0,0,0
2024,Isaac Wilson,Utah,2,10,5,0.041046352184617,1,1,1,0,0
2024,Isaac Wilson,Utah,3,5,4,-4.098512894674984,0,1,0,1,0
2024,Isaac Wilson,Utah,1,10,20,2.617927729031699,1,1,1,0,1
2024,Isaac Wilson,Utah,2,20,0,-0.7682767433558828,0,1,0,0,0
2024,Isaac Wilson,Utah,2,9,3,-0.2356022833929749,0,1,1,0,0
2024,Isaac Wilson,Utah,3,6,0,-0.8474255838911784,0,1,0,0,0
2024,Isaac Wilson,Utah,2,9,5,0.0803401963293488,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Isaac Wilson,Utah,1,15,5,0.02996036431825377,1,1,1,0,0
2024,Isaac Wilson,Utah,3,6,17,2.102784732799611,1,1,1,0,0
2024,Isaac Wilson,Utah,2,5,0,-1.1346829709010997,0,1,0,0,0
2024,Isaac Wilson,Utah,3,5,0,-0.7250435113209264,0,1,0,0,0
2024,Isaac Wilson,Utah,3,11,-2,-0.11217892513348814,0,1,1,0,0
2024,Isaac Wilson,Utah,1,10,5,0.0855067756440384,1,1,1,0,0
2024,Isaac Wilson,Utah,2,5,0,-0.6063758180006475,0,1,0,0,0
2024,Isaac Wilson,Utah,3,5,0,-1.0723900763651333,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,25,1.0222561582087284,1,1,1,0,0
2024,Isaac Wilson,Utah,2,5,0,-0.4481008553640163,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Isaac Wilson,Utah,2,10,7,0.3138158809285007,1,1,1,0,0
2024,Isaac Wilson,Utah,3,3,0,-0.5139435334013278,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,6,0.3245554637561217,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,5,0.07438453789675,1,1,1,0,0
2024,Isaac Wilson,Utah,2,11,11,2.8564060508254165,1,1,1,0,1
2024,Isaac Wilson,Utah,2,5,6,0.8360173954125062,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,28,2.136414512761535,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,0,-0.7215426143188567,0,1,0,0,0
2024,Isaac Wilson,Utah,3,7,0,-1.0098568739297917,0,1,0,0,0
2024,Isaac Wilson,Utah,4,7,0,-1.9422687065380693,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,11,2.521739413367925,1,1,1,0,1
2024,Isaac Wilson,Utah,1,10,20,1.081421033819991,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,9,0.698477649783843,1,1,1,0,0
2024,Isaac Wilson,Utah,2,1,0,-0.671512390592971,0,1,0,0,0
2024,Isaac Wilson,Utah,2,4,0,-0.8681070846083454,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,33,2.7828196481491974,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,12,0.480692338649353,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,13,0.234340030138357,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,0,-0.340019558909725,0,1,1,0,0
2024,Isaac Wilson,Utah,1,10,11,1.0337741691059161,1,1,1,0,0
2024,Isaac Wilson,Utah,2,2,20,0.8122600813756422,1,1,1,0,0
2024,Isaac Wilson,Utah,2,2,17,0.268312552796305,1,1,1,0,0
2024,Isaac Wilson,Utah,2,8,15,-0.46964120095664086,0,1,0,1,0
2024,Isaac Wilson,Utah,4,2,2,2.851352701254402,1,1,1,0,1
2024,Isaac Wilson,Utah,2,9,0,-0.5068450753670621,0,1,0,0,0
2024,Isaac Wilson,Utah,3,9,0,-0.24285188526338786,0,1,0,0,0
2024,Isaac Wilson,Utah,2,2,0,-0.8263735090155075,0,1,0,0,0
2024,Isaac Wilson,Utah,4,2,0,-2.6722179283320333,0,1,0,0,0
2024,Isaac Wilson,Utah,2,7,0,-0.19321261948627377,0,1,0,1,0
2024,Isaac Wilson,Utah,1,10,1,-0.6215061842869627,0,1,1,0,0
2024,Isaac Wilson,Utah,3,1,25,2.588207195110896,1,1,1,0,0
2024,Isaac Wilson,Utah,2,9,0,-0.9790917484761117,0,1,0,0,0
2024,Isaac Wilson,Utah,3,9,6,0.283187951651545,1,1,1,0,0
2024,Isaac Wilson,Utah,4,3,11,1.8255517222475874,1,1,1,0,0
2024,Isaac Wilson,Utah,2,21,16,1.5886708647713328,1,1,1,0,0
2024,Isaac Wilson,Utah,2,8,20,2.4962568745051996,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,13,0.421173098704488,1,1,1,0,0
2024,Isaac Wilson,Utah,1,15,17,1.9910405731945362,1,1,1,0,0
2024,Isaac Wilson,Utah,2,7,0,-1.0372452328048558,0,1,0,0,0
2024,Isaac Wilson,Utah,3,7,17,2.9885411257405563,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,9,0.7829116041302752,1,1,1,0,0
2024,Isaac Wilson,Utah,2,1,0,-4.731502972653532,0,1,0,1,0
2024,Isaac Wilson,Utah,3,6,0,-0.5500549337832448,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,5,0.0872959704547682,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,0,-0.8947814664467213,0,1,0,0,0
2024,Isaac Wilson,Utah,2,10,0,-0.5229247355568223,0,1,0,0,0
2024,Isaac Wilson,Utah,3,10,4,-0.1027862065801734,0,1,1,0,0
2024,Isaac Wilson,Utah,1,10,3,-0.152495975717313,0,1,1,0,0
2024,Isaac Wilson,Utah,1,10,14,1.3226037375250375,1,1,1,0,0
2024,Isaac Wilson,Utah,2,7,4,-0.1206385563558249,0,1,1,0,0
2024,Isaac Wilson,Utah,1,10,0,-0.534372502378378,0,1,0,0,0
2024,Isaac Wilson,Utah,3,7,0,-0.7798918841139616,0,1,0,0,0
2024,Isaac Wilson,Utah,2,9,0,-0.3461369454848935,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,8,0.9104368550610653,1,1,1,0,0
2024,Isaac Wilson,Utah,3,5,6,1.5897498674784165,1,1,1,0,0
2024,Isaac Wilson,Utah,3,8,11,2.673312978850488,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,22,1.135066019294827,1,1,1,0,0
2024,Isaac Wilson,Utah,2,4,11,1.1826771066294377,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,18,1.3726540681019745,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,9,0.839961749584607,1,1,1,0,0
2024,Isaac Wilson,Utah,2,6,0,-0.29509485739271,0,1,0,0,0
2024,Isaac Wilson,Utah,4,2,0,-4.148647298745598,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,28,1.3952150713072502,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,14,0.1783449488981325,1,1,1,0,0
2024,Isaac Wilson,Utah,3,4,0,-0.2984964550897317,0,1,0,0,0
2024,Isaac Wilson,Utah,3,9,0,-0.18876768235831598,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,14,0.5429724220848948,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,0,-1.1618692012952412,0,1,0,0,0
2024,Isaac Wilson,Utah,2,10,0,-0.9098186366856273,0,1,0,0,0
2024,Isaac Wilson,Utah,3,10,0,-0.5497170178024078,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,3,-0.24791478712197265,0,1,1,0,0
2024,Isaac Wilson,Utah,2,7,0,-0.4583337173228852,0,1,0,0,0
2024,Isaac Wilson,Utah,3,7,21,2.7601700569456487,1,1,1,0,0
2024,Isaac Wilson,Utah,1,10,0,-0.8627910327708888,0,1,0,0,0
2024,Isaac Wilson,Utah,3,8,0,-0.3045902576432189,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,12,-0.9222448802786785,0,1,0,1,0
2024,Isaac Wilson,Utah,1,10,0,-1.1387859939569847,0,1,0,0,0
2024,Isaac Wilson,Utah,2,12,0,-0.9523184172996871,0,1,0,0,0
2024,Isaac Wilson,Utah,3,12,6,0.2230983682672773,1,1,1,0,0
2024,Isaac Wilson,Utah,4,6,0,-1.0450876333147132,0,1,0,0,0
2024,Isaac Wilson,Utah,1,10,5,0.0855067756440384,1,1,1,0,0
