season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,JaCobian Morgan,Jackson State,3,9,11,2.804456874596422,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,5,0.1003706527461523,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,5,3,-0.382232538145731,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,3,-0.1007251569352445,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,2,8,0.2481304574938204,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,3,-0.118259586028175,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,0,-1.0250974847844603,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,3,10,3,-0.3615734146785386,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,7,0,-1.110440053376724,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,2,9,3,-0.13445659968206236,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,6,0,-0.2368142460140934,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,1,10,-5,-0.6500761561906545,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,7,0.6896384238174758,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,1,-0.8372206360227173,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,6,0.228690499805612,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,14,2.5482831751790815,1,1,1,0,1
2023,JaCobian Morgan,Jackson State,2,7,8,1.086933393264598,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,2,-0.436671624801777,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,8,0,-0.9430517195492936,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,3,8,11,1.800159776874441,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,10,6,0.1630255508772685,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,3,2,-0.5344932979132705,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,5,70,5.983210003187837,1,1,1,0,1
2023,JaCobian Morgan,Jackson State,1,10,6,0.4012419719961234,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,13,0,-0.49232838022227116,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,1,10,13,1.2346627219809039,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,8,0.881884677547804,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,2,4,-0.062879532774714,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,15,7,0.50240869267299,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,8,28,2.100419965980192,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,4,4,2.6959729214765815,1,1,1,0,1
2023,JaCobian Morgan,Jackson State,2,19,12,1.5235412230338652,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,7,22,1.454329194721287,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,7,0,-0.325035760733144,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,2,7,0,-0.4144639504621246,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,3,7,0,-0.1873092161427703,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,2,3,17,1.2262339528555541,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,5,8,0.3097080448501435,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,25,2.7000843622660575,1,1,1,0,1
2023,JaCobian Morgan,Jackson State,3,3,0,-0.5155258600736676,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,2,3,0,-0.502793040342395,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,1,10,7,0.324778503489089,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,20,14,2.090345276985037,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,19,18,2.7959572854175025,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,6,15,1.1784866130455516,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,6,0,-0.8397239190367127,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,2,14,11,0.36800118716866503,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,3,4,0.8068346458434448,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,9,20,2.4803371251377992,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,10,9,1.20588179851595,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,8,5,0.0841226860701579,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,3,6,1.7721880524532772,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,2,0,-1.098772259861683,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,1,10,32,2.8715194255889624,1,1,1,0,1
2023,JaCobian Morgan,Jackson State,1,10,4,-0.019365161227934,0,1,1,0,0
2023,JaCobian Morgan,Jackson State,1,4,0,-0.6456997217339855,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,2,4,4,2.3338902404479605,1,1,1,0,1
2023,JaCobian Morgan,Jackson State,1,10,0,-0.46182849902011913,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,3,8,0,-0.1318376833499606,0,1,0,0,0
2023,JaCobian Morgan,Jackson State,2,8,5,0.0814745720156971,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,3,3,4,1.614418340488319,1,1,1,0,0
2023,JaCobian Morgan,Jackson State,2,4,4,2.3338902404479605,1,1,1,0,1
2023,JaCobian Morgan,Jackson State,3,22,4,-0.0971781094709563,0,1,1,0,0
