season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Jackson Arnold,Oklahoma,3,2,9,1.8700417391835273,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,8,6,0.3279915104174193,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,1,10,9,0.7099805309828754,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,1,16,-0.035215735721124,0,1,1,0,0
2023,Jackson Arnold,Oklahoma,1,10,2,-0.6656376494811928,0,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,8,26,2.681915129247013,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,1,10,13,0.304429347118177,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,1,10,21,2.632296813795493,1,1,1,0,1
2023,Jackson Arnold,Oklahoma,1,10,13,1.2441591314559408,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,12,5,0.0592088297759314,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,9,-6,-2.241600330177959,0,1,1,0,0
2023,Jackson Arnold,Oklahoma,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Jackson Arnold,Oklahoma,2,10,0,-0.34710487712173865,0,1,0,0,0
2023,Jackson Arnold,Oklahoma,3,10,0,0.12783001888671208,1,1,0,1,0
2023,Jackson Arnold,Oklahoma,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Jackson Arnold,Oklahoma,3,10,6,0.07764099545890613,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,8,14,1.6012533909032776,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,11,10,1.1545541521930822,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,18,0,-0.38726555059434187,0,1,0,1,0
2023,Jackson Arnold,Oklahoma,1,10,8,0.9104368550610653,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,2,8,0.5083059148618289,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,2,8,8,1.5808368223569094,1,1,1,0,0
2023,Jackson Arnold,Oklahoma,1,10,6,0.3370848727167229,1,1,1,0,0
