season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Jackson Berry,Southern Utah,3,10,0,-0.20540775687585722,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,10,8,0.49347787415626243,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,10,0,-0.7576599502448165,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,7,11,2.4931312469721654,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,10,-1,-1.2300828701816775,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,11,3,-0.3768468074338785,0,1,1,0,0
2024,Jackson Berry,Southern Utah,2,9,0,-0.3461369454848935,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,11,0.979711793542446,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,9,0,-0.7796739034661835,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,9,22,3.4789823114864697,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,8,13,-3.422889820266672,0,1,0,1,0
2024,Jackson Berry,Southern Utah,3,4,6,1.5619766096993484,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,8,0.881884677547804,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,27,5,0.0068643324816291,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,-2,-1.598627696551306,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,10,10,2.6831262081156817,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,7,14,2.007996474211284,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-0.5586693796725282,0,1,1,0,0
2024,Jackson Berry,Southern Utah,2,12,0,-0.2489092113983693,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,12,0,-0.11184027731402413,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,10,27,3.105433778779413,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-1.065701080215459,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,10,0,-0.30950338122914456,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-0.6425305871127751,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-1.0250974847844603,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,5,5,1.2141403190573685,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,13,0,-0.698642518598296,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,10,5,0.04378266651122598,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,5,0,-0.3716239049161505,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,6,9,0.526759682111626,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,9,7,0.4445663660529781,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,9,0,-0.8699475122976805,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,6,11,1.8210355346802485,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,5,0.077675021178715,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,4,10,0.6341416805021165,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,6,0,-0.3146897268978579,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,10,2,-0.1055465827472748,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,4,0,-0.43770162015070735,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,10,18,2.6369911806170645,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,12,0.675455741266161,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,14,7,0.4803542090511783,1,1,1,0,0
2024,Jackson Berry,Southern Utah,4,7,0,-1.9422687065380693,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-1.1590089706435955,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,19,2.604447628637523,1,1,1,0,1
2024,Jackson Berry,Southern Utah,3,9,14,2.918651373448604,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,7,5,0.0677049390209064,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,32,2.7253850317904673,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,22,5,0.014138813539312347,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-0.8627910327708888,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-1.1618692012952412,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,7,5,0.0951029329551697,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,23,1.6482342547846314,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,7,2,-0.4342430399379114,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,5,30,2.7332074993496125,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,25,5,0.00159293606732815,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,6,-15,-1.5961944850863645,0,1,1,0,0
2024,Jackson Berry,Southern Utah,2,21,3,-0.03691613304223207,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,18,15,0.5194799024343348,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,9,0.6542321147630225,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,7,5,0.03324192746595,1,1,0,0,0
2024,Jackson Berry,Southern Utah,2,8,12,1.915595976414233,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,4,-10,-2.5814364075072573,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,14,11,1.1893354332293722,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,15,14,1.6212007495872618,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,9,11,2.7649860778615505,1,1,1,0,1
2024,Jackson Berry,Southern Utah,1,10,14,1.3344131779566515,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,20,0,-0.12889706347692798,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-0.5824837756999947,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,4,3,-0.356408663001516,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,7,45,3.731832314421871,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,9,12,3.088312050136425,1,1,1,0,1
2024,Jackson Berry,Southern Utah,2,2,0,-1.3405742205757976,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,12,17,2.5993344815394255,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,8,11,0.5046644955533246,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,2,13,0.3589251116167204,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,10,1,-0.366699343986828,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,4,6,0.657186940800118,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,7,9,1.4956938088079834,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,56,3.4128823575100213,1,1,1,0,1
2024,Jackson Berry,Southern Utah,2,10,13,0.6521197048544,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,7,11,1.1144053799229268,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,14,19,3.5781243354085186,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,4,4,1.349402760233092,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,4,40,1.6358881246692845,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,12,12,6.887557850748235,1,1,1,0,1
2024,Jackson Berry,Southern Utah,1,10,-5,-0.963217095966352,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,6,6,1.246665431289136,1,1,0,0,0
2024,Jackson Berry,Southern Utah,2,2,11,0.3587015997891178,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,12,1.0458101085319973,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,9,26,3.4834309717403382,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,17,13,,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,4,-13,-3.2699158958405254,0,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,7,3,-0.11723476155044565,0,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-1.041155320344064,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,10,2,-0.4083322546240318,0,1,1,0,0
2024,Jackson Berry,Southern Utah,3,8,5,0.0418383858576341,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,1,-0.5874795431016855,0,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,0,-0.557844891990525,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,4,0,-1.241462238077478,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,4,0,-0.7183212182304395,0,1,0,0,0
2024,Jackson Berry,Southern Utah,2,4,6,0.5512637693896468,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,5,9,1.1281939667229712,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,15,1.3117286283304017,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,6,7,1.759015460677578,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,6,0,-0.4462084910731787,0,1,0,0,0
2024,Jackson Berry,Southern Utah,3,6,6,0.6026617494368697,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,5,11,1.1069103366126516,1,1,1,0,0
2024,Jackson Berry,Southern Utah,2,5,0,-0.3896842151065183,0,1,0,0,0
2024,Jackson Berry,Southern Utah,1,10,5,0.06984181917010533,1,1,1,0,0
2024,Jackson Berry,Southern Utah,3,3,10,1.009186718775803,1,1,1,0,0
2024,Jackson Berry,Southern Utah,1,10,3,-0.3299594446081446,0,1,1,0,0
2024,Jackson Berry,Southern Utah,2,7,20,1.554810858742686,1,1,1,0,0
