season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Jake Stearney,Colgate,1,10,7,0.6333251560123241,1,1,1,0,0
2023,Jake Stearney,Colgate,1,10,10,0.1418852727009745,1,1,1,0,0
2023,Jake Stearney,Colgate,1,10,12,1.093747356833746,1,1,1,0,0
2023,Jake Stearney,Colgate,1,3,0,-0.746972881228756,0,1,0,0,0
2023,Jake Stearney,Colgate,2,8,6,0.2935133147661074,1,1,1,0,0
2023,Jake Stearney,Colgate,2,9,13,0.8455108883917939,1,1,1,0,0
2023,Jake Stearney,Colgate,2,7,0,-0.48195105428222096,0,1,0,0,0
2023,Jake Stearney,Colgate,3,7,6,0.11483960392398718,1,1,1,0,0
2023,Jake Stearney,Colgate,1,10,5,0.0836657996975912,1,1,1,0,0
2023,Jake Stearney,Colgate,3,5,0,-0.28240901081580017,0,1,0,0,0
2023,Jake Stearney,Colgate,2,11,3,-0.0482213698494167,0,1,1,0,0
2023,Jake Stearney,Colgate,3,8,1,-0.07330856937872544,0,1,1,0,0
2023,Jake Stearney,Colgate,1,10,0,-0.36548578366266504,0,1,0,0,0
2023,Jake Stearney,Colgate,2,7,6,0.3719221767268693,1,1,1,0,0
2023,Jake Stearney,Colgate,1,10,3,-0.2585563392598456,0,1,1,0,0
2023,Jake Stearney,Colgate,3,7,10,1.5834551987446626,1,1,1,0,0
2023,Jake Stearney,Colgate,2,16,5,0.044405421055556,1,1,1,0,0
2023,Jake Stearney,Colgate,3,11,6,0.2150993745155905,1,1,1,0,0
2023,Jake Stearney,Colgate,4,5,15,1.732000850547811,1,1,1,0,0
2023,Jake Stearney,Colgate,2,6,6,2.528666992781938,1,1,1,0,1
2023,Jake Stearney,Colgate,2,10,0,-0.34710487712173865,0,1,0,0,0
2023,Jake Stearney,Colgate,3,6,0,-0.877204714623737,0,1,0,0,0
2023,Jake Stearney,Colgate,4,6,28,4.458428770652649,1,1,1,0,1
2023,Jake Stearney,Colgate,3,5,6,2.028825196266523,1,1,1,0,0
2023,Jake Stearney,Colgate,2,9,43,2.965140903367639,1,1,1,0,0
2023,Jake Stearney,Colgate,3,8,7,0.4816288902338596,1,1,1,0,0
2023,Jake Stearney,Colgate,3,5,9,1.2480876523946431,1,1,1,0,0
2023,Jake Stearney,Colgate,1,10,0,-0.4710467974920665,0,1,1,0,0
2023,Jake Stearney,Colgate,2,15,4,-0.126581855617351,0,1,1,0,0
2023,Jake Stearney,Colgate,3,11,11,1.430867274836304,1,1,1,0,0
2023,Jake Stearney,Colgate,1,10,5,0.0885892770886229,1,1,1,0,0
2023,Jake Stearney,Colgate,3,5,0,-1.0514080750440902,0,1,0,0,0
2023,Jake Stearney,Colgate,1,10,5,0.0891040604736997,1,1,1,0,0
2023,Jake Stearney,Colgate,2,8,5,0.0399826086966062,1,1,1,0,0
2023,Jake Stearney,Colgate,3,3,6,0.5379668171415366,1,1,1,0,0
2023,Jake Stearney,Colgate,1,10,4,-0.07437138834457713,0,1,1,0,0
2023,Jake Stearney,Colgate,2,6,12,1.1804973017550857,1,1,1,0,0
