season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Jake Willcox,Brown,2,10,2,-0.42727014475563685,0,1,1,0,0
2022,Jake Willcox,Brown,3,4,6,1.5619766096993484,1,1,1,0,0
2022,Jake Willcox,Brown,3,4,6,1.5619766096993484,1,1,1,0,0
2022,Jake Willcox,Brown,2,14,2,-0.11780597257035284,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,6,0.1832299019007113,1,1,1,0,0
2022,Jake Willcox,Brown,2,9,0,-0.5068450753670621,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,5,0.110039551743057,1,1,1,0,0
2022,Jake Willcox,Brown,2,5,4,-0.1662176201054615,0,1,1,0,0
2022,Jake Willcox,Brown,3,9,8,0.3338690618559177,1,1,1,0,0
2022,Jake Willcox,Brown,2,7,-2,-0.5153061679249635,0,1,1,0,0
2022,Jake Willcox,Brown,2,9,0,-0.40831395320271024,0,1,0,0,0
2022,Jake Willcox,Brown,3,8,9,2.5936099900352962,1,1,1,0,0
2022,Jake Willcox,Brown,3,10,12,2.650946154818566,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,4,-0.1142886249388964,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,8,1.037188716394402,1,1,1,0,0
2022,Jake Willcox,Brown,3,2,0,-0.9127398951290244,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,4,-0.0852102081894834,0,1,1,0,0
2022,Jake Willcox,Brown,3,5,25,3.309061018428979,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,14,0.63456791499412,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,0,-0.5824837756999947,0,1,0,0,0
2022,Jake Willcox,Brown,2,10,6,0.3157021172626013,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,6,0.1970405086538066,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,5,0.03079276333180126,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,3,-0.3678055339726107,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,20,1.7102815903018067,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,17,1.321183586142796,1,1,1,0,0
2022,Jake Willcox,Brown,3,7,0,-1.0529820372453802,0,1,0,0,0
2022,Jake Willcox,Brown,4,5,5,0.9978175201282253,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,17,1.516051907682006,1,1,1,0,0
2022,Jake Willcox,Brown,2,8,1,-0.40259546283400116,0,1,1,0,0
2022,Jake Willcox,Brown,3,7,3,-0.11723476155044565,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,8,1.0159674518504005,1,1,1,0,0
2022,Jake Willcox,Brown,2,7,33,2.506993514586325,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,0,-0.4346450377339437,0,1,0,0,0
2022,Jake Willcox,Brown,3,13,0,-0.9797148001678533,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,0,-0.7029700220436519,0,1,0,0,0
2022,Jake Willcox,Brown,2,10,5,0.04378266651122598,1,1,1,0,0
2022,Jake Willcox,Brown,2,6,15,0.6319960415050314,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,0,-0.2608138520764314,0,1,0,0,0
2022,Jake Willcox,Brown,3,10,4,-0.02061551162905318,0,1,1,0,0
2022,Jake Willcox,Brown,2,7,0,-0.7077961708131388,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,6,0.2888240217992033,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,2,-0.3623882030735057,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,-2,-1.5969758000886054,0,1,1,0,0
2022,Jake Willcox,Brown,2,8,9,1.1411549935635588,1,1,1,0,0
2022,Jake Willcox,Brown,3,15,12,0.626426349815874,1,1,1,0,0
2022,Jake Willcox,Brown,3,4,4,0.49829372175903,1,1,1,0,0
2022,Jake Willcox,Brown,4,3,0,-4.083653455497618,0,1,0,0,0
2022,Jake Willcox,Brown,2,11,22,1.563841460515492,1,1,1,0,0
2022,Jake Willcox,Brown,2,6,6,1.1245659745134267,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,7,0.3684640561633454,1,1,1,0,0
2022,Jake Willcox,Brown,2,9,2,-0.265889684711585,0,1,1,0,0
2022,Jake Willcox,Brown,2,14,0,-0.9144496330716282,0,1,0,0,0
2022,Jake Willcox,Brown,3,14,4,-0.1641520294766572,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,3,-0.3446420231971743,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,60,4.756900604143675,1,1,1,0,1
2022,Jake Willcox,Brown,2,12,4,-0.0923308724397396,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,0,-1.1301991718133413,0,1,0,0,0
2022,Jake Willcox,Brown,3,2,2,1.0546255636555957,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,8,0.4833825674180429,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,48,3.5891146429749434,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,29,2.9230287154615353,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,0,-1.1496266880203319,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,29,2.788301184598112,1,1,1,0,1
2022,Jake Willcox,Brown,3,12,0,-0.5595020517787095,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,12,1.0272443261435713,1,1,1,0,0
2022,Jake Willcox,Brown,3,2,0,-0.9737649945886115,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,6,0.4024109850387187,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,0,-0.4604691796083076,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,0,-0.8627910327708888,0,1,1,0,0
2022,Jake Willcox,Brown,1,10,0,-1.1143038065675126,0,1,0,0,0
2022,Jake Willcox,Brown,3,10,20,3.174634799162167,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,0,-0.2608138520764314,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,0,-0.5586693796725282,0,1,0,0,0
2022,Jake Willcox,Brown,2,5,0,-0.506571900095218,0,1,0,0,0
2022,Jake Willcox,Brown,3,2,2,0.281355197318367,1,1,1,0,0
2022,Jake Willcox,Brown,2,19,26,3.599870482137877,1,1,1,0,0
2022,Jake Willcox,Brown,2,10,3,-0.1601845789118066,0,1,1,0,0
2022,Jake Willcox,Brown,3,18,0,-0.9599705977207194,0,1,0,0,0
2022,Jake Willcox,Brown,1,10,0,-0.402662020534962,0,1,0,0,0
2022,Jake Willcox,Brown,3,19,13,0.19551461642986645,1,1,1,0,0
2022,Jake Willcox,Brown,4,2,0,-2.1026947744286097,0,1,0,0,0
2022,Jake Willcox,Brown,2,10,13,1.847141323805543,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,25,2.7000843622660575,1,1,1,0,1
2022,Jake Willcox,Brown,1,10,23,0.414986747545745,1,1,1,0,0
2022,Jake Willcox,Brown,2,7,15,1.4754350624046726,1,1,0,0,0
2022,Jake Willcox,Brown,1,10,3,-0.4041069346079117,0,1,1,0,0
2022,Jake Willcox,Brown,2,15,24,1.850121066215058,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,8,1.0284623848933538,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,1,-0.9290991816818684,0,1,1,0,0
2022,Jake Willcox,Brown,3,3,6,1.6130584337428395,1,1,1,0,0
2022,Jake Willcox,Brown,3,8,15,2.18364800432831,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,3,-0.1464938748677045,0,1,1,0,0
2022,Jake Willcox,Brown,2,7,14,0.442258173629417,1,1,1,0,0
2022,Jake Willcox,Brown,1,2,2,1.213235297672098,1,1,1,0,1
2022,Jake Willcox,Brown,1,10,3,-0.17692987996152973,0,1,1,0,0
2022,Jake Willcox,Brown,2,4,0,-0.362082681028621,0,1,1,0,0
2022,Jake Willcox,Brown,2,13,15,1.8371580103432716,1,1,1,0,0
2022,Jake Willcox,Brown,2,15,10,0.6855528552495276,1,1,1,0,0
2022,Jake Willcox,Brown,3,5,7,2.1030445289413358,1,1,1,0,0
2022,Jake Willcox,Brown,1,10,7,0.6333251560123241,1,1,1,0,0
2023,Jake Willcox,Brown,2,10,0,-0.4016550456030307,0,1,0,0,0
2023,Jake Willcox,Brown,1,3,0,-0.746972881228756,0,1,0,0,0
2023,Jake Willcox,Brown,3,3,0,-0.291784144723391,0,1,0,0,0
2023,Jake Willcox,Brown,1,10,-1,-0.990133578060151,0,1,1,0,0
2023,Jake Willcox,Brown,2,11,9,0.7186844632893212,1,1,1,0,0
2023,Jake Willcox,Brown,1,10,16,1.344018246633654,1,1,1,0,0
2023,Jake Willcox,Brown,1,10,11,0.5098075840080333,1,1,1,0,0
2023,Jake Willcox,Brown,3,6,12,1.065063998444971,1,1,1,0,0
2023,Jake Willcox,Brown,1,10,16,1.4187427699228943,1,1,1,0,0
2023,Jake Willcox,Brown,3,10,11,2.712954639661323,1,1,1,0,0
2023,Jake Willcox,Brown,1,10,15,0.378481281218303,1,1,0,0,0
2023,Jake Willcox,Brown,1,10,7,0.4067090181335251,1,1,1,0,0
2023,Jake Willcox,Brown,2,3,-5,-0.8998848291347121,0,1,1,0,0
