season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2018,Jalen Hurts,Oklahoma,2020,,,10,pass,0.7069196701049805,False,15.0
2019,Jalen Hurts,Oklahoma,2020,,,3,pass,-0.7340226173400879,False,17.0
2019,Jalen Hurts,Oklahoma,2020,,,13,pass,0.9423346519470215,False,34.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.40874218940734863,False,34.0
2019,Jalen Hurts,Oklahoma,2020,,,-4,pass,-1.1458969116210938,False,73.0
2019,Jalen Hurts,Oklahoma,2020,,,2,pass,1.7859244346618652,True,2.0
2019,Jalen Hurts,Oklahoma,2020,,,6,pass,0.6128931045532227,False,8.0
2019,Jalen Hurts,Oklahoma,2020,,,8,pass,0.6214308738708496,False,19.0
2019,Jalen Hurts,Oklahoma,2020,,,16,pass,1.2331974506378174,False,35.0
2019,Jalen Hurts,Oklahoma,2020,,,5,pass,0.15439701080322266,False,54.0
2019,Jalen Hurts,Oklahoma,2020,,,11,pass,1.908177137374878,False,65.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.7459637522697449,False,65.0
2019,Jalen Hurts,Oklahoma,2020,,,10,pass,0.9358795285224915,False,77.0
2019,Jalen Hurts,Oklahoma,2020,,,19,pass,2.5584640502929688,True,19.0
2019,Jalen Hurts,Oklahoma,2020,,,6,pass,0.22209668159484863,False,30.0
2019,Jalen Hurts,Oklahoma,2020,,,15,pass,1.3043880462646484,False,45.0
2019,Jalen Hurts,Oklahoma,2020,,,12,pass,2.009342670440674,False,64.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.798321008682251,False,64.0
2019,Jalen Hurts,Oklahoma,2020,,,15,pass,2.0524442195892334,False,84.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.6626307964324951,False,90.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.5296640396118164,False,4.0
2019,Jalen Hurts,Oklahoma,2020,,,9,pass,1.4216995239257812,False,53.0
2019,Jalen Hurts,Oklahoma,2020,,,2,pass,-0.5461375117301941,False,55.0
2019,Jalen Hurts,Oklahoma,2020,,,3,pass,2.4690465927124023,True,3.0
2019,Jalen Hurts,Oklahoma,2020,,,28,pass,5.8971381187438965,False,31.0
2019,Jalen Hurts,Oklahoma,2020,,,12,pass,1.1091563701629639,False,40.0
2019,Jalen Hurts,Oklahoma,2020,,,12,pass,1.384082317352295,False,52.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.7447603940963745,False,64.0
2019,Jalen Hurts,Oklahoma,2020,,,4,pass,0.6392626762390137,False,68.0
2019,Jalen Hurts,Oklahoma,2020,,,6,pass,0.10326308012008667,False,74.0
2019,Jalen Hurts,Oklahoma,2020,,,5,pass,2.7334423065185547,True,5.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-1.6323050260543823,False,33.0
2019,Jalen Hurts,Oklahoma,2020,,,10,pass,1.1782079935073853,False,48.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.5563268065452576,False,65.0
2019,Jalen Hurts,Oklahoma,2020,,,71,pass,-5.837813377380371,False,36.0
2019,Jalen Hurts,Oklahoma,2020,,,3,pass,0.8885238170623779,False,38.0
2019,Jalen Hurts,Oklahoma,2020,,,6,pass,0.46997690200805664,False,44.0
2019,Jalen Hurts,Oklahoma,2020,,,12,pass,0.9381171464920044,False,75.0
2019,Jalen Hurts,Oklahoma,2020,,,-16,pass,-5.745555400848389,False,57.0
2019,Jalen Hurts,Oklahoma,2020,,,22,pass,1.5960506200790405,False,82.0
2019,Jalen Hurts,Oklahoma,2020,,,-8,pass,-2.203505754470825,False,84.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.7174442410469055,False,88.0
2019,Jalen Hurts,Oklahoma,2020,,,-4,pass,-1.555851936340332,False,18.0
2019,Jalen Hurts,Oklahoma,2020,,,0,pass,-0.8753621578216553,False,18.0
2019,Jalen Hurts,Oklahoma,2020,,,5,pass,0.16611814498901367,False,23.0
2019,Jalen Hurts,Oklahoma,2020,,,17,pass,2.720669746398926,False,51.0
2019,Jalen Hurts,Oklahoma,2020,,,6,pass,-3.0028297901153564,False,72.0
2019,Jalen Hurts,Oklahoma,2020,,,6,pass,-0.01692354679107666,False,68.0
2019,Jalen Hurts,Oklahoma,2020,,,12,pass,-4.710538864135742,False,80.0
2019,Jalen Hurts,Oklahoma,2020,,,-4,pass,-1.873457908630371,False,44.0
