season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2018,James Morgan,Florida International,2020,,,7,pass,2.4574179649353027,True,7.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.6141304969787598,False,7.0
2018,James Morgan,Florida International,2020,,,25,pass,3.0486440658569336,False,76.0
2018,James Morgan,Florida International,2020,,,4,pass,-0.188606858253479,False,49.0
2018,James Morgan,Florida International,2020,,,7,pass,3.30426287651062,False,14.0
2018,James Morgan,Florida International,2020,,,15,pass,1.5057766437530518,False,29.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.8880932331085205,False,13.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.544730544090271,False,80.0
2018,James Morgan,Florida International,2020,,,6,pass,-0.0622025728225708,False,80.0
2018,James Morgan,Florida International,2020,,,-8,pass,-2.101849317550659,False,64.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.738135576248169,False,69.0
2018,James Morgan,Florida International,2020,,,3,pass,-0.9050554633140564,False,75.0
2018,James Morgan,Florida International,2020,,,10,pass,1.2568678855895996,False,66.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.6543493270874023,False,56.0
2018,James Morgan,Florida International,2020,,,6,pass,0.34862184524536133,False,25.0
2018,James Morgan,Florida International,2020,,,-1,pass,-1.2619435787200928,False,75.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.6902478933334351,False,61.0
2018,James Morgan,Florida International,2020,,,6,pass,-0.8183826208114624,False,57.0
2018,James Morgan,Florida International,2020,,,5,pass,2.9719629287719727,True,5.0
2018,James Morgan,Florida International,2020,,,44,pass,3.6408472061157227,False,54.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.4135098457336426,False,54.0
2018,James Morgan,Florida International,2020,,,0,pass,-1.599722146987915,False,11.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.7569799423217773,False,11.0
2018,James Morgan,Florida International,2020,,,35,pass,4.564750671386719,True,35.0
2018,James Morgan,Florida International,2020,,,4,pass,-0.13051986694335938,False,39.0
2018,James Morgan,Florida International,2020,,,0,pass,-0.48898744583129883,False,49.0
2018,James Morgan,Florida International,2020,,,29,pass,2.4912853240966797,False,78.0
