season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Jameson Wang,Cornell,2,12,8,0.3505252297147683,1,1,1,0,0
2022,Jameson Wang,Cornell,3,13,2,-0.0479534383268483,0,1,1,0,0
2022,Jameson Wang,Cornell,3,5,-2,-0.7170344751865816,0,1,1,0,0
2022,Jameson Wang,Cornell,2,2,0,-1.1300243096866742,0,1,0,0,0
2022,Jameson Wang,Cornell,3,22,7,0.01313600795513816,1,1,1,0,0
2022,Jameson Wang,Cornell,3,4,6,1.7480038273683904,1,1,1,0,0
2022,Jameson Wang,Cornell,1,5,0,-0.723688894769424,0,1,0,0,0
2022,Jameson Wang,Cornell,3,2,1,-0.6303878500219166,0,1,1,0,0
2022,Jameson Wang,Cornell,1,10,14,0.1783449488981325,1,1,0,0,0
2022,Jameson Wang,Cornell,1,10,4,-0.015606283624097,0,1,1,0,0
2022,Jameson Wang,Cornell,2,13,7,0.24716915780503435,1,1,1,0,0
2022,Jameson Wang,Cornell,3,6,4,-0.07644952187484225,0,1,1,0,0
2022,Jameson Wang,Cornell,1,10,14,1.2227390832564555,1,1,1,0,0
2022,Jameson Wang,Cornell,1,10,9,1.122673355463087,1,1,1,0,0
2022,Jameson Wang,Cornell,1,10,29,0.626611712682109,1,1,1,0,0
2022,Jameson Wang,Cornell,2,10,7,0.2521898511573468,1,1,1,0,0
2022,Jameson Wang,Cornell,2,10,11,0.5067083156154673,1,1,1,0,0
2022,Jameson Wang,Cornell,2,10,0,-0.2792458253567104,0,1,0,0,0
2022,Jameson Wang,Cornell,3,10,0,-0.435155339591331,0,1,0,0,0
2022,Jameson Wang,Cornell,2,6,5,0.0801976735266375,1,1,1,0,0
2022,Jameson Wang,Cornell,1,10,17,1.516051907682006,1,1,1,0,0
2022,Jameson Wang,Cornell,1,10,-1,-0.6653743866116795,0,1,1,0,0
2022,Jameson Wang,Cornell,2,13,-2,-1.0098610096468728,0,1,1,0,0
2022,Jameson Wang,Cornell,3,15,0,-0.9886659671416228,0,1,0,0,0
2022,Jameson Wang,Cornell,4,3,5,2.420062627517538,1,1,1,0,0
2022,Jameson Wang,Cornell,4,6,13,2.399527953560155,1,1,1,0,0
2022,Jameson Wang,Cornell,3,9,7,0.395777348222036,1,1,0,0,0
