season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Jayden Daniels,LSU,1,10,0,-0.7029700220436519,0,1,0,0,0
2022,Jayden Daniels,LSU,3,19,0,-0.04004971418097281,0,1,0,0,0
2022,Jayden Daniels,LSU,2,14,5,0.0357736497316523,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,-4,-1.1355760000537667,0,1,1,0,0
2022,Jayden Daniels,LSU,3,11,0,-0.06755540708436046,0,1,0,0,0
2022,Jayden Daniels,LSU,2,2,5,0.2074194647839393,1,1,1,0,0
2022,Jayden Daniels,LSU,2,11,16,1.1076874601330764,1,1,1,0,0
2022,Jayden Daniels,LSU,2,2,7,0.1528473642934109,1,1,1,0,0
2022,Jayden Daniels,LSU,2,22,10,,0,1,1,0,0
2022,Jayden Daniels,LSU,1,10,8,,0,1,1,0,0
2022,Jayden Daniels,LSU,3,10,3,-0.2692928820254644,0,1,1,0,0
2022,Jayden Daniels,LSU,2,10,0,-0.550474767221999,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,8,0.8218247388783606,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,13,1.2414699561563065,1,1,1,0,0
2022,Jayden Daniels,LSU,2,6,14,1.4388233951816287,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.350740748439042,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,4,-0.1488498506411844,0,1,1,0,0
2022,Jayden Daniels,LSU,4,2,7,2.487778860197781,1,1,1,0,0
2022,Jayden Daniels,LSU,3,5,5,1.8219596390136985,1,1,1,0,0
2022,Jayden Daniels,LSU,2,5,0,-1.1848014830685507,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,5,0.0913907244107932,1,1,1,0,0
2022,Jayden Daniels,LSU,2,1,0,-0.918991813044197,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,9,0.6477408231634345,1,1,1,0,0
2022,Jayden Daniels,LSU,2,10,22,6.885575078139045,1,1,1,0,1
2022,Jayden Daniels,LSU,1,10,0,-0.6135902757979226,0,1,0,0,0
2022,Jayden Daniels,LSU,3,6,6,1.5395264833603992,1,1,1,0,0
2022,Jayden Daniels,LSU,2,6,0,-0.6216897885891246,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,17,1.2914269132274656,1,1,1,0,0
2022,Jayden Daniels,LSU,1,2,2,5.738653348635003,1,1,1,0,1
2022,Jayden Daniels,LSU,2,3,7,1.315254528371797,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,10,0.4234160459831616,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,13,0.2195784633057376,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,7,,0,1,1,0,0
2022,Jayden Daniels,LSU,2,10,10,1.7511204413192274,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,3,-0.30809127134716,0,1,1,0,0
2022,Jayden Daniels,LSU,2,10,0,-0.6310378338259923,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,0,-1.041155320344064,0,1,0,0,0
2022,Jayden Daniels,LSU,4,2,12,2.021315107077472,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,19,1.637628436067729,1,1,1,0,0
2022,Jayden Daniels,LSU,1,15,14,1.1175172268551736,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,3,-0.4251117664036599,0,1,1,0,0
2022,Jayden Daniels,LSU,2,7,4,-0.1564031970073749,0,1,1,0,0
2022,Jayden Daniels,LSU,3,3,17,2.439925955505337,1,1,1,0,0
2022,Jayden Daniels,LSU,2,4,32,2.842890561806488,1,1,1,0,1
2022,Jayden Daniels,LSU,1,10,15,1.4161732815879784,1,1,1,0,0
2022,Jayden Daniels,LSU,2,5,4,-0.1596033773099295,0,1,1,0,0
2022,Jayden Daniels,LSU,2,10,0,-1.067301371027259,0,1,0,0,0
2022,Jayden Daniels,LSU,3,10,10,2.568996691298006,1,1,1,0,0
2022,Jayden Daniels,LSU,2,5,6,0.209546317949776,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.4346450377339437,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.997770018980635,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,5,0.07448863119052,1,1,1,0,0
2022,Jayden Daniels,LSU,2,10,3,-0.15166433563539,0,1,1,0,0
2022,Jayden Daniels,LSU,1,10,13,0.234340030138357,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.4346450377339437,0,1,0,0,0
2022,Jayden Daniels,LSU,2,10,21,1.6516312536095816,1,1,1,0,0
2022,Jayden Daniels,LSU,3,10,16,3.0954895138942637,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,8,1.037188716394402,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,5,0.1003706527461523,1,1,1,0,0
2022,Jayden Daniels,LSU,2,8,18,2.253745561726994,1,1,1,0,0
2022,Jayden Daniels,LSU,1,15,0,-1.0530820322115346,0,1,0,0,0
2022,Jayden Daniels,LSU,2,15,0,-0.8667631191407627,0,1,0,0,0
2022,Jayden Daniels,LSU,3,15,0,-0.5357196718773585,0,1,0,0,0
2022,Jayden Daniels,LSU,2,9,7,0.3001103835120853,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.534372502378378,0,1,1,0,0
2022,Jayden Daniels,LSU,2,5,0,-0.29624340681479744,0,1,0,0,0
2022,Jayden Daniels,LSU,2,9,2,-0.2535621228697824,0,1,1,0,0
2022,Jayden Daniels,LSU,2,7,10,0.7707701438458345,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,8,0.577261746429441,1,1,1,0,0
2022,Jayden Daniels,LSU,1,8,8,2.319599568699692,1,1,1,0,1
2022,Jayden Daniels,LSU,1,10,3,-0.4184086843592085,0,1,1,0,0
2022,Jayden Daniels,LSU,1,10,8,0.9104368550610653,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,14,0.764080184645695,1,1,1,0,0
2022,Jayden Daniels,LSU,2,7,32,3.1585304616088683,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.350740748439042,0,1,0,0,0
2022,Jayden Daniels,LSU,2,1,11,-0.297989133607688,0,1,1,0,0
2022,Jayden Daniels,LSU,2,10,0,-0.423613027815584,0,1,0,0,0
2022,Jayden Daniels,LSU,3,10,0,-0.6680123764368453,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,5,0.0945451165334843,1,1,1,0,0
2022,Jayden Daniels,LSU,2,5,15,1.7065967658714722,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-1.1618692012952412,0,1,0,0,0
2022,Jayden Daniels,LSU,3,16,11,0.6867599139847052,1,1,1,0,0
2022,Jayden Daniels,LSU,4,5,0,-0.6944958481924655,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,12,1.0184158039048512,1,1,1,0,0
2022,Jayden Daniels,LSU,3,12,3,-0.2937363419636272,0,1,1,0,0
2022,Jayden Daniels,LSU,2,12,0,-0.992636571533903,0,1,0,0,0
2022,Jayden Daniels,LSU,2,6,0,-0.4060245273248624,0,1,0,0,0
2022,Jayden Daniels,LSU,3,6,10,1.3172339013320116,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.8305196050291288,0,1,0,0,0
2022,Jayden Daniels,LSU,3,1,10,1.8042487167954813,1,1,1,0,0
2022,Jayden Daniels,LSU,3,3,4,1.3343548242857892,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.8772679222659558,0,1,0,0,0
2022,Jayden Daniels,LSU,4,3,27,2.449344216856854,1,1,1,0,0
2022,Jayden Daniels,LSU,2,10,0,-1.0411051963664768,0,1,0,0,0
2022,Jayden Daniels,LSU,3,10,7,0.5127938973448866,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-1.1387859939569847,0,1,0,0,0
2022,Jayden Daniels,LSU,2,7,9,1.419782607642139,1,1,1,0,0
2022,Jayden Daniels,LSU,2,5,10,0.21257608569654,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,8,0.451122635393853,1,1,1,0,0
2022,Jayden Daniels,LSU,2,12,6,0.120500053472021,1,1,1,0,0
2022,Jayden Daniels,LSU,3,6,0,-0.4632482499979864,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,51,3.6842353889615396,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,9,0.73596654934212,1,1,1,0,0
2022,Jayden Daniels,LSU,2,10,6,0.146328969893727,1,1,1,0,0
2022,Jayden Daniels,LSU,1,19,10,0.317199451050285,1,1,1,0,0
2022,Jayden Daniels,LSU,3,32,11,1.0464809604134802,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.4181180581276075,0,1,0,0,0
2022,Jayden Daniels,LSU,3,3,21,2.684483035409853,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,6,0.3608772046980507,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,4,-0.05451762657628478,0,1,1,0,0
2022,Jayden Daniels,LSU,2,6,5,0.09663727469564,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,8,0.838762649996877,1,1,1,0,0
2022,Jayden Daniels,LSU,3,4,16,1.870721464025106,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,0,-0.512081873784803,0,1,0,0,0
2022,Jayden Daniels,LSU,3,7,19,1.4440158470314994,1,1,1,0,0
2022,Jayden Daniels,LSU,2,6,12,0.930144905894549,1,1,1,0,0
2022,Jayden Daniels,LSU,3,6,0,-1.0585109938611392,0,1,0,0,0
2022,Jayden Daniels,LSU,4,6,0,-1.6764494417685825,0,1,0,0,0
2022,Jayden Daniels,LSU,1,10,5,0.0963261532824955,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,17,1.321183586142796,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,7,0.5253025865520424,1,1,1,0,0
2022,Jayden Daniels,LSU,2,3,6,0.4316985399119116,1,1,1,0,0
2022,Jayden Daniels,LSU,1,10,16,1.5056894652482098,1,1,1,0,0
2022,Jayden Daniels,LSU,2,7,4,-0.160190256168265,0,1,1,0,0
