season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Jaylen Raynor,Arkansas State,2,11,0,-0.5821953428262194,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,11,31,3.9699273450662353,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,17,0.3343520522096136,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,0,-4.4312772787076256,0,1,0,1,0
2023,Jaylen Raynor,Arkansas State,1,10,42,3.294935471572124,1,1,1,0,1
2023,Jaylen Raynor,Arkansas State,2,5,16,0.613356596871601,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,3,4,3,-0.151740926171685,0,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,9,1.3816838899351875,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,2,1,0,-1.435971808205819,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,1,10,20,1.027168799198602,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,0,-0.320977659489319,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,5,0,-0.3700472119473802,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,10,0,-0.24944723578013583,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,2,10,0,-0.5135431143257803,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,1,10,0,-0.9262377870973815,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,2,7,9,1.1033567960773496,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,16,0.6488678833715903,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,0,-1.1387859939569847,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,2,10,6,0.2959747330734342,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,3,4,9,2.0889412531719564,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,2,4,0,-0.8681070846083454,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,4,0,-0.43770162015070735,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,7,0,-0.11599177849532882,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,3,0,-0.18732717906871255,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,1,10,15,1.143340784913768,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,5,0.1088137823196469,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,32,2.4751692786436914,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,0,-0.5824837756999947,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,2,10,7,0.3353623471487488,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,3,7,13,3.0144941269343573,1,1,1,0,1
2023,Jaylen Raynor,Arkansas State,1,10,13,0.2195784633057376,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,0,-0.3301132067544156,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,7,8,2.9026099141960415,1,1,1,0,1
2023,Jaylen Raynor,Arkansas State,2,10,42,3.8072699752086105,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,15,0.4889647816712835,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,2,7,0,-0.2859591845252985,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,3,7,1.8683058419402536,1,1,1,0,0
2023,Jaylen Raynor,Arkansas State,1,10,33,2.903074773501988,1,1,1,0,1
2023,Jaylen Raynor,Arkansas State,3,5,5,2.76159962916859,1,1,1,0,1
2023,Jaylen Raynor,Arkansas State,3,3,0,-0.5651724148556312,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,2,7,0,-0.9044624269614464,0,1,0,0,0
2023,Jaylen Raynor,Arkansas State,3,7,0,-1.0456665971037056,0,1,0,0,0
