season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2015,Jeff Driskel,Louisiana Tech,2016,,,17,pass,1.0736649036,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.6645833254,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,11,pass,1.3861819506,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.6691281796,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.9558583498,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,13,pass,2.5397057533,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,18,pass,1.0683619976,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,0.0809161663,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.9304045439,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,19,pass,2.4922223091,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,0.584959507,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,15,pass,0.8984253407,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,2,pass,-0.5038733482,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.9079693556,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,31,pass,1.6624441147,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,1,pass,-0.6218726635,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,25,pass,2.6111822128,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,-1,pass,-0.7485947609,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.7383451462,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,-5,pass,-1.2196755409,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,0.4785059094,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.6015349627,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,11,pass,1.0888543129,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,-4,pass,-1.4953246117,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,11,pass,0.1516385078,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,16,pass,1.442591548,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,13,pass,1.099027276,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,0.4450068474,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.6770358086,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.462623477,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.5819387436,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.2966761589,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,10,pass,1.5007805824,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.5780833364,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.7818319798,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,17,pass,2.569111824,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.8968418241,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,73,pass,-6.966542244,True,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.5878151655,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.6956037879,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,7,pass,-0.1179460287,False,
2015,Jeff Driskel,Louisiana Tech,2016,,,3,pass,0.3779869079589844,False,9.0
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,4.451152801513672,True,6.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,0.08180975914001465,False,25.0
2015,Jeff Driskel,Louisiana Tech,2016,,,8,pass,0.23183655738830566,False,25.0
2015,Jeff Driskel,Louisiana Tech,2016,,,-5,pass,0.058588504791259766,False,15.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,0.023042917251586914,False,25.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,0.19254982471466064,False,25.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.6083369255065918,False,25.0
2015,Jeff Driskel,Louisiana Tech,2016,,,-3,pass,-0.2910737693309784,False,88.0
2015,Jeff Driskel,Louisiana Tech,2016,,,22,pass,1.2535767555236816,False,91.0
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,0.057216763496398926,False,69.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.785168468952179,False,63.0
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,1.5567076206207275,False,63.0
2015,Jeff Driskel,Louisiana Tech,2016,,,17,pass,1.0040152072906494,False,54.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.27391695976257324,False,37.0
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,0.8053734302520752,False,37.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.41442257165908813,False,80.0
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,-0.17617107927799225,False,80.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.1870269775390625,False,74.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.611576497554779,False,75.0
2015,Jeff Driskel,Louisiana Tech,2016,,,5,pass,-4.796290397644043,False,75.0
2015,Jeff Driskel,Louisiana Tech,2016,,,8,pass,-0.0031986236572265625,False,86.0
2015,Jeff Driskel,Louisiana Tech,2016,,,5,pass,-0.2935812473297119,False,73.0
2015,Jeff Driskel,Louisiana Tech,2016,,,17,pass,1.0675606727600098,False,25.0
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,0.008846044540405273,False,59.0
2015,Jeff Driskel,Louisiana Tech,2016,,,7,pass,0.44928932189941406,False,36.0
2015,Jeff Driskel,Louisiana Tech,2016,,,-5,pass,-1.306410789489746,False,23.0
2015,Jeff Driskel,Louisiana Tech,2016,,,-8,pass,-1.4756513833999634,False,33.0
2015,Jeff Driskel,Louisiana Tech,2016,,,19,pass,0.9460219144821167,False,41.0
2015,Jeff Driskel,Louisiana Tech,2016,,,3,pass,-0.34939396381378174,False,90.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.4786920547485352,False,87.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.7601649761199951,False,8.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.1528663635253906,False,8.0
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,-0.6741682887077332,False,67.0
2015,Jeff Driskel,Louisiana Tech,2016,,,25,pass,1.2520513534545898,False,55.0
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,0.8187828063964844,False,24.0
2015,Jeff Driskel,Louisiana Tech,2016,,,7,pass,0.558873176574707,False,15.0
2015,Jeff Driskel,Louisiana Tech,2016,,,12,pass,1.63206148147583,False,47.0
2015,Jeff Driskel,Louisiana Tech,2016,,,19,pass,1.6676068305969238,False,23.0
2015,Jeff Driskel,Louisiana Tech,2016,,,20,pass,1.1542145013809204,False,65.0
2015,Jeff Driskel,Louisiana Tech,2016,,,-4,pass,-1.2775065898895264,False,45.0
2015,Jeff Driskel,Louisiana Tech,2016,,,2,pass,-0.8140316605567932,False,49.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.2688074111938477,False,47.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.8846080303192139,False,64.0
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,0.7744570374488831,False,82.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.805400550365448,False,72.0
2015,Jeff Driskel,Louisiana Tech,2016,,,8,pass,0.7243544459342957,False,72.0
2015,Jeff Driskel,Louisiana Tech,2016,,,10,pass,0.8989219665527344,False,59.0
2015,Jeff Driskel,Louisiana Tech,2016,,,33,pass,2.5398333072662354,False,47.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.872473955154419,False,11.0
2015,Jeff Driskel,Louisiana Tech,2016,,,-5,pass,-1.35792875289917,False,11.0
2015,Jeff Driskel,Louisiana Tech,2016,,,37,pass,3.351541519165039,False,45.0
2015,Jeff Driskel,Louisiana Tech,2016,,,58,pass,4.766171455383301,True,100.0
2015,Jeff Driskel,Louisiana Tech,2016,,,10,pass,0.12780046463012695,False,68.0
2015,Jeff Driskel,Louisiana Tech,2016,,,27,pass,4.345256805419922,True,100.0
2015,Jeff Driskel,Louisiana Tech,2016,,,4,pass,-0.20389723777770996,False,76.0
2015,Jeff Driskel,Louisiana Tech,2016,,,22,pass,4.977582931518555,True,100.0
2015,Jeff Driskel,Louisiana Tech,2016,,,21,pass,0.8557162284851074,False,46.0
2015,Jeff Driskel,Louisiana Tech,2016,,,17,pass,0.7035825252532959,False,70.0
2015,Jeff Driskel,Louisiana Tech,2016,,,5,pass,0.0687417984008789,False,23.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.8474159240722656,False,18.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-1.5447266101837158,False,18.0
2015,Jeff Driskel,Louisiana Tech,2016,,,55,pass,4.255056381225586,True,55.0
2015,Jeff Driskel,Louisiana Tech,2016,,,10,pass,-0.5214343667030334,False,89.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.7070082426071167,False,79.0
2015,Jeff Driskel,Louisiana Tech,2016,,,8,pass,0.6864521503448486,False,62.0
2015,Jeff Driskel,Louisiana Tech,2016,,,21,pass,3.266655445098877,True,21.0
2015,Jeff Driskel,Louisiana Tech,2016,,,27,pass,1.2953749895095825,False,65.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.25762009620666504,False,38.0
2015,Jeff Driskel,Louisiana Tech,2016,,,17,pass,1.861236810684204,False,38.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.7137971520423889,False,49.0
2015,Jeff Driskel,Louisiana Tech,2016,,,24,pass,3.221238851547241,False,49.0
2015,Jeff Driskel,Louisiana Tech,2016,,,19,pass,1.521841049194336,False,25.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.762742280960083,False,10.0
2015,Jeff Driskel,Louisiana Tech,2016,,,9,pass,1.2379100322723389,False,10.0
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,-0.03298187255859375,False,18.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.5904359817504883,False,12.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.8443968296051025,False,12.0
2015,Jeff Driskel,Louisiana Tech,2016,,,4,pass,-1.0167641639709473,False,12.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-3.3920140266418457,False,8.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.6954145431518555,False,32.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-3.396278142929077,False,34.0
2015,Jeff Driskel,Louisiana Tech,2016,,,15,pass,1.1082227230072021,False,67.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.5951464176177979,False,59.0
2015,Jeff Driskel,Louisiana Tech,2016,,,2,pass,-0.9652317762374878,False,52.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-2.370738983154297,False,70.0
2015,Jeff Driskel,Louisiana Tech,2016,,,0,pass,-0.6166427135467529,False,39.0
2015,Jeff Driskel,Louisiana Tech,2016,,,6,pass,0.13382601737976074,False,63.0
