season,player_name,college,draft_year,down,distance,yards_gained,play_type,epa,scoring,yards_to_goal
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-2.934471607208252,False,35.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,13,pass,0.8336796760559082,False,48.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.9760061502456665,False,48.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.7987387180328369,False,48.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,20,pass,2.3084964752197266,False,74.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.7310068607330322,False,74.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,5,pass,0.10033202171325684,False,28.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,31,pass,3.4512977600097656,False,60.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.5745757222175598,False,60.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,17,pass,2.6984188556671143,False,77.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-1.167259693145752,False,58.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.72798752784729,False,60.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.7445926666259766,False,76.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,6,pass,0.13438156247138977,False,82.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,-3,pass,-0.9428068399429321,False,79.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,72,pass,6.1258063316345215,True,72.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,5,pass,-0.6643142104148865,False,38.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-1.111906886100769,False,38.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.7095502614974976,False,38.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.7997690439224243,False,46.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,8,pass,0.7875933647155762,False,35.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,18,pass,1.9039332866668701,False,53.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,6,pass,1.0161219835281372,False,59.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,5,pass,0.09023946523666382,False,67.0
2011,Jimmy Garoppolo,Eastern Illinois,2014,,,6,pass,0.675171971321106,False,71.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-1.7292653322219849,False,78.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,8,pass,-0.14899349212646484,False,84.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,5,pass,-0.051831722259521484,False,73.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,9,pass,0.9256552457809448,False,92.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.7158584594726562,False,67.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.6381822228431702,False,60.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,-1,pass,-0.608928918838501,False,75.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.5370807647705078,False,75.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.6701313257217407,False,75.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-1.3978698253631592,False,75.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,40,pass,2.968853712081909,False,80.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.909072995185852,False,39.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,-1,pass,-1.7915258407592773,False,39.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,14,pass,1.5715484619140625,False,69.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,16,pass,1.0639963150024414,False,55.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-0.9769597053527832,False,36.0
2012,Jimmy Garoppolo,Eastern Illinois,2014,,,0,pass,-1.7863786220550537,False,36.0
