season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,John Mateer,Washington State,1,10,5,0.084800241468987,1,1,1,0,0
2023,John Mateer,Washington State,1,10,15,1.366667805112316,1,1,1,0,0
2023,John Mateer,Washington State,2,4,21,1.3430393402180476,1,1,1,0,0
2023,John Mateer,Washington State,1,10,17,0.492815788283091,1,1,1,0,0
2023,John Mateer,Washington State,1,10,7,0.31818120328422,1,1,1,0,0
2023,John Mateer,Washington State,2,3,15,2.32944156336424,1,1,1,0,1
2023,John Mateer,Washington State,1,10,62,4.953003640679491,1,1,1,0,1
2023,John Mateer,Washington State,2,14,0,-0.9144496330716282,0,1,0,0,0
2023,John Mateer,Washington State,3,6,12,2.021709653350106,1,1,1,0,0
2023,John Mateer,Washington State,3,9,7,0.135952730356709,1,1,1,0,0
2023,John Mateer,Washington State,3,8,0,-1.0393537023076664,0,1,0,0,0
2023,John Mateer,Washington State,4,8,7,-1.3463994894626996,0,1,1,0,0
2023,John Mateer,Washington State,3,9,0,-0.18876768235831598,0,1,0,0,0
2023,John Mateer,Washington State,1,10,48,2.9013829866101606,1,1,1,0,0
2024,John Mateer,Washington State,2,13,0,-0.30656145285021275,0,1,0,0,0
2024,John Mateer,Washington State,3,13,0,-0.14122565553607824,0,1,0,0,0
2024,John Mateer,Washington State,1,10,16,1.4187427699228943,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-1.1387859939569847,0,1,0,0,0
2024,John Mateer,Washington State,2,10,0,-0.7894428348388577,0,1,0,0,0
2024,John Mateer,Washington State,1,10,0,-0.557844891990525,0,1,0,0,0
2024,John Mateer,Washington State,2,10,30,3.372088024913296,1,1,1,0,1
2024,John Mateer,Washington State,1,10,5,0.1079044232439195,1,1,1,0,0
2024,John Mateer,Washington State,1,10,39,3.140438554931551,1,1,1,0,1
2024,John Mateer,Washington State,1,10,58,4.5617032120393155,1,1,1,0,1
2024,John Mateer,Washington State,2,8,0,-0.4788075161366292,0,1,0,0,0
2024,John Mateer,Washington State,3,8,19,2.8242687774947806,1,1,1,0,0
2024,John Mateer,Washington State,3,2,8,1.8014255535031136,1,1,1,0,0
2024,John Mateer,Washington State,1,10,52,4.008054288710431,1,1,1,0,1
2024,John Mateer,Washington State,1,10,7,0.5447460725225992,1,1,1,0,0
2024,John Mateer,Washington State,1,10,59,3.1710471055364184,1,1,1,0,0
2024,John Mateer,Washington State,2,5,59,5.037655109782486,1,1,1,0,1
2024,John Mateer,Washington State,1,10,0,-0.7519361608312708,0,1,0,0,0
2024,John Mateer,Washington State,2,10,0,-3.196655207691986,0,1,0,1,0
2024,John Mateer,Washington State,2,10,0,-1.0264463089218037,0,1,0,0,0
2024,John Mateer,Washington State,1,10,4,-0.0217352641607655,0,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,John Mateer,Washington State,2,10,9,0.6799361600947043,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-1.1247712359915258,0,1,0,0,0
2024,John Mateer,Washington State,3,12,0,-0.5900177248086829,0,1,0,0,0
2024,John Mateer,Washington State,2,12,0,-0.928588717884904,0,1,0,0,0
2024,John Mateer,Washington State,3,11,10,0.37208353956113793,1,1,1,0,0
2024,John Mateer,Washington State,2,2,6,-0.063370116666706,0,1,1,0,0
2024,John Mateer,Washington State,2,8,2,-0.4041080237526343,0,1,1,0,0
2024,John Mateer,Washington State,3,6,0,-0.9058235753693397,0,1,0,0,0
2024,John Mateer,Washington State,1,10,21,2.632296813795493,1,1,1,0,1
2024,John Mateer,Washington State,1,10,9,1.339431621541097,1,1,1,0,0
2024,John Mateer,Washington State,1,2,0,-0.854701227650125,0,1,0,0,0
2024,John Mateer,Washington State,1,10,39,1.3932726618570135,1,1,1,0,0
2024,John Mateer,Washington State,2,9,15,0.7798137729785335,1,1,1,0,0
2024,John Mateer,Washington State,2,10,0,-0.2608138520764314,0,1,0,0,0
2024,John Mateer,Washington State,3,8,7,0.209943637748362,1,1,1,0,0
2024,John Mateer,Washington State,1,10,19,1.7075723383420156,1,1,1,0,0
2024,John Mateer,Washington State,2,13,21,3.039850617788036,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.7828922522763084,0,1,0,0,0
2024,John Mateer,Washington State,3,4,15,1.044168146629406,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.340019558909725,0,1,0,0,0
2024,John Mateer,Washington State,1,10,3,-0.165753158468877,0,1,1,0,0
2024,John Mateer,Washington State,2,7,0,-0.60040272366439,0,1,0,0,0
2024,John Mateer,Washington State,3,7,0,-0.838327281363819,0,1,0,0,0
2024,John Mateer,Washington State,2,8,7,0.4766945873350715,1,1,1,0,0
2024,John Mateer,Washington State,1,10,15,1.3117286283304017,1,1,1,0,0
2024,John Mateer,Washington State,1,10,8,0.7522360030063563,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.7519361608312708,0,1,0,0,0
2024,John Mateer,Washington State,3,11,0,-0.9825520415354526,0,1,0,0,0
2024,John Mateer,Washington State,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,John Mateer,Washington State,2,10,0,-0.9850636246407553,0,1,0,0,0
2024,John Mateer,Washington State,3,10,16,3.1254000668195605,1,1,1,0,0
2024,John Mateer,Washington State,2,10,9,0.412055142504236,1,1,1,0,0
2024,John Mateer,Washington State,1,8,0,-0.357171386033373,0,1,0,0,0
2024,John Mateer,Washington State,2,8,0,-0.26931522945819,0,1,0,0,0
2024,John Mateer,Washington State,3,8,0,-0.354205173792517,0,1,0,0,0
2024,John Mateer,Washington State,1,10,24,1.3931292868837293,1,1,1,0,0
2024,John Mateer,Washington State,1,10,38,2.6407554845430368,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.320977659489319,0,1,0,0,0
2024,John Mateer,Washington State,1,10,0,-0.9864556271674072,0,1,0,0,0
2024,John Mateer,Washington State,1,10,11,0.8735877044597827,1,1,1,0,0
2024,John Mateer,Washington State,1,10,11,0.1725581200991116,1,1,1,0,0
2024,John Mateer,Washington State,1,10,16,2.5687227212923744,1,1,1,0,1
2024,John Mateer,Washington State,2,4,0,-0.8037642992816051,0,1,0,0,0
2024,John Mateer,Washington State,3,4,4,1.2694378106931072,1,1,1,0,0
2024,John Mateer,Washington State,2,4,21,-2.73992281410394,0,1,0,1,0
2024,John Mateer,Washington State,2,10,21,1.6848598634788345,1,1,1,0,0
2024,John Mateer,Washington State,2,10,0,-0.5416125590698764,0,1,0,0,0
2024,John Mateer,Washington State,3,10,0,-0.266063102819043,0,1,0,0,0
2024,John Mateer,Washington State,1,10,4,-0.1089877410850981,0,1,1,0,0
2024,John Mateer,Washington State,2,16,18,3.1214814348210416,1,1,1,0,0
2024,John Mateer,Washington State,2,11,0,-1.022576010084629,0,1,0,0,0
2024,John Mateer,Washington State,3,11,13,2.947687862119425,1,1,1,0,0
2024,John Mateer,Washington State,3,13,17,3.2619400404165155,1,1,1,0,0
2024,John Mateer,Washington State,2,13,0,-0.4414369064806207,0,1,0,0,0
2024,John Mateer,Washington State,1,10,16,1.2800239962394055,1,1,1,0,0
2024,John Mateer,Washington State,2,12,28,2.329301969646554,1,1,1,0,0
2024,John Mateer,Washington State,2,3,0,-1.104454710292913,0,1,0,0,0
2024,John Mateer,Washington State,1,10,0,-0.7828922522763084,0,1,0,0,0
2024,John Mateer,Washington State,2,8,25,2.345547641638235,1,1,1,0,0
2024,John Mateer,Washington State,2,11,0,-0.7387696165320605,0,1,0,0,0
2024,John Mateer,Washington State,3,11,15,3.244037320199503,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.9690270974076257,0,1,0,0,0
2024,John Mateer,Washington State,2,10,27,1.802006352133233,1,1,1,0,0
2024,John Mateer,Washington State,2,11,0,-0.754891520188597,0,1,0,0,0
2024,John Mateer,Washington State,3,11,0,-0.9847343182051258,0,1,0,0,0
2024,John Mateer,Washington State,2,4,1,-0.7225289421677195,0,1,1,0,0
2024,John Mateer,Washington State,1,10,8,0.9420759997342945,1,1,1,0,0
2024,John Mateer,Washington State,2,2,0,-1.267471633082744,0,1,0,0,0
2024,John Mateer,Washington State,3,22,8,0.6697144527846426,1,1,1,0,0
2024,John Mateer,Washington State,1,10,9,0.9071042242020542,1,1,1,0,0
2024,John Mateer,Washington State,2,1,19,-0.112933225836283,0,1,1,0,0
2024,John Mateer,Washington State,3,8,22,3.4076310388060858,1,1,1,0,0
2024,John Mateer,Washington State,2,8,0,-0.8054878366661029,0,1,0,0,0
2024,John Mateer,Washington State,1,15,11,1.1730078571675813,1,1,1,0,0
2024,John Mateer,Washington State,2,4,9,0.2237598889943195,1,1,1,0,0
2024,John Mateer,Washington State,2,17,55,-2.856192553326707,0,1,0,1,0
2024,John Mateer,Washington State,2,11,0,-0.5237785211235622,0,1,0,0,0
2024,John Mateer,Washington State,3,11,0,-0.2579129276180723,0,1,0,0,0
2024,John Mateer,Washington State,1,10,4,-0.0405526131909575,0,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.5327945515514214,0,1,0,0,0
2024,John Mateer,Washington State,2,10,0,-0.24649544676527402,0,1,0,0,0
2024,John Mateer,Washington State,3,10,0,-0.10907493765085707,0,1,0,0,0
2024,John Mateer,Washington State,1,10,9,1.3816838899351875,1,1,1,0,0
2024,John Mateer,Washington State,2,1,3,-0.2425455708702876,0,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-1.1430602484821704,0,1,0,0,0
2024,John Mateer,Washington State,1,10,31,1.9334981504685194,1,1,1,0,0
2024,John Mateer,Washington State,3,4,0,-0.6558532445830183,0,1,0,0,0
2024,John Mateer,Washington State,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,John Mateer,Washington State,2,10,32,3.428355053834119,1,1,1,0,0
2024,John Mateer,Washington State,2,8,0,-4.056439283356447,0,1,0,1,0
2024,John Mateer,Washington State,2,11,14,2.907923713571485,1,1,1,0,1
2024,John Mateer,Washington State,1,10,12,1.1524434318247838,1,1,1,0,0
2024,John Mateer,Washington State,2,8,5,0.0807062641433164,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.766047035673644,0,1,0,0,0
2024,John Mateer,Washington State,2,10,1,-0.32795590997922197,0,1,1,0,0
2024,John Mateer,Washington State,2,11,9,0.581901896190101,1,1,1,0,0
2024,John Mateer,Washington State,1,10,12,1.1391383190649,1,1,1,0,0
2024,John Mateer,Washington State,1,10,0,-0.4710467974920665,0,1,0,0,0
2024,John Mateer,Washington State,2,10,7,0.2762950387432035,1,1,1,0,0
2024,John Mateer,Washington State,3,8,6,0.1827424773165125,1,1,1,0,0
2024,John Mateer,Washington State,1,10,13,1.2346627219809039,1,1,1,0,0
2024,John Mateer,Washington State,1,15,11,1.572532812983015,1,1,1,0,0
