season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Johnathan Bennett,The Citadel,2,6,22,1.856710214351608,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,11,1.0518931742020232,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,9,5,0.0573645229265942,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,6,18,1.6578920130749533,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,6,0,-0.7420754069054923,0,1,0,0,0
2024,Johnathan Bennett,The Citadel,1,10,9,0.641938297485138,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,-62,,0,1,0,0,0
2024,Johnathan Bennett,The Citadel,2,7,29,2.954546024449529,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,39,2.1246037903481825,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,19,5,0.0465729382788993,1,1,0,0,0
2024,Johnathan Bennett,The Citadel,3,14,24,3.199641903937879,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,7,5,0.0899871108616336,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,8,0.9979151532889787,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,13,15,3.217856965405079,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,8,3,-0.15848083928310341,0,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,5,19,2.536744056582406,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,7,4,-0.0668009051432641,0,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,21,1.8928575820361135,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,6,10,2.8932232833469325,1,1,1,0,1
2024,Johnathan Bennett,The Citadel,1,5,51,2.1243184816716774,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,9,2,-0.11054581501037664,0,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,18,11,0.0790453838101959,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,4,7,9,1.3638537697275712,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,15,9,0.6822889547106481,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,6,8,1.202543678148462,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,7,0.7076562230979297,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,7,0,-0.5911254181598018,0,1,0,0,0
2024,Johnathan Bennett,The Citadel,1,5,0,-0.603648043952143,0,1,0,0,0
2024,Johnathan Bennett,The Citadel,2,5,13,0.324693768416731,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,6,2,-0.33440584197175577,0,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,4,5,1.2016047582630307,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,19,0.3325902105431154,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,10,9,0.8805291040078079,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,2,10,22,2.5354076651096182,1,1,1,0,0
2024,Johnathan Bennett,The Citadel,1,10,15,0.311282064431397,1,1,0,0,0
2024,Johnathan Bennett,The Citadel,2,7,15,2.703195238687394,1,1,1,0,1
2024,Johnathan Bennett,The Citadel,1,10,0,-0.814236079442537,0,1,0,0,0
2024,Johnathan Bennett,The Citadel,1,10,4,-0.043244644569821,0,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,3,2,-0.16119157507711,0,1,1,0,0
2024,Johnathan Bennett,The Citadel,3,8,0,-0.21095545592457476,0,1,0,0,0
