season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Josh Hoover,TCU,2,5,2,-0.698710269438271,0,1,1,0,0
2023,Josh Hoover,TCU,1,10,16,0.8147144106909946,1,1,1,0,0
2023,Josh Hoover,TCU,2,12,34,3.798939168412046,1,1,1,0,1
2023,Josh Hoover,TCU,1,10,4,-0.063267952570744,0,1,1,0,0
2023,Josh Hoover,TCU,2,16,3,-0.0566000626405172,0,1,1,0,0
2023,Josh Hoover,TCU,1,15,0,-0.7293198696158293,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,19,0.849187767127999,1,1,1,0,0
2023,Josh Hoover,TCU,2,7,-5,-1.430333186252152,0,1,1,0,0
2023,Josh Hoover,TCU,3,12,0,-1.003873038338007,0,1,0,0,0
2023,Josh Hoover,TCU,4,12,21,2.93289407064918,1,1,1,0,0
2023,Josh Hoover,TCU,2,7,3,-0.0888244534588445,0,1,1,0,0
2023,Josh Hoover,TCU,3,4,0,-0.2868087912016805,0,1,0,0,0
2023,Josh Hoover,TCU,4,4,0,-4.017218287321738,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,4,-0.1651640993405828,0,1,1,0,0
2023,Josh Hoover,TCU,3,6,20,2.8692218741865165,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,11,0.255452006853528,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.9391692565688832,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,0,-1.060943078602227,0,1,0,0,0
2023,Josh Hoover,TCU,3,10,14,2.5641812385038523,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.534372502378378,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,20,0.898435863330022,1,1,1,0,0
2023,Josh Hoover,TCU,1,9,9,2.424237823646468,1,1,1,0,1
2023,Josh Hoover,TCU,3,11,13,2.6590676079221414,1,1,1,0,0
2023,Josh Hoover,TCU,2,7,0,-1.0952779030290234,0,1,0,0,0
2023,Josh Hoover,TCU,3,7,11,2.5985988344355953,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,42,3.294935471572124,1,1,1,0,1
2023,Josh Hoover,TCU,1,10,0,-0.9262377870973815,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,0,-0.6135902757979226,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,9,0.6008998132349381,1,1,1,0,0
2023,Josh Hoover,TCU,3,1,0,-0.6139543249392085,0,1,1,0,0
2023,Josh Hoover,TCU,1,10,1,-0.9199637917398017,0,1,1,0,0
2023,Josh Hoover,TCU,3,7,14,2.834044209099983,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.908489395271188,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,11,1.361478696770364,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,9,0.698477649783843,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,5,0.07448863119052,1,1,1,0,0
2023,Josh Hoover,TCU,2,5,0,-0.419574330888314,0,1,0,0,0
2023,Josh Hoover,TCU,3,5,4,-0.050854287778123,0,1,1,0,0
2023,Josh Hoover,TCU,4,1,0,-3.97176319872859,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,0,-0.9391692565688832,0,1,1,0,0
2023,Josh Hoover,TCU,2,10,14,1.5032381599016253,1,1,1,0,0
2023,Josh Hoover,TCU,3,3,0,-0.6477431808999617,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,15,0.4037858648282832,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,17,-4.35237723335154,0,1,0,1,0
2023,Josh Hoover,TCU,3,7,7,2.884594628720352,1,1,1,0,1
2023,Josh Hoover,TCU,1,10,11,0.452989301499176,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,22,0.41770834642648,1,1,1,0,0
2023,Josh Hoover,TCU,1,9,7,0.356301298324245,1,1,1,0,0
2023,Josh Hoover,TCU,2,2,0,-0.476893758740638,0,1,0,0,0
2023,Josh Hoover,TCU,2,11,8,0.31325929339723935,1,1,1,0,0
2023,Josh Hoover,TCU,3,3,12,1.776953875037969,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-1.087995077167328,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,15,2.4277964765803883,1,1,0,0,0
2023,Josh Hoover,TCU,1,10,34,1.074273026220583,1,1,1,0,0
2023,Josh Hoover,TCU,3,4,7,2.734137855577131,1,1,1,0,1
2023,Josh Hoover,TCU,1,10,0,-0.5080208698531008,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,21,1.39759399760235,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.6918622905019662,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,0,-0.9144980156718301,0,1,0,0,0
2023,Josh Hoover,TCU,3,10,21,2.030665914771671,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,14,2.5482831751790815,1,1,1,0,1
2023,Josh Hoover,TCU,1,10,7,0.4629498851543028,1,1,1,0,0
2023,Josh Hoover,TCU,2,3,9,0.5971087264075123,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,5,0.1087719603915716,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.908489395271188,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,6,0.284479467767783,1,1,1,0,0
2023,Josh Hoover,TCU,3,4,16,1.30101767004383,1,1,1,0,0
2023,Josh Hoover,TCU,1,15,8,0.29392521327325,1,1,1,0,0
2023,Josh Hoover,TCU,2,7,0,-0.400139041793347,0,1,0,0,0
2023,Josh Hoover,TCU,3,7,0,-0.560421477304912,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,13,2.168935265422876,1,1,1,0,0
2023,Josh Hoover,TCU,2,10,0,-0.9098186366856273,0,1,0,0,0
2023,Josh Hoover,TCU,3,10,15,3.1592519313598926,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,5,0.0872656999639112,1,1,1,0,0
2023,Josh Hoover,TCU,3,10,0,-1.938735810522168,0,1,0,1,0
2023,Josh Hoover,TCU,1,10,0,-0.9262377870973815,0,1,0,0,0
2023,Josh Hoover,TCU,3,4,11,1.4314032582162657,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,10,0.9552113600044425,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,22,1.2533532635003597,1,1,1,0,0
2023,Josh Hoover,TCU,3,8,0,-0.940668691137505,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,12,0.4626474785859038,1,1,1,0,0
2023,Josh Hoover,TCU,3,6,0,-0.2368142460140934,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,16,0.2659599577436895,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.3125697195395781,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,0,-0.3426834405597514,0,1,0,0,0
2023,Josh Hoover,TCU,3,10,0,-0.545139739806249,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Josh Hoover,TCU,3,6,10,1.987932595106449,1,1,1,0,0
2023,Josh Hoover,TCU,2,5,0,-1.1531340131432213,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,7,0.5413772358558367,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,8,1.037188716394402,1,1,1,0,0
2023,Josh Hoover,TCU,2,10,0,-0.9619971707978011,0,1,0,0,0
2023,Josh Hoover,TCU,3,10,0,-0.6105978704287018,0,1,0,0,0
2023,Josh Hoover,TCU,2,8,13,2.0054390488942535,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-1.0507069190375147,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,0,-1.0598235743711744,0,1,1,0,0
2023,Josh Hoover,TCU,3,10,0,-0.7990867456593858,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,16,1.4187427699228943,1,1,1,0,0
2023,Josh Hoover,TCU,2,3,14,0.867217497749138,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.7828922522763084,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,7,0.4360999685176684,1,1,1,0,0
2023,Josh Hoover,TCU,3,8,7,0.4833316091460613,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,3,-0.152495975717313,0,1,1,0,0
2023,Josh Hoover,TCU,3,5,3,-0.2099772207152454,0,1,1,0,0
2023,Josh Hoover,TCU,4,2,0,-3.606723549071834,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,11,0.9305625119459905,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,4,-0.1622709044233037,0,1,1,0,0
2023,Josh Hoover,TCU,2,8,0,-0.607748585389043,0,1,0,0,0
2023,Josh Hoover,TCU,1,9,4,-0.0559929983789136,0,1,1,0,0
2023,Josh Hoover,TCU,3,9,0,-0.07926422215308813,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,0,-1.041155320344064,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,14,2.346935995998022,1,1,1,0,0
2023,Josh Hoover,TCU,2,5,0,-1.1417165513541647,0,1,0,0,0
2023,Josh Hoover,TCU,3,5,4,-0.1666617505289753,0,1,1,0,0
2023,Josh Hoover,TCU,4,1,7,2.1112441987350827,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,7,0.3845817836398665,1,1,1,0,0
2023,Josh Hoover,TCU,2,3,7,-0.0657833517578955,0,1,1,0,0
2023,Josh Hoover,TCU,1,10,11,0.193689905385231,1,1,1,0,0
2023,Josh Hoover,TCU,1,9,0,-0.315798379566314,0,1,0,0,0
2023,Josh Hoover,TCU,1,4,2,-0.379746006608248,0,1,1,0,0
2023,Josh Hoover,TCU,2,2,0,-0.476893758740638,0,1,0,0,0
2023,Josh Hoover,TCU,3,2,0,-0.306522417191541,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Josh Hoover,TCU,3,10,0,-0.15871308844886392,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,11,0.979711793542446,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-1.087995077167328,0,1,0,0,0
2023,Josh Hoover,TCU,3,8,0,-0.48894328509254864,0,1,0,0,0
2023,Josh Hoover,TCU,2,5,6,0.8360173954125062,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,19,1.670678522708263,1,1,1,0,0
2023,Josh Hoover,TCU,2,8,0,-0.394662713456427,0,1,0,0,0
2023,Josh Hoover,TCU,3,8,17,3.198360282923659,1,1,1,0,1
2023,Josh Hoover,TCU,1,10,0,-1.1247712359915258,0,1,0,0,0
2023,Josh Hoover,TCU,3,7,24,3.298357397795357,1,1,1,0,0
2023,Josh Hoover,TCU,1,10,0,-0.6351269961541294,0,1,0,0,0
2023,Josh Hoover,TCU,2,11,24,1.6031683170080226,1,1,1,0,0
2023,Josh Hoover,TCU,2,4,0,-1.0586513086053786,0,1,0,0,0
2023,Josh Hoover,TCU,3,4,0,-0.5955832425633734,0,1,0,0,0
2023,Josh Hoover,TCU,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Josh Hoover,TCU,2,10,3,-0.15222912011238687,0,1,1,0,0
2023,Josh Hoover,TCU,3,7,0,-0.26587881160037785,0,1,0,0,0
2023,Josh Hoover,TCU,2,8,0,-0.19407807228283327,0,1,0,0,0
