season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2024,Justin Fomby,North Carolina A&T,1,10,0,-1.0955888671820908,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,2,4,0,-0.8109939031549853,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,2,8,7,0.342921634123706,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,2,16,12,0.7865272995232013,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,3,4,0,-0.5955832425633734,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,2,9,9,1.7995214371498225,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,2,3,-5,-1.4736273894463034,0,1,1,0,0
2024,Justin Fomby,North Carolina A&T,2,9,13,1.810218626358141,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,3,13,0,-0.857187281352017,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,4,13,0,-0.6249139661743612,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,3,13,0,-0.79976091758226,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.7029700220436519,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,3,3,6,1.513905620156982,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,1,10,8,1.0316758541779354,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,2,13,0,-1.0279276696989257,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-2.9047005664266923,0,1,0,1,0
2024,Justin Fomby,North Carolina A&T,3,9,10,2.6610643655534956,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,2,6,15,1.2554708013741944,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.6351269961541294,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,3,5,0,-0.13642032207046917,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,1,10,5,0.0997589035143243,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,2,5,0,-0.849974004455623,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,3,5,0,-0.4381545907354214,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,3,7,1,-0.22468409659181265,0,1,1,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.374805786232315,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,1,10,53,3.3147877051902377,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,3,4,0,-0.4483500992645144,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,1,10,16,1.306642261867573,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,2,10,0,-1.060943078602227,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,3,10,0,-1.6475175768980357,0,1,0,1,0
2024,Justin Fomby,North Carolina A&T,1,10,4,-0.0658646968869041,0,1,1,0,0
2024,Justin Fomby,North Carolina A&T,3,7,11,1.3709332584673826,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,3,8,11,2.330134125783222,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,1,10,15,1.2093331241084613,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.6351269961541294,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,2,10,4,-0.1067653315732676,0,1,1,0,0
2024,Justin Fomby,North Carolina A&T,3,6,0,-0.9058235753693397,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,4,6,26,3.086338943867388,1,1,1,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.9391692565688832,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.4206306727963254,0,1,0,1,0
2024,Justin Fomby,North Carolina A&T,1,10,0,-0.2853930592519426,0,1,0,0,0
2024,Justin Fomby,North Carolina A&T,3,6,0,-0.3038593850582816,0,1,0,0,0
