season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2022,Kevin Jennings,SMU,3,6,5,0.0605469107814738,1,1,1,0,0
2022,Kevin Jennings,SMU,3,14,2,-0.367600926286151,0,1,1,0,0
2022,Kevin Jennings,SMU,1,10,4,-0.119587621105615,0,1,1,0,0
2022,Kevin Jennings,SMU,2,6,38,3.2548445079776185,1,1,1,0,0
2022,Kevin Jennings,SMU,1,10,0,-0.6082596672078662,0,1,0,0,0
2022,Kevin Jennings,SMU,3,8,20,1.40942495845527,1,1,1,0,0
2022,Kevin Jennings,SMU,1,10,0,-0.3882383440694163,0,1,0,0,0
2022,Kevin Jennings,SMU,3,12,20,2.337190058178813,1,1,1,0,0
2022,Kevin Jennings,SMU,2,6,6,2.528666992781938,1,1,1,0,1
2022,Kevin Jennings,SMU,1,10,0,-0.7029700220436519,0,1,1,0,0
2022,Kevin Jennings,SMU,3,9,0,-0.18876768235831598,0,1,0,0,0
2022,Kevin Jennings,SMU,1,10,11,0.9305625119459905,1,1,1,0,0
2022,Kevin Jennings,SMU,2,4,7,0.8229711531739115,1,1,1,0,0
2022,Kevin Jennings,SMU,3,5,28,2.387436618823546,1,1,1,0,0
2022,Kevin Jennings,SMU,2,10,0,-0.145320741875012,0,1,0,0,0
2022,Kevin Jennings,SMU,3,10,39,3.293508815290533,1,1,1,0,0
2022,Kevin Jennings,SMU,1,20,10,1.0711501359614957,1,1,1,0,0
2022,Kevin Jennings,SMU,2,10,5,0.0740933278030749,1,1,1,0,0
2022,Kevin Jennings,SMU,3,5,16,2.2350750393165786,1,1,1,0,0
2022,Kevin Jennings,SMU,3,3,3,0.4567707848287008,1,1,1,0,0
2022,Kevin Jennings,SMU,1,10,0,-0.291297448934314,0,1,0,0,0
2022,Kevin Jennings,SMU,2,10,10,1.875015587181796,1,1,1,0,0
2023,Kevin Jennings,SMU,1,15,3,-0.3163920466382814,0,1,1,0,0
2023,Kevin Jennings,SMU,1,10,10,0.5725930147427087,1,1,1,0,0
