season,player_name,college,down,distance,yards_gained,epa,success,pass,completion,interception,touchdown
2023,Keyone Jenkins,Florida International,1,10,9,1.1127415828278746,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,10,0,-0.6004605992346148,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,10,0,-0.30241592870214795,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,0,-0.6004605992346148,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,9,1.1127415828278746,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,7,0.3138158809285007,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,10,7,0.3138158809285007,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,7,0,-0.934430506952081,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,5,0.0945451165334843,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,27,1.8538258306416875,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,3,-0.2366097161141063,0,1,1,0,0
2023,Keyone Jenkins,Florida International,2,7,0,-0.43583975606982506,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,9,6,0.1322159384651833,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,7,0.6816920045798367,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,3,0,-1.1742369915168689,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,0,-0.34710487712173865,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,10,0,-0.15871308844886392,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,11,46,3.6428920011009467,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,15,7,0.5429051926906167,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,8,0,-1.102618608038954,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,8,0,-0.9106683441043435,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,11,0.46330946332004874,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.585616097616759,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,36,3.5637807995030606,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,16,0.2339199321025055,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,5,0,-0.334398364888979,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,38,3.0263464882445783,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,9,0.7829116041302752,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,3,0,-0.770770322638517,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,7,0.423978038879877,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,38,3.0263464882445783,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,13,8,0.2936181896185728,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,14,0.749507675366287,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,17,0.356823058129256,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,10,11,1.5752584848554418,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,6,13,1.7160784417620967,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,6,3,-0.18841396110924347,0,1,1,0,0
2023,Keyone Jenkins,Florida International,2,2,6,0.3123022281953902,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,4,-0.1670469651624733,0,1,1,0,0
2023,Keyone Jenkins,Florida International,3,7,2,-0.17561211829253764,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,8,8,2.319599568699692,1,1,1,0,1
2023,Keyone Jenkins,Florida International,1,10,27,2.3915212834413646,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,23,1.8614616496404093,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,14,0.720666788078649,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,9,1.252308359788624,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,1,9,0.3601300624213711,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,18,9,0.5193842789289871,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,48,2.492311704012667,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.320977659489319,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,11,45,5.658352439151846,1,1,1,0,1
2023,Keyone Jenkins,Florida International,1,10,0,-0.5586693796725282,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,9,0,-0.43127540127432606,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,9,13,2.2940620257794526,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,15,-2,-0.9299873392812507,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,8,0.7987441096809142,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,64,5.147192607775331,1,1,1,0,1
2023,Keyone Jenkins,Florida International,2,5,7,0.932699209610087,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,12,0,-0.5084520593696595,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,12,0,-0.2508170853457674,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,13,1.168782200184909,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.7519361608312708,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,0,-0.965964585356966,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,10,0,-1.0141995897501808,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,12,0,-0.08082750946172636,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-1.1301991718133413,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,0,-1.005741646158441,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,10,14,3.007899390387978,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,3,0,-0.470533615500102,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,12,10,0.30526685242757523,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,8,0,-0.4114761869190806,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,7,0,-0.22543239592911402,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,7,15,1.437753493668847,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.9864556271674072,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,48,2.458915471161602,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,15,0,-0.17144938410316432,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,7,0,-0.14221375926296798,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,4,-0.098522001264528,0,1,1,0,0
2023,Keyone Jenkins,Florida International,2,6,8,1.033737413876036,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.9864556271674072,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,8,0.6799318979639768,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-1.1612466882658818,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,16,1.4187427699228943,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,4,0,-1.2417464247859178,0,1,0,0,0
2023,Keyone Jenkins,Florida International,4,5,0,-0.4495359185002794,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,4,0,-0.43770162015070735,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,16,5,0.00661278876274629,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,6,15,2.777521132583783,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,16,0,-0.8841388522851839,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,16,14,1.895463233485354,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,6,0.3333748010525683,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,2,0,-0.6013143962559822,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,3,0,-0.9937966012014892,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,40,1.6366143625061265,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,4,-0.0183111493425885,0,1,1,0,0
2023,Keyone Jenkins,Florida International,2,6,4,-0.020136050595207,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,19,1.212308753908252,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,3,-1,-0.555329604508296,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,15,6,0.1761598884525171,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,14,1,-0.18209457735042722,0,1,1,0,0
2023,Keyone Jenkins,Florida International,3,13,4,-0.02276755385828455,0,1,1,0,0
2023,Keyone Jenkins,Florida International,3,12,0,-0.11184027731402413,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,9,10,1.193188260304476,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,4,-0.1660250563858484,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,12,0.539302938005314,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,6,0,-0.476177221716661,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,4,7,1.2068622092923817,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,21,1.9304559672670951,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,11,8,0.660728320190338,1,1,1,0,0
2023,Keyone Jenkins,Florida International,4,3,5,2.369617984909544,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,8,0.489908565991971,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,5,0.0945451165334843,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,5,5,0.7404929924965024,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,10,0,-0.6004605992346148,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,12,1.0272443261435713,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,18,1.5739967085106823,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,40,1.592733244508194,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-1.1527089917962545,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,12,1.0272443261435713,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,3,17,1.5296224015251327,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-1.1590089706435955,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,6,0,-0.8898142292343482,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,16,0.8592557781352603,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.6351269961541294,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,8,0,-0.6469157130199852,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,18,0,-0.06295943299434814,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,18,10,0.07966328946343994,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,34,2.8579870062585426,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,7,7,0.755060573879785,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.6351269961541294,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,15,38,3.4229851695948446,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,29,1.275744437244479,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,8,19,1.928497409720853,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,16,9,0.4776659075338899,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,17,10,0.461114896898982,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,7,0,-0.4258865412543571,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,11,0,-0.09682294158419678,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,13,1.124751479041831,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,0,-0.34710487712173865,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,10,14,2.2728139824218463,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-1.1077677360468863,0,1,0,0,0
2023,Keyone Jenkins,Florida International,1,10,1,-0.8334176637748527,0,1,1,0,0
2023,Keyone Jenkins,Florida International,2,9,1,-0.5707961879282806,0,1,1,0,0
2023,Keyone Jenkins,Florida International,3,8,8,2.370317625078103,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,11,1,-0.2220596760326785,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,6,0.233934295436585,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,4,8,0.106357674544878,1,1,1,0,0
2023,Keyone Jenkins,Florida International,2,7,6,0.168968582811166,1,1,1,0,0
2023,Keyone Jenkins,Florida International,3,6,0,-0.3038593850582816,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,8,0,-0.3680210874717833,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,8,2,-0.10968945283272369,0,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,11,1.0337741691059161,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.9690270974076257,0,1,0,0,0
2023,Keyone Jenkins,Florida International,2,10,5,0.071356038670963,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,5,0.077091139010788,1,1,1,0,0
2023,Keyone Jenkins,Florida International,1,10,0,-0.7029700220436519,0,1,0,0,0
2023,Keyone Jenkins,Florida International,3,6,0,-0.3146897268978579,0,1,0,0,0
